"('date', '')","('open', 'BFK')","('high', 'BFK')","('low', 'BFK')","('close', 'BFK')","('volume', 'BFK')"
2024-01-02 00:00:00+00:00,9.06337393509881,9.18049430847168,9.045354887382684,9.18049430847168,92400
2024-01-03 00:00:00+00:00,9.198512451412585,9.243559207076565,9.144456172776726,9.225540161132812,227300
2024-01-04 00:00:00+00:00,9.216531636650435,9.270587921142578,9.162476211353788,9.270587921142578,115900
2024-01-05 00:00:00+00:00,9.234549522399902,9.261577231646852,9.207521813152951,9.234549522399902,48800
2024-01-08 00:00:00+00:00,9.2435615256191,9.30662648384988,9.225542475155668,9.297616958618164,87300
2024-01-09 00:00:00+00:00,9.279596602579952,9.297614789644435,9.207522135931189,9.216530799865723,72700
2024-01-10 00:00:00+00:00,9.270586650120817,9.270586650120817,9.11742820078625,9.144455909729004,162400
2024-01-11 00:00:00+00:00,9.189726658971603,9.189726658971603,9.108242120190711,9.135403633117676,141600
2024-01-12 00:00:00+00:00,9.17161729590203,9.180671419410368,9.09918603473281,9.126347541809082,149800
2024-01-16 00:00:00+00:00,9.117294767420029,9.117294767420029,8.954324837398403,8.999593734741211,220800
2024-01-17 00:00:00+00:00,8.999592539316382,8.999592539316382,8.890945645917348,8.9362154006958,236200
2024-01-18 00:00:00+00:00,8.972431960723585,8.972431960723585,8.909054815541717,8.918108940124512,173300
2024-01-19 00:00:00+00:00,8.945269584655762,8.954323708362251,8.845676814230654,8.945269584655762,110800
2024-01-22 00:00:00+00:00,9.008647054564152,9.062970935349483,8.990539669934904,9.035808563232422,147000
2024-01-23 00:00:00+00:00,9.026755212924918,9.035808473425165,8.999592841077824,9.008646965026855,131700
2024-01-24 00:00:00+00:00,9.072025089845068,9.08107835046569,8.990539700117903,9.026755332946777,107800
2024-01-25 00:00:00+00:00,9.072027231701409,9.13540438825274,9.072027231701409,9.090134620666504,100300
2024-01-26 00:00:00+00:00,9.07202511948939,9.108240752436604,9.044862747192383,9.044862747192383,174800
2024-01-29 00:00:00+00:00,9.053915456114082,9.144454956054688,9.053915456114082,9.144454956054688,95900
2024-01-30 00:00:00+00:00,9.135401665317419,9.17161729590203,9.117293418300743,9.126347541809082,73800
2024-01-31 00:00:00+00:00,9.135405563417512,9.18972860074983,9.117297308673999,9.153512954711914,303100
2024-02-01 00:00:00+00:00,9.198780610552866,9.325535774230957,9.198780610552866,9.325535774230957,197300
