"('date', '')","('open', 'BBBY')","('high', 'BBBY')","('low', 'BBBY')","('close', 'BBBY')","('volume', 'BBBY')"
2024-01-02 00:00:00+00:00,27.0,27.670000076293945,26.100000381469727,26.770000457763672,1775000
2024-01-03 00:00:00+00:00,25.989999771118164,26.309999465942383,25.31999969482422,25.360000610351562,950900
2024-01-04 00:00:00+00:00,25.450000762939453,25.709999084472656,24.829999923706055,25.549999237060547,943600
2024-01-05 00:00:00+00:00,27.1299991607666,27.68000030517578,25.229999542236328,25.34000015258789,1408800
2024-01-08 00:00:00+00:00,25.299999237060547,26.3700008392334,24.90999984741211,26.06999969482422,812100
2024-01-09 00:00:00+00:00,25.389999389648438,25.809999465942383,24.760000228881836,25.440000534057617,820700
2024-01-10 00:00:00+00:00,25.25,25.8799991607666,24.6200008392334,25.299999237060547,931300
2024-01-11 00:00:00+00:00,25.260000228881836,25.389999389648438,24.15999984741211,24.440000534057617,861400
2024-01-12 00:00:00+00:00,24.75,25.1299991607666,23.389999389648438,23.579999923706055,2126500
2024-01-16 00:00:00+00:00,23.5,23.549999237060547,22.729999542236328,23.209999084472656,898700
2024-01-17 00:00:00+00:00,22.6200008392334,23.18000030517578,22.59000015258789,23.010000228881836,961500
2024-01-18 00:00:00+00:00,23.200000762939453,23.690000534057617,22.850000381469727,23.5,833200
2024-01-19 00:00:00+00:00,23.649999618530273,24.0,22.950000762939453,23.600000381469727,943700
2024-01-22 00:00:00+00:00,23.850000381469727,25.06999969482422,23.709999084472656,24.649999618530273,1422000
2024-01-23 00:00:00+00:00,25.06999969482422,25.270000457763672,23.809999465942383,23.850000381469727,927000
2024-01-24 00:00:00+00:00,24.40999984741211,24.40999984741211,23.25,23.270000457763672,643200
2024-01-25 00:00:00+00:00,23.709999084472656,23.760000228881836,22.950000762939453,22.950000762939453,879100
2024-01-26 00:00:00+00:00,23.0,23.5,22.639999389648438,22.75,1367700
2024-01-29 00:00:00+00:00,22.59000015258789,22.860000610351562,22.020000457763672,22.700000762939453,1151000
2024-01-30 00:00:00+00:00,22.420000076293945,22.420000076293945,21.6200008392334,21.850000381469727,1065200
2024-01-31 00:00:00+00:00,21.75,23.68000030517578,21.260000228881836,21.989999771118164,1899300
2024-02-01 00:00:00+00:00,23.270000457763672,23.739999771118164,22.030000686645508,23.0,1404200
2024-02-02 00:00:00+00:00,22.649999618530273,23.299999237060547,21.81999969482422,23.0,1400900
2024-02-05 00:00:00+00:00,22.59000015258789,22.59000015258789,21.540000915527344,21.579999923706055,1170500
2024-02-06 00:00:00+00:00,21.610000610351562,22.229999542236328,20.81999969482422,22.1299991607666,1008500
2024-02-07 00:00:00+00:00,22.020000457763672,22.6299991607666,21.399999618530273,22.510000228881836,866500
2024-02-08 00:00:00+00:00,22.479999542236328,23.600000381469727,22.34000015258789,23.5,760900
2024-02-09 00:00:00+00:00,23.549999237060547,24.780000686645508,23.170000076293945,24.709999084472656,785400
2024-02-12 00:00:00+00:00,24.75,25.920000076293945,24.75,25.829999923706055,812800
2024-02-13 00:00:00+00:00,24.40999984741211,25.329999923706055,24.18000030517578,24.84000015258789,935800
