"('date', '')","('open', 'BLDR')","('high', 'BLDR')","('low', 'BLDR')","('close', 'BLDR')","('volume', 'BLDR')"
2024-01-02 00:00:00+00:00,163.8699951171875,167.08999633789062,161.89999389648438,165.3800048828125,1320300
2024-01-03 00:00:00+00:00,161.97000122070312,161.97000122070312,158.3699951171875,159.30999755859375,1733600
2024-01-04 00:00:00+00:00,158.32000732421875,160.57000732421875,156.11000061035156,157.2899932861328,1336700
2024-01-05 00:00:00+00:00,155.5,161.08999633789062,154.00999450683594,159.77999877929688,1285200
2024-01-08 00:00:00+00:00,161.25,164.30999755859375,160.4600067138672,163.8800048828125,880800
2024-01-09 00:00:00+00:00,161.3800048828125,165.6300048828125,160.63999938964844,165.35000610351562,1048100
2024-01-10 00:00:00+00:00,165.97999572753906,168.0399932861328,165.82000732421875,167.3000030517578,1056800
2024-01-11 00:00:00+00:00,165.47000122070312,167.57000732421875,163.42999267578125,167.2100067138672,877800
2024-01-12 00:00:00+00:00,168.77999877929688,169.0,164.00999450683594,167.38999938964844,940500
2024-01-16 00:00:00+00:00,164.67999267578125,166.44000244140625,163.3800048828125,165.91000366210938,1036500
2024-01-17 00:00:00+00:00,163.72999572753906,165.16000366210938,162.1300048828125,164.6199951171875,1002200
2024-01-18 00:00:00+00:00,167.08999633789062,168.55999755859375,162.88999938964844,165.67999267578125,1306000
2024-01-19 00:00:00+00:00,167.3800048828125,172.5500030517578,165.69000244140625,172.50999450683594,1509400
2024-01-22 00:00:00+00:00,175.72000122070312,178.66000366210938,174.10000610351562,178.02000427246094,1779100
2024-01-23 00:00:00+00:00,175.75,176.27999877929688,164.9199981689453,167.6699981689453,2491400
2024-01-24 00:00:00+00:00,170.47000122070312,170.72999572753906,164.08999633789062,165.32000732421875,1523000
2024-01-25 00:00:00+00:00,168.44000244140625,169.94000244140625,166.60000610351562,169.8000030517578,1205600
2024-01-26 00:00:00+00:00,169.80999755859375,171.67999267578125,167.75,169.52000427246094,894100
2024-01-29 00:00:00+00:00,172.0,176.9600067138672,171.75,176.5,1362900
