"('date', '')","('open', 'DB')","('high', 'DB')","('low', 'DB')","('close', 'DB')","('volume', 'DB')"
1996-11-18 00:00:00+00:00,24.77881622314453,25.03964753679934,24.12674177547676,24.77881622314453,2056
1996-11-19 00:00:00+00:00,24.974443435668945,25.10485782979787,24.64840489270016,24.974443435668945,7712
1996-11-20 00:00:00+00:00,24.77881622314453,25.104854725801502,24.77881622314453,24.77881622314453,29176
1996-11-21 00:00:00+00:00,25.039644241333008,25.039644241333008,24.778812962006192,25.039644241333008,5655
1996-11-22 00:00:00+00:00,24.713609695434567,24.97444101606876,24.713609695434567,24.71360969543457,900
1996-11-25 00:00:00+00:00,24.77881622314453,24.97444034779718,24.51798746713589,24.77881622314453,5784
1996-11-26 00:00:00+00:00,24.90923309326172,24.90923309326172,24.387573024970695,24.90923309326172,5527
1996-11-27 00:00:00+00:00,24.387575149536136,24.844025511114847,24.387575149536136,24.387575149536133,2185
1996-11-29 00:00:00+00:00,24.844026565551758,25.039650715034607,24.77881936827297,24.844026565551758,5270
1996-12-02 00:00:00+00:00,24.51798820495605,24.778816968813818,24.45278101399161,24.517988204956055,28919
1996-12-03 00:00:00+00:00,24.322362899780273,24.517984442655344,23.996324437342636,24.322362899780273,39201
1996-12-04 00:00:00+00:00,24.322362899780273,24.452777261696987,24.126738799259353,24.322362899780273,23649
1996-12-05 00:00:00+00:00,24.844026565551758,24.909236320477035,24.517990579157825,24.844026565551758,3213
1996-12-06 00:00:00+00:00,24.126741409301758,24.7136086590604,24.126741409301758,24.126741409301758,10539
1996-12-09 00:00:00+00:00,24.45277976989746,24.45277976989746,24.191948461663873,24.45277976989746,5912
1996-12-10 00:00:00+00:00,24.322362899780273,24.64839880457206,24.322362899780273,24.322362899780273,7069
1996-12-11 00:00:00+00:00,24.64839744567871,24.64839744567871,24.25715438149823,24.64839744567871,9254
1996-12-12 00:00:00+00:00,24.387575149536136,24.71361112209236,24.387575149536136,24.387575149536133,5270
1996-12-13 00:00:00+00:00,24.387575149536136,24.517989538558624,24.126743813844772,24.387575149536133,11567
1996-12-16 00:00:00+00:00,24.191949844360355,24.517988358875616,24.126742652986554,24.19194984436035,16451
1996-12-17 00:00:00+00:00,24.061532974243164,24.19194734350913,23.73549705107824,24.061532974243164,9768
1996-12-18 00:00:00+00:00,23.996328353881836,24.126742737084015,23.800706779078563,23.996328353881836,6555
1996-12-19 00:00:00+00:00,23.996328353881836,24.257159677932464,23.735499587477474,23.996328353881836,2571
1996-12-20 00:00:00+00:00,23.80070686340332,23.996328438899667,23.7354996715712,23.80070686340332,5527
1996-12-23 00:00:00+00:00,23.735498428344727,24.061534370428078,23.53987686309471,23.735498428344727,30589
1996-12-24 00:00:00+00:00,23.53987693786621,23.800705692361383,23.53987693786621,23.53987693786621,2313
1996-12-26 00:00:00+00:00,23.605081558227536,23.865910284344217,23.539874376698368,23.60508155822754,25577
1996-12-27 00:00:00+00:00,23.80070686340332,24.061535630731786,23.80070686340332,23.80070686340332,5912
1996-12-30 00:00:00+00:00,24.25716209411621,24.25716209411621,23.93112354598876,24.25716209411621,15166
1996-12-31 00:00:00+00:00,24.126741409301758,24.25715834297289,24.126741409301758,24.126741409301758,1542
1997-01-02 00:00:00+00:00,24.126741409301758,24.32236553098539,23.996327033276753,24.126741409301758,4627
1997-01-03 00:00:00+00:00,23.931119918823242,24.257158417534047,23.80070554239737,23.931119918823242,13238
1997-01-06 00:00:00+00:00,24.126741409301758,24.126741409301758,23.60508390520174,24.126741409301758,3213
1997-01-07 00:00:00+00:00,23.996328353881836,23.996328353881836,23.865913970679653,23.996328353881836,2442
1997-01-08 00:00:00+00:00,24.64839744567871,24.64839744567871,24.322361558861644,24.64839744567871,5398
1997-01-09 00:00:00+00:00,25.104856491088867,25.170063684676172,24.583196384744067,25.104856491088867,6940
1997-01-10 00:00:00+00:00,25.039644241333008,25.1700586021735,24.909229880492514,25.039644241333008,7197
1997-01-13 00:00:00+00:00,25.039644241333008,25.365680143434243,25.039644241333008,25.039644241333008,31618
1997-01-14 00:00:00+00:00,25.1700611114502,25.1700611114502,24.90923236376643,25.170061111450195,11567
1997-01-15 00:00:00+00:00,24.974443435668945,25.235272223926792,24.974443435668945,24.974443435668945,3342
1997-01-16 00:00:00+00:00,25.365682601928714,25.626511348889764,25.365682601928714,25.36568260192871,5912
1997-01-17 00:00:00+00:00,25.8221378326416,25.8221378326416,25.561306504136493,25.8221378326416,11053
1997-01-20 00:00:00+00:00,26.148164749145508,26.213371919299014,25.756921728224476,26.148164749145508,45113
1997-01-21 00:00:00+00:00,26.213380813598633,26.539419332637692,25.691720717723914,26.213380813598633,18636
1997-01-22 00:00:00+00:00,26.6046257019043,26.6046257019043,26.278587192951214,26.604625701904297,12981
1997-01-23 00:00:00+00:00,26.865461349487305,26.865461349487305,26.604632521582452,26.865461349487305,21978
1997-01-24 00:00:00+00:00,26.800245285034176,26.930659655884675,26.800245285034176,26.80024528503418,4498
