"('date', '')","('open', 'ALG')","('high', 'ALG')","('low', 'ALG')","('close', 'ALG')","('volume', 'ALG')"
2024-01-02 00:00:00+00:00,205.88007211548256,207.3944772069164,203.5045388631512,203.86087036132812,57800
2024-01-03 00:00:00+00:00,202.96013858193382,202.96013858193382,199.00090648125047,199.5749969482422,72800
2024-01-04 00:00:00+00:00,200.57469596093966,200.8023475759338,198.37732095493584,199.2384490966797,103500
2024-01-05 00:00:00+00:00,197.62510545462206,199.3671624196296,196.87284156940063,198.3377685546875,109500
2024-01-08 00:00:00+00:00,199.3275432966963,199.75315349443628,197.22914003042953,199.2384490966797,50400
2024-01-09 00:00:00+00:00,196.15025915464568,197.17966798289604,194.37850939330843,196.44720458984375,45800
2024-01-10 00:00:00+00:00,197.0707994815116,198.2189654032784,195.55639429116215,197.78346252441406,52800
2024-01-11 00:00:00+00:00,197.84283572925185,198.50600530319326,194.77442476609872,198.42681884765625,100700
2024-01-12 00:00:00+00:00,200.47838025101535,201.5586684733733,199.94319644637017,201.2613525390625,85900
2024-01-16 00:00:00+00:00,200.765816510934,201.82627868652344,199.24942955075645,201.82627868652344,137300
2024-01-17 00:00:00+00:00,199.11065363486736,200.1810362980891,196.44462515068383,197.66366577148438,63900
2024-01-18 00:00:00+00:00,199.2494109634245,200.8847241511074,198.36733844020836,200.7459716796875,75400
2024-01-19 00:00:00+00:00,201.63794648544808,203.31289672851562,198.57547155025145,203.31289672851562,75800
2024-01-22 00:00:00+00:00,205.1563507421393,208.0503418943835,205.1563507421393,207.24755859375,63500
2024-01-23 00:00:00+00:00,209.55677510971222,211.89575596220854,206.79161626346036,207.74307250976562,46100
2024-01-24 00:00:00+00:00,210.51816315522908,210.51816315522908,206.37538467404306,207.39620971679688,54300
2024-01-25 00:00:00+00:00,210.49834920379993,213.67976601317864,207.723284361508,210.44879150390625,46500
2024-01-26 00:00:00+00:00,211.8561308527094,212.32194598497463,209.52707031426925,211.1029052734375,39600
2024-01-29 00:00:00+00:00,211.51913701062603,215.74118915890995,210.1216917836089,215.0375213623047,53900
2024-01-30 00:00:00+00:00,213.4914456224996,215.54300121863102,212.99589889302325,214.07618713378906,53600
2024-01-31 00:00:00+00:00,214.47261284871377,214.72038620695992,209.09098276659248,210.38931274414062,63600
2024-02-01 00:00:00+00:00,211.9255190404349,213.78877960806741,207.2772882347259,213.69956970214844,62100
2024-02-02 00:00:00+00:00,211.27138296363236,216.41516024373306,210.31002113441312,215.8105926513672,42600
2024-02-05 00:00:00+00:00,213.13464317249046,213.92752093372567,210.40913626522814,212.1633758544922,38500
