"('date', '')","('open', 'AJG')","('high', 'AJG')","('low', 'AJG')","('close', 'AJG')","('volume', 'AJG')"
2024-01-02 00:00:00+00:00,221.53220801505572,223.08882677050929,221.01005289851997,221.67013549804688,896000
2024-01-03 00:00:00+00:00,222.2612986188058,224.2711015650942,221.47313500013502,221.68988037109375,1022400
2024-01-04 00:00:00+00:00,223.1971978784245,225.423745812,222.27110691354017,222.5568084716797,884500
2024-01-05 00:00:00+00:00,223.069127274644,224.15285399265642,220.12337194693293,221.9459991455078,732600
2024-01-08 00:00:00+00:00,223.2957465503804,225.64052917298167,221.42387111697352,225.45333862304688,940600
2024-01-09 00:00:00+00:00,223.6011456729242,224.0937459968985,220.8918438910655,222.79327392578125,946500
2024-01-10 00:00:00+00:00,222.21199800961355,226.84243781620634,222.21199800961355,226.74391174316406,899700
2024-01-11 00:00:00+00:00,227.30550316418118,228.8227056040296,226.22177639788273,228.56655883789062,919400
2024-01-12 00:00:00+00:00,229.16752715814252,231.37438205837083,228.56655415151158,231.3251190185547,846200
2024-01-16 00:00:00+00:00,231.600974701257,233.39403209881903,229.27590052482495,230.01480102539062,862700
2024-01-17 00:00:00+00:00,230.50739138764777,234.12307587671623,229.7389361029394,230.527099609375,730300
2024-01-18 00:00:00+00:00,228.8916760044959,234.21175366833185,228.07395763536744,233.44329833984375,890500
2024-01-19 00:00:00+00:00,234.5959751045147,236.37918588438274,233.72900875073145,235.2560577392578,833600
2024-01-22 00:00:00+00:00,234.88169554946435,236.3003869207888,233.86694006110824,234.00486755371094,668700
2024-01-23 00:00:00+00:00,234.77330692414523,237.69935392046767,234.77330692414523,236.13287353515625,689500
2024-01-24 00:00:00+00:00,237.58112546425033,237.60083368604447,235.24620478609398,235.53192138671875,665100
2024-01-25 00:00:00+00:00,236.46785490915227,237.2363101832498,232.3300153487112,234.2314453125,1043300
2024-01-26 00:00:00+00:00,232.49751472475268,232.49751472475268,223.71937302633705,229.58131408691406,1489400
2024-01-29 00:00:00+00:00,228.7340250410547,230.01478884748693,225.24642147753892,225.39419555664062,1440000
2024-01-30 00:00:00+00:00,226.0247251076046,227.76853441941387,224.88188877709862,227.15771484375,1081400
2024-01-31 00:00:00+00:00,228.00495963364185,230.36945001037145,227.7192580841829,228.7241668701172,1576000
2024-02-01 00:00:00+00:00,226.6355646553201,228.8424196570189,224.06419020156588,228.68478393554688,1003400
2024-02-02 00:00:00+00:00,230.55667951362886,230.85224273982516,227.50255123121755,229.29562377929688,1029900
2024-02-05 00:00:00+00:00,229.06898651277916,233.13786980876526,227.7389747201293,232.76348876953125,1535600
2024-02-06 00:00:00+00:00,233.64032511393992,234.3496707754074,230.3596202208637,230.58621215820312,1000100
2024-02-07 00:00:00+00:00,231.23645212606112,233.43344537535637,229.22663437334103,232.7043914794922,1074300
2024-02-08 00:00:00+00:00,232.46795310194636,234.61568331340817,231.90638151293155,233.52210998535156,727000
2024-02-09 00:00:00+00:00,232.5960264811114,235.64029299465702,232.5960264811114,235.30532836914062,575800
2024-02-12 00:00:00+00:00,235.4629479913729,235.76835777805329,231.6108099623464,232.13296508789062,682800
2024-02-13 00:00:00+00:00,233.8176637865346,234.4481915788823,230.83250712540766,232.82261657714844,1203900
