"('date', '')","('open', 'CHH')","('high', 'CHH')","('low', 'CHH')","('close', 'CHH')","('volume', 'CHH')"
1996-10-16 00:00:00+00:00,3.2868524698110724,3.873790410848764,3.2868524698110724,3.815096616744995,39000
1996-10-17 00:00:00+00:00,3.87378941720991,4.0498707543558154,3.87378941720991,3.932483196258545,23600
1996-10-18 00:00:00+00:00,4.108566201251486,4.108566201251486,4.049872398376465,4.049872398376465,79000
1996-10-21 00:00:00+00:00,4.079217433929443,4.079217433929443,4.049870545915563,4.079217433929443,16800
1996-10-22 00:00:00+00:00,4.049872092618287,4.049872092618287,3.8444437980651855,3.8444437980651855,72400
1996-10-23 00:00:00+00:00,3.697706699371338,3.7564004565042164,3.63901294223846,3.697706699371338,27200
1996-10-24 00:00:00+00:00,3.6683604736958655,3.6683604736958655,3.521626054748031,3.5509729385375977,79400
1996-10-25 00:00:00+00:00,3.521626054748031,3.5509729385375977,3.521626054748031,3.5509729385375977,96400
1996-10-28 00:00:00+00:00,3.5216247058305585,3.5803184509277344,3.5216247058305585,3.5803184509277344,48400
1996-10-29 00:00:00+00:00,3.5803199968030377,3.6390137672424316,3.5803199968030377,3.6390137672424316,16000
1996-10-30 00:00:00+00:00,3.697707537681826,3.697707537681826,3.6390137672424316,3.6390137672424316,28200
1996-10-31 00:00:00+00:00,3.63901219602491,3.6683590685734986,3.5216247058305585,3.5803184509277344,361600
1996-11-01 00:00:00+00:00,3.550973625018679,3.5803205144816435,3.3748922882408934,3.4042391777038574,1305000
1996-11-04 00:00:00+00:00,3.404239703447391,3.4629334914378633,3.404239703447391,3.433586597442627,1030400
1996-11-05 00:00:00+00:00,3.4335853457450867,3.5803197622299194,3.4335853457450867,3.5216259956359863,927400
1996-11-06 00:00:00+00:00,3.5509732893811976,3.6977077228267015,3.521626402692097,3.6096670627593994,659800
1996-11-07 00:00:00+00:00,3.6096668820227347,3.668360652462129,3.5803199968030377,3.6390137672424316,1180800
1996-11-08 00:00:00+00:00,3.6683608361376008,3.6683608361376008,3.6096670627593994,3.6096670627593994,990800
1996-11-11 00:00:00+00:00,3.5803210791640394,3.7564024437130907,3.5803210791640394,3.727055549621582,1018800
1996-11-12 00:00:00+00:00,3.75640130812122,3.75640130812122,3.6096668820227347,3.6390137672424316,211200
1996-11-13 00:00:00+00:00,3.6683604736958655,3.6683604736958655,3.521626054748031,3.5509729385375977,952200
1996-11-14 00:00:00+00:00,3.550972878932953,3.550972878932953,3.4922791123390198,3.5216259956359863,891000
1996-11-15 00:00:00+00:00,3.5509731115833407,3.6390137672424316,3.5509731115833407,3.6390137672424316,1254400
1996-11-18 00:00:00+00:00,3.6977059411220865,3.7270528136706744,3.5803184509277344,3.5803184509277344,547800
1996-11-19 00:00:00+00:00,3.63901335144043,3.69770711517334,3.63901335144043,3.6683602333068848,669000
1996-11-20 00:00:00+00:00,3.6683602333068848,3.727053997039795,3.6683602333068848,3.6683602333068848,477000
