"('date', '')","('open', 'ALLE')","('high', 'ALLE')","('low', 'ALLE')","('close', 'ALLE')","('volume', 'ALLE')"
2024-01-02 00:00:00+00:00,123.14640496033047,123.69407512124776,120.7601550112322,121.51319122314453,1003700
2024-01-03 00:00:00+00:00,120.32984760236194,120.32984760236194,118.00227360474436,118.83354949951172,825800
2024-01-04 00:00:00+00:00,118.88242972139557,120.22225580324583,118.4227810852373,119.57678985595703,751000
2024-01-05 00:00:00+00:00,119.58656727127111,120.5841041600782,119.24427812759956,120.07555389404297,660100
2024-01-08 00:00:00+00:00,120.32984229978157,121.35670984406264,119.95821511156718,121.00464630126953,697500
2024-01-09 00:00:00+00:00,119.94843226023556,121.34693444208267,119.94843226023556,121.31759643554688,519000
2024-01-10 00:00:00+00:00,120.72102581374567,121.63054127573061,119.19538240120521,119.41053771972656,868400
2024-01-11 00:00:00+00:00,119.16604030103287,119.48877326772411,117.19053759779133,118.01203155517578,863000
2024-01-12 00:00:00+00:00,119.30295978920124,119.30295978920124,116.54507540450865,117.14163970947266,550900
2024-01-16 00:00:00+00:00,116.20278467133917,116.81890515080802,114.58912726928955,116.77979278564453,900400
2024-01-17 00:00:00+00:00,115.90938896684973,116.99493989616802,115.3421701394547,116.10498809814453,922200
2024-01-18 00:00:00+00:00,116.63310473485183,118.58905145035871,116.63310473485183,118.50102996826172,599700
2024-01-19 00:00:00+00:00,118.58905016254053,119.81151684645695,117.52305533426627,119.49856567382812,673700
2024-01-22 00:00:00+00:00,120.44719830922271,122.64763829085229,120.28093717332233,122.6280746459961,795000
2024-01-23 00:00:00+00:00,122.70631200759955,123.36155233248414,120.04622341908062,121.59142303466797,521400
2024-01-24 00:00:00+00:00,122.66719280105468,122.66719280105468,119.80173069894452,120.22225952148438,487400
2024-01-25 00:00:00+00:00,122.04129386659368,123.03882338936106,120.84816519922376,122.98992919921875,577400
2024-01-26 00:00:00+00:00,122.95080554411565,123.46913020382952,121.97283223557046,122.1195297241211,510900
2024-01-29 00:00:00+00:00,121.91415088685432,124.09502709107082,121.36648078433387,124.06568908691406,638200
2024-01-30 00:00:00+00:00,123.2442079020788,124.525358164275,122.86279886272091,123.41046905517578,479700
2024-01-31 00:00:00+00:00,122.98992265701168,123.61582496375726,120.9850744342102,121.1611099243164,619400
2024-02-01 00:00:00+00:00,122.19776578790689,124.46666363712875,121.27847592247667,124.42755126953125,774300
2024-02-02 00:00:00+00:00,123.5180192594237,125.59131768687774,122.32489075083946,124.81871795654297,585300
2024-02-05 00:00:00+00:00,123.42023239465544,123.95812071563185,121.16111636924337,122.98992919921875,598100
2024-02-06 00:00:00+00:00,122.29556525027719,123.66472191352517,122.29556525027719,123.25397491455078,338800
2024-02-07 00:00:00+00:00,124.13416196360188,124.77962051731953,123.29310425622374,124.1439437866211,548700
2024-02-08 00:00:00+00:00,125.9238304642174,127.71352330480465,125.01432250340567,127.64507293701172,755700
2024-02-09 00:00:00+00:00,127.32235543488824,130.02155656406757,127.32235543488824,129.0044708251953,780400
2024-02-12 00:00:00+00:00,128.7697409701208,130.9799552276296,128.69150131640083,130.62789916992188,766100
2024-02-13 00:00:00+00:00,126.15854929051751,127.79176282781954,125.39573134908753,126.73554992675781,840700
