"('date', '')","('open', 'AKO-B')","('high', 'AKO-B')","('low', 'AKO-B')","('close', 'AKO-B')","('volume', 'AKO-B')"
2024-01-02 00:00:00+00:00,13.160313056780677,13.392449044572489,13.035317410638147,13.258524894714355,12000
2024-01-03 00:00:00+00:00,13.3478057696005,13.963858828264344,13.3478057696005,13.767436027526855,5000
2024-01-04 00:00:00+00:00,13.892433879779182,13.972787857055664,13.615656230930322,13.972787857055664,10100
2024-01-05 00:00:00+00:00,14.035286324875342,14.035286324875342,13.446018724655778,13.98171615600586,3900
2024-01-08 00:00:00+00:00,14.035286749147549,14.035286749147549,13.597799435984006,13.633513450622559,2000
2024-01-09 00:00:00+00:00,13.383520670313546,13.562086489007955,13.383520670313546,13.40137767791748,21100
2024-01-10 00:00:00+00:00,13.374592544911026,13.526373707962776,13.347807884216309,13.347807884216309,1900
2024-01-11 00:00:00+00:00,13.312092900563012,13.722794664797966,13.312092900563012,13.642439842224121,42800
2024-01-12 00:00:00+00:00,14.258493415756313,14.481700034189469,13.633512670324267,13.812078475952148,63500
2024-01-16 00:00:00+00:00,13.749581420299744,13.749581420299744,13.347808097580607,13.597800254821777,49300
2024-01-17 00:00:00+00:00,13.419232750244888,13.92814635675766,13.097814302554388,13.704938888549805,5000
2024-01-18 00:00:00+00:00,13.322484418361183,13.947826015838594,13.068723049105731,13.268107414245605,26000
2024-01-19 00:00:00+00:00,13.385924804595588,13.440301806256306,13.21372894928731,13.25904369354248,28700
2024-01-22 00:00:00+00:00,13.304356987845729,13.43123722076416,13.268105369253783,13.43123722076416,16000
2024-01-23 00:00:00+00:00,13.485616505031349,13.485616505031349,12.932779047041906,13.213728904724121,40100
2024-01-24 00:00:00+00:00,13.268106660812592,13.685000747355124,13.268106660812592,13.331546783447266,47600
2024-01-25 00:00:00+00:00,13.404050456331907,13.404050456331907,13.06872272491455,13.06872272491455,6300
2024-01-26 00:00:00+00:00,12.969029732583484,13.068721470961464,12.81496013234956,12.914651870727539,12200
2024-01-29 00:00:00+00:00,12.833085564550156,12.878400305571258,12.45244312286377,12.45244312286377,32700
2024-01-30 00:00:00+00:00,12.79683443848763,12.941840923906238,12.688079574423677,12.878400802612305,38200
2024-01-31 00:00:00+00:00,13.023407588826165,13.902510507364212,12.914652722250352,13.67593765258789,59700
2024-02-01 00:00:00+00:00,13.4131128280687,13.766565919204956,13.4131128280687,13.6850004196167,44100
2024-02-02 00:00:00+00:00,13.394986622992798,13.567182472657516,12.75151969571761,12.878400802612305,16900
2024-02-05 00:00:00+00:00,13.186540339413222,13.52186806123758,13.159351838807693,13.376861572265625,74000
2024-02-06 00:00:00+00:00,13.19560354901817,13.558119773864746,13.19560354901817,13.558119773864746,26400
2024-02-07 00:00:00+00:00,13.54905609964535,13.639685584314611,13.440301236626329,13.59437084197998,65300
2024-02-08 00:00:00+00:00,13.675937205320952,13.748440447333634,13.59437084197998,13.59437084197998,5400
2024-02-09 00:00:00+00:00,13.594370755592838,13.594370755592838,13.204665184020996,13.204665184020996,5700
2024-02-12 00:00:00+00:00,13.277168826239528,13.404049934937753,12.914652607540086,13.150288581848145,13500
2024-02-13 00:00:00+00:00,13.295294563452893,13.485615787105244,13.222791322471695,13.32248306274414,6300
2024-02-14 00:00:00+00:00,13.494680800877896,13.549057807086541,13.186541551339134,13.530932426452637,7200
2024-02-15 00:00:00+00:00,13.748440650866906,13.748440650866906,13.521867800146365,13.657811164855957,3800
2024-02-16 00:00:00+00:00,13.612496986633678,13.657810864335252,13.404049519117818,13.41311264038086,5400
2024-02-20 00:00:00+00:00,13.431237765483372,13.766565467135164,13.34060914748134,13.603433609008789,7200
2024-02-21 00:00:00+00:00,13.603433858521836,13.712188720703125,13.59437073726336,13.712188720703125,6900
2024-02-22 00:00:00+00:00,13.675936294489869,13.675936294489869,13.413111843621568,13.43123722076416,7000
2024-02-23 00:00:00+00:00,13.404050183713542,13.503741929629431,13.240917450117669,13.25904369354248,4800
2024-02-26 00:00:00+00:00,13.413113867833587,13.485617115959156,13.222792625427246,13.222792625427246,1600
2024-02-27 00:00:00+00:00,13.467489344752455,13.5218672068344,13.349671363830566,13.349671363830566,5700
2024-02-28 00:00:00+00:00,13.431238618444935,13.449364861780541,13.394986996080574,13.422176361083984,2500
