"('date', '')","('open', 'AEIS')","('high', 'AEIS')","('low', 'AEIS')","('close', 'AEIS')","('volume', 'AEIS')"
2024-01-02 00:00:00+00:00,106.80065171249478,107.0193437565633,104.66344435090753,105.6077880859375,286900
2024-01-03 00:00:00+00:00,104.25587182861452,104.25587182861452,101.25384674101264,101.44271850585938,241500
2024-01-04 00:00:00+00:00,101.43278821118635,101.43278821118635,99.82242566687759,100.66736602783203,171500
2024-01-05 00:00:00+00:00,99.64348902742061,101.1643830799527,99.64348902742061,100.26974487304688,130700
2024-01-08 00:00:00+00:00,100.26973710381043,102.95366668455497,99.56396314122935,102.80455780029297,157400
2024-01-09 00:00:00+00:00,100.67729181840542,102.66539002203584,100.67729181840542,102.41687774658203,103100
2024-01-10 00:00:00+00:00,101.83038633532718,102.466577115775,100.39895328732344,102.40692901611328,109800
2024-01-11 00:00:00+00:00,101.86021420393465,102.47651980254678,99.89199361586836,101.909912109375,181300
2024-01-12 00:00:00+00:00,103.07295538093567,103.55009471011672,101.05503688662318,101.61170196533203,110300
2024-01-16 00:00:00+00:00,100.41885198613318,102.59582227242093,100.41885198613318,101.96957397460938,130900
2024-01-17 00:00:00+00:00,99.90194090616619,100.74688117812616,97.95360545628432,99.89199829101562,157500
2024-01-18 00:00:00+00:00,101.164372246396,102.6554458768866,100.96556546259431,102.12860107421875,159500
2024-01-19 00:00:00+00:00,103.23201564785784,105.26981969433507,101.37314835815803,104.9815444946289,301100
2024-01-22 00:00:00+00:00,106.83047024111022,107.8344620707599,105.975587310358,106.9596939086914,175700
2024-01-23 00:00:00+00:00,108.40107441597638,108.8682711958086,106.63166036948716,107.1286849975586,158100
2024-01-24 00:00:00+00:00,108.99750563667187,108.99750563667187,106.3930937792651,106.86029815673828,174800
2024-01-25 00:00:00+00:00,108.95773668110398,109.32553762635426,104.92189923514191,105.8563003540039,132500
2024-01-26 00:00:00+00:00,105.80659649601327,105.80659649601327,103.08289629907216,104.40498352050781,147300
2024-01-29 00:00:00+00:00,104.19622640768783,107.21813658318945,103.20217730721991,106.989501953125,145100
2024-01-30 00:00:00+00:00,106.65153352030046,107.72510841548014,105.98552241428816,106.6614761352539,183000
2024-01-31 00:00:00+00:00,105.97557532575624,106.97956704186616,103.33140107524706,103.5600357055664,282100
2024-02-01 00:00:00+00:00,103.85825941957992,105.7966522451051,102.69521614027161,105.35926818847656,148200
2024-02-02 00:00:00+00:00,103.78868380759673,106.73106862010295,103.76879857594815,105.40898132324219,156400
2024-02-05 00:00:00+00:00,104.11670988477256,105.38909163267228,102.60575845514,104.49445343017578,155100
2024-02-06 00:00:00+00:00,103.8781430010503,106.0749908568306,103.62963069722004,105.96564483642578,348000
2024-02-07 00:00:00+00:00,95.97545415401953,101.99938993314632,95.2796151573852,99.8621826171875,708900
2024-02-08 00:00:00+00:00,99.87212212542991,101.87016309669467,99.05700210284327,100.27967834472656,344600
2024-02-09 00:00:00+00:00,101.24390092409072,104.99147033756908,99.92181377996205,104.14652252197266,324400
2024-02-12 00:00:00+00:00,103.89801172524332,105.56801456691625,102.00932444553587,104.93182373046875,263400
2024-02-13 00:00:00+00:00,100.07093826745927,103.26183551652623,98.61962724222593,99.37510681152344,254300
2024-02-14 00:00:00+00:00,101.28367605559248,102.11868135756096,99.70314141057163,101.73099517822266,219700
2024-02-15 00:00:00+00:00,102.91507422349035,104.5270117891369,102.48721467410704,103.15387725830078,222000
2024-02-16 00:00:00+00:00,102.69617162781144,103.99964740828547,101.45239471013412,102.93497467041016,193800
2024-02-20 00:00:00+00:00,101.19367710535455,101.19367710535455,99.00463298054022,99.10413360595703,247300
