"('date', '')","('open', 'ASC')","('high', 'ASC')","('low', 'ASC')","('close', 'ASC')","('volume', 'ASC')"
2024-01-02 00:00:00+00:00,13.283751296713945,13.458658234961652,13.136461058627651,13.164077758789062,572900
2024-01-03 00:00:00+00:00,13.164078657432363,13.69800624590318,13.108844375419912,13.605949401855469,787800
2024-01-04 00:00:00+00:00,13.790062230827123,14.121466167515273,13.440248329974947,13.458659172058105,984300
2024-01-05 00:00:00+00:00,13.53230300511077,13.900529468751847,13.47706960621199,13.808472633361816,905100
2024-01-08 00:00:00+00:00,13.615154177584968,13.790061113843741,13.394218822967867,13.780856132507324,595700
2024-01-09 00:00:00+00:00,13.826884833901348,13.882118234726718,13.458658357416208,13.734827995300293,445100
2024-01-10 00:00:00+00:00,13.790061735458536,13.790061735458536,13.431041987501976,13.532303810119629,401700
2024-01-11 00:00:00+00:00,13.495481674304886,13.642771921993589,13.182489459006824,13.615155220031738,516500
2024-01-12 00:00:00+00:00,14.268756729978179,14.370018558462613,13.698006566129349,13.85450267791748,1057000
2024-01-16 00:00:00+00:00,13.992587341211431,14.185906019652343,13.62436170509501,13.670390129089355,609600
2024-01-17 00:00:00+00:00,13.587538620324535,14.093849509004105,13.587538620324535,14.038615226745605,878800
2024-01-18 00:00:00+00:00,14.31478533227394,14.351607895630975,14.075438231493635,14.259551048278809,1173900
2024-01-19 00:00:00+00:00,14.36081226957473,14.471279948212189,14.01099751492991,14.342400550842285,764300
2024-01-22 00:00:00+00:00,14.416045669933924,14.627776045761689,14.250343713018202,14.342400550842285,921300
2024-01-23 00:00:00+00:00,14.268755040982123,14.397634434822494,14.057025548871916,14.250343322753906,598100
2024-01-24 00:00:00+00:00,14.600159163846698,15.22614446181281,14.600159163846698,14.977591514587402,1159700
2024-01-25 00:00:00+00:00,15.1248816279068,15.18932089014299,14.61857075598488,14.701421737670898,748300
2024-01-26 00:00:00+00:00,14.765860796131912,15.023617826194315,14.692214801646747,15.005206108093262,818900
2024-01-29 00:00:00+00:00,15.216938628402993,15.447079856417227,14.894740558015418,15.115675926208496,960100
2024-01-30 00:00:00+00:00,15.051237505146192,15.373435593554987,14.894741391109825,15.281378746032715,776600
2024-01-31 00:00:00+00:00,15.235348618155918,15.539134969418587,15.097264232279837,15.25376033782959,590300
2024-02-01 00:00:00+00:00,15.37343381249901,15.437873071547633,14.360812118745748,14.959178924560547,1126300
2024-02-02 00:00:00+00:00,14.977592637538244,15.005208463186092,14.793478939306935,14.94076919555664,861100
2024-02-05 00:00:00+00:00,14.876328729975153,15.097264096558364,14.54492568010034,14.996003150939941,808400
2024-02-06 00:00:00+00:00,15.005206990936626,15.207732390287775,14.82109506660798,14.876328468322754,625100
2024-02-07 00:00:00+00:00,14.784271710660553,14.986797111140767,14.646187327684713,14.857916831970215,634500
2024-02-08 00:00:00+00:00,14.811890466484373,14.93156313968196,14.63698263103713,14.683011054992676,601700
2024-02-09 00:00:00+00:00,14.655393117566291,14.756655817324372,14.554131295727302,14.72903823852539,605000
2024-02-12 00:00:00+00:00,14.775066242147373,15.327405544510635,14.765862138098429,15.23534870147705,845200
2024-02-13 00:00:00+00:00,15.143293547418365,15.18932109081281,14.913152318769686,15.106470108032227,585200
2024-02-14 00:00:00+00:00,15.207732784497006,15.272172047474312,14.793477871302565,14.968385696411133,564000
2024-02-15 00:00:00+00:00,14.747449428875608,15.097263301927327,13.854501271869118,14.959178924560547,1407300
2024-02-16 00:00:00+00:00,15.060442012157752,15.308993195543371,14.830300791951617,15.051236152648926,1072400
2024-02-20 00:00:00+00:00,15.051237147121936,15.069648867356097,14.6922165038281,14.756656646728516,753600
2024-02-21 00:00:00+00:00,14.729038226524564,15.161703092326977,14.636981386441148,14.876328468322754,606600
2024-02-22 00:00:00+00:00,14.894740573603036,14.986797416072713,14.544925801305016,14.968385696411133,632500
2024-02-23 00:00:00+00:00,14.894739804881464,14.894739804881464,14.636981010437012,14.636981010437012,512500
2024-02-26 00:00:00+00:00,14.618571880358514,14.848712245748665,14.572543456112815,14.821096420288086,544000
2024-02-27 00:00:00+00:00,14.87632855125718,15.042030513163466,14.683009888339543,14.857916831970215,546700
2024-02-28 00:00:00+00:00,14.923205764812252,15.156380854887443,14.885897785979916,14.94186019897461,395300
