"('date', '')","('open', 'CR')","('high', 'CR')","('low', 'CR')","('close', 'CR')","('volume', 'CR')"
2023-03-29 00:00:00+00:00,73.8407055536906,75.17968428198138,67.93344910939534,70.88707733154297,171500
2023-03-30 00:00:00+00:00,71.87161275502798,73.84069803598764,71.37934143478806,72.85615539550781,38600
2023-03-31 00:00:00+00:00,72.8561524676234,73.84069506853723,72.8561524676234,73.4468765258789,27400
2023-04-03 00:00:00+00:00,72.75771546068307,73.76194582597054,71.77317264663179,73.5256576538086,73700
2023-04-04 00:00:00+00:00,73.94899930758992,81.7170402430281,71.33011224369601,77.77886962890625,1875500
2023-04-05 00:00:00+00:00,78.70435941616144,80.94911595749029,76.38083764249608,76.53836059570312,1836600
2023-04-06 00:00:00+00:00,76.25282633077852,80.65373324118711,76.11007094952683,78.84217834472656,898500
2023-04-10 00:00:00+00:00,78.19236658190896,80.9687762392034,77.09952376357847,77.12905883789062,1118600
2023-04-11 00:00:00+00:00,76.39066106925603,80.38790936018778,76.12975786634779,78.76341247558594,476000
2023-04-12 00:00:00+00:00,78.77326320741962,79.80702853130474,77.92458788423099,78.9307861328125,359100
2023-04-13 00:00:00+00:00,78.29083804765253,80.02856295351633,78.11362004795491,78.50743865966797,484400
2023-04-14 00:00:00+00:00,78.2711338944427,79.77748281661476,77.57210957487426,78.80278778076172,426700
2023-04-17 00:00:00+00:00,78.76341948422285,80.55528697703032,78.52713132898039,79.89564514160156,207200
2023-04-18 00:00:00+00:00,80.15163390060309,80.50606240224292,77.1290802578807,77.42444610595703,557900
2023-04-19 00:00:00+00:00,76.9124808572408,78.10377666048952,75.89445952696029,77.58197021484375,338400
2023-04-20 00:00:00+00:00,76.59742121420462,77.58196386471386,75.66210118934224,76.07560729980469,222300
2023-04-21 00:00:00+00:00,76.22328807091341,77.31711498517254,73.42226310660723,75.08122253417969,304700
2023-04-24 00:00:00+00:00,75.1501457821109,75.5833394605185,72.51157105659424,72.64940643310547,416200
2023-04-25 00:00:00+00:00,71.63533732922512,75.07138965068204,71.63533732922512,72.80693817138672,294800
2023-04-26 00:00:00+00:00,71.46795700502344,72.55588008516987,69.86315497302809,70.29635620117188,429100
2023-04-27 00:00:00+00:00,70.32589134575203,71.41873443666331,69.92222519889951,71.28089904785156,227300
2023-04-28 00:00:00+00:00,71.14304387411848,71.50731979547334,70.25793811453151,70.95597839355469,487600
2023-05-01 00:00:00+00:00,70.95598548438662,72.25066141805469,70.95598548438662,71.36949157714844,253900
2023-05-02 00:00:00+00:00,70.97568238821228,71.33011837486589,70.10928748276179,70.12898254394531,352400
