"('date', '')","('open', 'CFBK')","('high', 'CFBK')","('low', 'CFBK')","('close', 'CFBK')","('volume', 'CFBK')"
1998-12-30 00:00:00+00:00,198.74891110446637,203.37097167968753,194.12683010458142,203.3709716796875,1003
1998-12-31 00:00:00+00:00,201.0599161053575,203.37094610231657,198.74888610839844,198.74888610839844,264
1999-01-04 00:00:00+00:00,198.7488620242533,198.7488620242533,187.19369301503804,190.66024780273438,2259
1999-01-05 00:00:00+00:00,190.66020142135602,192.97123057606964,188.34915184198854,192.3934783935547,5477
1999-01-06 00:00:00+00:00,194.1268194321929,198.74890017797262,194.1268194321929,198.17112731933594,5151
1999-01-07 00:00:00+00:00,198.7488654501061,198.7488654501061,196.43783569335938,196.43783569335938,2056
1999-01-08 00:00:00+00:00,197.59329812974477,199.90432739257812,197.59329812974477,199.90432739257812,840
1999-01-11 00:00:00+00:00,196.43783569335938,199.90437011614992,196.43783569335938,196.43783569335938,261
1999-01-12 00:00:00+00:00,197.59332275390625,199.90435230474105,197.59332275390625,197.59332275390625,699
1999-01-13 00:00:00+00:00,195.2823486328125,195.2823486328125,195.2823486328125,195.2823486328125,145
1999-01-14 00:00:00+00:00,198.7488652109102,198.7488652109102,194.1267852783203,194.1267852783203,1824
1999-01-15 00:00:00+00:00,195.28231060265645,196.43783569335938,194.12678551195353,196.43783569335938,1701
1999-01-19 00:00:00+00:00,194.12678551195353,198.7488654501061,191.8157557552068,196.43783569335938,2147
1999-01-20 00:00:00+00:00,196.43783569335938,196.43783569335938,196.43783569335938,196.43783569335938,641
1999-01-21 00:00:00+00:00,196.43783569335938,197.5933403594032,195.28231060265645,196.43783569335938,1730
1999-01-22 00:00:00+00:00,195.28231036763256,196.4378354569448,194.1267852783203,194.1267852783203,804
1999-01-25 00:00:00+00:00,195.28231060265645,196.43783569335938,195.28231060265645,196.43783569335938,358
1999-01-26 00:00:00+00:00,197.59337883961956,197.59337883961956,194.12682331707742,195.2823486328125,272
1999-01-27 00:00:00+00:00,194.12678551195353,196.43783569335938,194.12678551195353,196.43783569335938,1035
