"('date', '')","('open', 'CODI')","('high', 'CODI')","('low', 'CODI')","('close', 'CODI')","('volume', 'CODI')"
2006-05-18 00:00:00+00:00,3.2276475215796023,3.2276475215796023,3.1093004047466897,3.206129789352417,574400
2006-05-19 00:00:00+00:00,3.206128575110647,3.206128575110647,3.141575813293457,3.141575813293457,11400
2006-05-22 00:00:00+00:00,3.173852972192247,3.3223246480573954,3.1544870568167327,3.2491648197174072,161800
2006-05-23 00:00:00+00:00,3.2384061455982427,3.270682536317817,3.1630942936415183,3.1738531589508057,120500
2006-05-24 00:00:00+00:00,3.1953714666565936,3.225496048713182,3.163094864899546,3.1824607849121094,31700
2006-05-25 00:00:00+00:00,3.158790645555396,3.2039777124678577,3.158790645555396,3.1846117973327637,16700
2006-05-26 00:00:00+00:00,3.2061300376248085,3.225495957087249,3.163094775046229,3.216888904571533,17000
2006-05-30 00:00:00+00:00,3.2276472043917184,3.2276472043917184,3.1867637634277344,3.1867637634277344,16300
2006-05-31 00:00:00+00:00,3.2254955105336793,3.2254955105336793,3.188915491104126,3.188915491104126,131900
2006-06-01 00:00:00+00:00,3.2233434223946786,3.2233434223946786,3.1846117973327637,3.1846117973327637,10800
2006-06-02 00:00:00+00:00,3.2190401554107666,3.223343578311019,3.184611951375617,3.2190401554107666,34200
2006-06-05 00:00:00+00:00,3.2147370901405243,3.2233441426562406,3.2082818520558174,3.216888904571533,22200
2006-06-06 00:00:00+00:00,3.2276466887749176,3.2362537384033203,3.206128962099785,3.2362537384033203,36200
2006-06-07 00:00:00+00:00,3.2362548240339737,3.2384066384649826,3.216888904571533,3.216888904571533,24500
2006-06-08 00:00:00+00:00,3.227648440234854,3.2341036796569824,3.206130701883277,3.2341036796569824,18500
2006-06-09 00:00:00+00:00,3.2362550729684245,3.238406887564952,3.221192781209402,3.2276480197906494,14700
2006-06-12 00:00:00+00:00,3.227646741629745,3.2297985553741455,3.2147360643715945,3.2297985553741455,23800
2006-06-13 00:00:00+00:00,3.238406887564952,3.238406887564952,3.216889152016347,3.2276480197906494,63700
2006-06-14 00:00:00+00:00,3.2297995859492663,3.2297995859492663,3.1889159325933765,3.216888904571533,18900
