"('date', '')","('open', 'ARCT')","('high', 'ARCT')","('low', 'ARCT')","('close', 'ARCT')","('volume', 'ARCT')"
2024-01-02 00:00:00+00:00,31.579999923706055,34.119998931884766,30.65999984741211,33.09000015258789,366800
2024-01-03 00:00:00+00:00,32.689998626708984,32.7599983215332,30.90999984741211,31.3700008392334,260100
2024-01-04 00:00:00+00:00,31.329999923706055,31.780000686645508,29.90999984741211,31.290000915527344,279000
2024-01-05 00:00:00+00:00,30.670000076293945,31.649999618530273,29.6299991607666,31.229999542236328,153200
2024-01-08 00:00:00+00:00,30.899999618530273,32.66999816894531,30.389999389648438,32.650001525878906,279800
2024-01-09 00:00:00+00:00,32.029998779296875,33.41999816894531,31.170000076293945,32.95000076293945,337500
2024-01-10 00:00:00+00:00,32.810001373291016,34.22999954223633,32.09000015258789,34.20000076293945,502100
2024-01-11 00:00:00+00:00,33.7400016784668,33.77000045776367,31.889999389648438,32.02000045776367,702500
2024-01-12 00:00:00+00:00,32.349998474121094,33.650001525878906,31.989999771118164,33.150001525878906,347300
2024-01-16 00:00:00+00:00,32.619998931884766,32.97999954223633,30.950000762939453,32.279998779296875,332200
2024-01-17 00:00:00+00:00,31.549999237060547,33.34000015258789,30.670000076293945,32.45000076293945,362700
2024-01-18 00:00:00+00:00,32.7599983215332,32.7599983215332,31.270000457763672,32.27000045776367,262100
2024-01-19 00:00:00+00:00,32.36000061035156,33.369998931884766,31.639999389648438,32.77000045776367,297400
2024-01-22 00:00:00+00:00,33.0,34.959999084472656,33.0,34.13999938964844,375300
2024-01-23 00:00:00+00:00,34.59000015258789,34.83000183105469,33.66999816894531,34.630001068115234,395500
2024-01-24 00:00:00+00:00,34.970001220703125,34.97999954223633,32.04999923706055,32.20000076293945,311400
2024-01-25 00:00:00+00:00,32.689998626708984,33.72999954223633,32.459999084472656,32.88999938964844,284000
2024-01-26 00:00:00+00:00,32.900001525878906,33.41999816894531,31.5,31.719999313354492,263400
2024-01-29 00:00:00+00:00,31.93000030517578,33.65999984741211,31.049999237060547,33.630001068115234,352200
2024-01-30 00:00:00+00:00,33.34000015258789,33.34000015258789,31.989999771118164,32.70000076293945,251200
2024-01-31 00:00:00+00:00,32.459999084472656,34.310001373291016,32.0,32.970001220703125,380700
2024-02-01 00:00:00+00:00,33.310001373291016,35.0,32.33000183105469,34.66999816894531,450600
2024-02-02 00:00:00+00:00,34.060001373291016,35.52000045776367,33.41999816894531,34.720001220703125,331900
2024-02-05 00:00:00+00:00,34.619998931884766,35.349998474121094,33.43000030517578,35.06999969482422,281900
2024-02-06 00:00:00+00:00,35.13999938964844,37.849998474121094,34.720001220703125,37.75,418500
2024-02-07 00:00:00+00:00,37.72999954223633,38.27000045776367,37.040000915527344,37.29999923706055,248200
2024-02-08 00:00:00+00:00,37.93000030517578,39.0,37.58000183105469,37.90999984741211,453800
2024-02-09 00:00:00+00:00,38.22999954223633,39.880001068115234,37.400001525878906,39.63999938964844,467100
2024-02-12 00:00:00+00:00,39.97999954223633,41.68000030517578,39.54999923706055,41.619998931884766,424200
