"('date', '')","('open', 'ALGN')","('high', 'ALGN')","('low', 'ALGN')","('close', 'ALGN')","('volume', 'ALGN')"
2024-01-02 00:00:00+00:00,271.0,272.8599853515625,266.07000732421875,268.9200134277344,761800
2024-01-03 00:00:00+00:00,263.5899963378906,263.7200012207031,250.27999877929688,256.2200012207031,1354200
2024-01-04 00:00:00+00:00,255.0,263.19000244140625,253.1999969482422,261.3599853515625,909600
2024-01-05 00:00:00+00:00,259.0,269.75,259.0,264.67999267578125,846800
2024-01-08 00:00:00+00:00,264.80999755859375,275.0,263.7799987792969,273.94000244140625,704100
2024-01-09 00:00:00+00:00,269.3399963378906,281.94000244140625,268.67999267578125,277.5199890136719,694400
2024-01-10 00:00:00+00:00,277.0,279.94000244140625,271.2200012207031,276.7900085449219,718500
2024-01-11 00:00:00+00:00,276.8900146484375,280.2200012207031,273.8500061035156,276.3599853515625,675400
2024-01-12 00:00:00+00:00,276.3599853515625,279.1499938964844,270.1300048828125,271.6400146484375,440400
2024-01-16 00:00:00+00:00,268.5,268.9200134277344,264.5799865722656,267.4599914550781,467900
2024-01-17 00:00:00+00:00,261.0,264.7900085449219,256.80999755859375,259.55999755859375,989200
2024-01-18 00:00:00+00:00,264.0899963378906,264.67999267578125,259.2200012207031,264.510009765625,614500
2024-01-19 00:00:00+00:00,264.20001220703125,267.2099914550781,260.45001220703125,266.3399963378906,644200
2024-01-22 00:00:00+00:00,269.0,273.3800048828125,266.04998779296875,271.6099853515625,534400
2024-01-23 00:00:00+00:00,274.1000061035156,274.1000061035156,264.260009765625,266.42999267578125,552800
2024-01-24 00:00:00+00:00,269.0,269.0,257.04998779296875,257.07000732421875,957200
2024-01-25 00:00:00+00:00,261.3399963378906,262.57000732421875,254.27999877929688,262.1099853515625,894100
2024-01-26 00:00:00+00:00,264.54998779296875,269.8500061035156,262.6000061035156,264.2799987792969,894500
2024-01-29 00:00:00+00:00,263.1400146484375,274.79998779296875,263.1400146484375,270.3900146484375,1166100
2024-01-30 00:00:00+00:00,267.7799987792969,271.0,264.04998779296875,264.739990234375,1113300
2024-01-31 00:00:00+00:00,264.54998779296875,274.0,262.0,267.32000732421875,1521000
2024-02-01 00:00:00+00:00,303.0,308.0,266.29998779296875,273.3800048828125,4920700
2024-02-02 00:00:00+00:00,270.0,277.2900085449219,263.8500061035156,273.8999938964844,1259900
2024-02-05 00:00:00+00:00,272.05999755859375,276.4200134277344,267.92999267578125,275.5799865722656,675500
2024-02-06 00:00:00+00:00,276.5,293.9200134277344,276.0199890136719,288.44000244140625,1440900
2024-02-07 00:00:00+00:00,288.17999267578125,291.0400085449219,282.5899963378906,284.7300109863281,835300
2024-02-08 00:00:00+00:00,285.3699951171875,296.6000061035156,283.6700134277344,295.0,1150600
2024-02-09 00:00:00+00:00,292.8299865722656,298.5400085449219,291.05999755859375,296.3699951171875,855600
2024-02-12 00:00:00+00:00,294.7099914550781,303.8800048828125,294.7099914550781,302.44000244140625,827500
2024-02-13 00:00:00+00:00,290.9700012207031,296.1700134277344,288.3299865722656,292.32000732421875,867300
2024-02-14 00:00:00+00:00,295.3299865722656,303.1300048828125,293.29998779296875,302.75,757100
2024-02-15 00:00:00+00:00,307.3599853515625,312.4800109863281,305.42999267578125,309.7699890136719,711600
2024-02-16 00:00:00+00:00,307.19000244140625,314.32000732421875,305.0799865722656,308.7699890136719,764300
2024-02-20 00:00:00+00:00,304.3299865722656,314.70001220703125,303.010009765625,313.5299987792969,1031800
2024-02-21 00:00:00+00:00,307.80999755859375,309.1099853515625,300.0799865722656,304.6499938964844,920700
2024-02-22 00:00:00+00:00,305.44000244140625,317.25,303.5799865722656,316.55999755859375,732300
2024-02-23 00:00:00+00:00,315.3500061035156,321.8299865722656,314.05999755859375,316.8800048828125,579900
2024-02-26 00:00:00+00:00,312.8999938964844,316.8999938964844,310.739990234375,310.8399963378906,489100
2024-02-27 00:00:00+00:00,311.7900085449219,313.7099914550781,308.1400146484375,313.05999755859375,487700
2024-02-28 00:00:00+00:00,308.8699951171875,309.3999938964844,302.05999755859375,302.3900146484375,558800
2024-02-29 00:00:00+00:00,303.1000061035156,306.79998779296875,301.6499938964844,302.4200134277344,576700
2024-03-01 00:00:00+00:00,301.3599853515625,304.6300048828125,297.239990234375,300.010009765625,645100
2024-03-04 00:00:00+00:00,301.5299987792969,310.3699951171875,299.4100036621094,308.0400085449219,614800
2024-03-05 00:00:00+00:00,303.7799987792969,305.0199890136719,296.1400146484375,299.489990234375,572300
2024-03-06 00:00:00+00:00,304.989990234375,306.5,302.489990234375,303.7900085449219,370200
2024-03-07 00:00:00+00:00,308.1700134277344,312.7699890136719,306.55999755859375,310.79998779296875,512500
2024-03-08 00:00:00+00:00,312.9599914550781,318.6400146484375,310.5199890136719,312.489990234375,411600
2024-03-11 00:00:00+00:00,310.239990234375,314.82000732421875,305.94000244140625,308.0899963378906,427400
2024-03-12 00:00:00+00:00,309.6199951171875,312.42999267578125,305.739990234375,310.67999267578125,310100
2024-03-13 00:00:00+00:00,315.0,325.8999938964844,315.0,320.69000244140625,694700
2024-03-14 00:00:00+00:00,322.260009765625,322.6499938964844,312.67999267578125,316.9200134277344,642500
2024-03-15 00:00:00+00:00,312.4599914550781,319.7699890136719,312.4599914550781,314.3500061035156,744800
2024-03-18 00:00:00+00:00,318.55999755859375,320.0899963378906,315.3999938964844,316.1400146484375,484200
2024-03-19 00:00:00+00:00,314.4800109863281,319.67999267578125,312.6099853515625,317.20001220703125,397500
2024-03-20 00:00:00+00:00,317.9800109863281,329.4100036621094,317.8800048828125,329.1400146484375,596100
2024-03-21 00:00:00+00:00,331.010009765625,335.3999938964844,321.0299987792969,321.2699890136719,454800
2024-03-22 00:00:00+00:00,320.07000732421875,324.0400085449219,315.0,319.4200134277344,456900
2024-03-25 00:00:00+00:00,318.1700134277344,323.2099914550781,316.19000244140625,319.2799987792969,380700
2024-03-26 00:00:00+00:00,322.3900146484375,323.45001220703125,317.1300048828125,319.94000244140625,414400
2024-03-27 00:00:00+00:00,325.1000061035156,328.20001220703125,324.2699890136719,327.8999938964844,404600
2024-03-28 00:00:00+00:00,329.3800048828125,329.989990234375,326.07000732421875,327.9200134277344,367300
