"('date', '')","('open', 'BIIB')","('high', 'BIIB')","('low', 'BIIB')","('close', 'BIIB')","('volume', 'BIIB')"
2024-01-02 00:00:00+00:00,257.55999755859375,267.989990234375,256.7099914550781,267.7099914550781,1084700
2024-01-03 00:00:00+00:00,268.2699890136719,268.29998779296875,263.3900146484375,263.42999267578125,814300
2024-01-04 00:00:00+00:00,264.5799865722656,264.5799865722656,259.6099853515625,260.2799987792969,949000
2024-01-05 00:00:00+00:00,257.4700012207031,259.92999267578125,255.3800048828125,257.8800048828125,849600
2024-01-08 00:00:00+00:00,255.05999755859375,258.7099914550781,251.52999877929688,257.9800109863281,1419700
2024-01-09 00:00:00+00:00,256.19000244140625,257.2799987792969,253.61000061035156,255.83999633789062,807700
2024-01-10 00:00:00+00:00,254.36000061035156,255.17999267578125,251.0,254.22999572753906,792900
2024-01-11 00:00:00+00:00,252.2899932861328,252.94000244140625,245.0,247.2100067138672,1196600
2024-01-12 00:00:00+00:00,248.1699981689453,250.4499969482422,246.72999572753906,248.1199951171875,769600
2024-01-16 00:00:00+00:00,247.0,247.55999755859375,244.0,246.19000244140625,1055800
2024-01-17 00:00:00+00:00,244.7100067138672,246.19000244140625,242.52000427246094,245.27000427246094,773100
2024-01-18 00:00:00+00:00,243.88999938964844,247.97999572753906,240.8300018310547,246.97000122070312,1172000
2024-01-19 00:00:00+00:00,246.9600067138672,251.27999877929688,244.42999267578125,249.9600067138672,2316700
2024-01-22 00:00:00+00:00,250.3000030517578,252.1699981689453,247.07000732421875,248.3000030517578,787200
2024-01-23 00:00:00+00:00,249.1300048828125,251.9199981689453,248.00999450683594,251.67999267578125,728000
2024-01-24 00:00:00+00:00,248.33999633789062,250.8000030517578,246.97000122070312,247.16000366210938,855100
2024-01-25 00:00:00+00:00,247.22000122070312,249.47000122070312,245.24000549316406,246.2100067138672,695900
2024-01-26 00:00:00+00:00,247.36000061035156,248.07000732421875,244.41000366210938,244.82000732421875,540800
2024-01-29 00:00:00+00:00,243.41000366210938,248.33999633789062,242.4199981689453,247.52000427246094,681400
2024-01-30 00:00:00+00:00,245.97999572753906,248.36000061035156,243.5800018310547,247.0800018310547,815600
2024-01-31 00:00:00+00:00,247.6699981689453,251.99000549316406,246.24000549316406,246.66000366210938,1119900
2024-02-01 00:00:00+00:00,245.39999389648438,249.3300018310547,240.0,247.8300018310547,955500
2024-02-02 00:00:00+00:00,245.92999267578125,246.38999938964844,241.52999877929688,243.72000122070312,861400
2024-02-05 00:00:00+00:00,242.2100067138672,245.22999572753906,240.5,241.83999633789062,858600
2024-02-06 00:00:00+00:00,241.0,245.8800048828125,239.9600067138672,245.5500030517578,1304800
2024-02-07 00:00:00+00:00,246.44000244140625,246.44000244140625,240.5399932861328,240.5399932861328,773800
2024-02-08 00:00:00+00:00,239.88999938964844,240.5399932861328,237.52000427246094,240.3000030517578,743700
2024-02-09 00:00:00+00:00,239.8800048828125,241.36000061035156,238.89999389648438,240.97999572753906,689900
2024-02-12 00:00:00+00:00,239.4499969482422,244.9499969482422,239.4499969482422,244.74000549316406,962000
2024-02-13 00:00:00+00:00,235.63999938964844,237.0,225.27999877929688,226.64999389648438,3403600
2024-02-14 00:00:00+00:00,227.00999450683594,227.99000549316406,220.55999755859375,220.74000549316406,2220600
2024-02-15 00:00:00+00:00,221.14999389648438,225.0,220.07000732421875,223.35000610351562,1307700
2024-02-16 00:00:00+00:00,221.14999389648438,221.75,217.52999877929688,219.0800018310547,1768100
2024-02-20 00:00:00+00:00,217.55999755859375,220.25,215.67999267578125,219.2100067138672,1919600
2024-02-21 00:00:00+00:00,221.49000549316406,223.41000366210938,219.0,221.11000061035156,1055000
2024-02-22 00:00:00+00:00,221.22999572753906,223.22000122070312,218.69000244140625,222.47999572753906,901100
2024-02-23 00:00:00+00:00,223.42999267578125,225.8000030517578,221.5,223.32000732421875,911000
2024-02-26 00:00:00+00:00,222.52000427246094,224.99000549316406,222.0,223.7100067138672,774500
2024-02-27 00:00:00+00:00,223.72000122070312,224.8699951171875,220.1999969482422,223.94000244140625,983100
2024-02-28 00:00:00+00:00,222.25,224.1199951171875,221.0,221.74000549316406,1038400
2024-02-29 00:00:00+00:00,221.75999450683594,224.0,216.6999969482422,216.99000549316406,1917800
2024-03-01 00:00:00+00:00,217.4600067138672,222.02000427246094,215.35000610351562,220.9499969482422,1085400
2024-03-04 00:00:00+00:00,221.1699981689453,222.9199981689453,219.75999450683594,221.02000427246094,1083600
2024-03-05 00:00:00+00:00,219.64999389648438,221.5,216.5,217.22999572753906,890400
2024-03-06 00:00:00+00:00,217.47000122070312,219.99000549316406,216.8000030517578,217.55999755859375,1441400
2024-03-07 00:00:00+00:00,219.9199981689453,219.9199981689453,216.69000244140625,219.36000061035156,1150300
2024-03-08 00:00:00+00:00,225.4499969482422,228.36000061035156,221.97999572753906,223.24000549316406,1657800
2024-03-11 00:00:00+00:00,223.3000030517578,230.22000122070312,223.24000549316406,230.07000732421875,1218200
2024-03-12 00:00:00+00:00,229.33999633789062,229.75,225.35000610351562,227.36000061035156,1068900
2024-03-13 00:00:00+00:00,228.75999450683594,229.89999389648438,224.92999267578125,226.55999755859375,1481100
2024-03-14 00:00:00+00:00,225.25,226.02000427246094,218.5800018310547,219.6199951171875,1611500
2024-03-15 00:00:00+00:00,219.14999389648438,221.30999755859375,216.8000030517578,219.30999755859375,2407100
2024-03-18 00:00:00+00:00,220.33999633789062,220.55999755859375,217.52999877929688,219.39999389648438,1356500
2024-03-19 00:00:00+00:00,218.35000610351562,219.02000427246094,215.58999633789062,218.6300048828125,1518800
2024-03-20 00:00:00+00:00,217.17999267578125,219.36000061035156,216.52999877929688,218.14999389648438,945000
2024-03-21 00:00:00+00:00,219.3300018310547,221.74000549316406,217.9499969482422,220.75,1001100
2024-03-22 00:00:00+00:00,221.3000030517578,221.3000030517578,215.36000061035156,218.10000610351562,1070900
2024-03-25 00:00:00+00:00,217.77000427246094,218.25999450683594,215.58999633789062,216.69000244140625,725900
2024-03-26 00:00:00+00:00,216.14999389648438,216.6699981689453,211.02000427246094,212.02000427246094,1589800
2024-03-27 00:00:00+00:00,213.75,216.33999633789062,212.9199981689453,216.33999633789062,1250000
2024-03-28 00:00:00+00:00,217.36000061035156,217.57000732421875,214.0,215.6300048828125,1912200
2024-04-01 00:00:00+00:00,215.69000244140625,215.69000244140625,212.55999755859375,214.8300018310547,850300
2024-04-02 00:00:00+00:00,213.08999633789062,213.44000244140625,207.5800018310547,207.63999938964844,1462800
2024-04-03 00:00:00+00:00,207.7100067138672,208.6999969482422,205.36000061035156,206.3800048828125,904500
2024-04-04 00:00:00+00:00,207.24000549316406,210.0,205.22000122070312,205.3000030517578,776400
2024-04-05 00:00:00+00:00,204.27999877929688,205.19000244140625,202.17999267578125,203.8699951171875,954500
