"('date', '')","('open', 'CNF')","('high', 'CNF')","('low', 'CNF')","('close', 'CNF')","('volume', 'CNF')"
2018-11-07 00:00:00+00:00,76.0999984741211,77.4000015258789,70.5999984741211,76.0,96570
2018-11-08 00:00:00+00:00,75.0,75.19999694824219,72.5,74.0,7230
2018-11-09 00:00:00+00:00,74.0,74.0999984741211,72.5,72.5999984741211,2010
2018-11-12 00:00:00+00:00,72.5999984741211,73.30000305175781,72.5,72.5,5280
2018-11-13 00:00:00+00:00,71.5999984741211,75.9000015258789,71.30000305175781,75.5,6910
2018-11-14 00:00:00+00:00,75.5,75.5,74.0999984741211,75.0,2900
2018-11-15 00:00:00+00:00,73.5,75.80000305175781,73.5,74.5999984741211,1040
2018-11-16 00:00:00+00:00,74.4000015258789,74.5,73.4000015258789,73.4000015258789,670
2018-11-19 00:00:00+00:00,73.30000305175781,74.5999984741211,73.19999694824219,74.5999984741211,870
2018-11-20 00:00:00+00:00,75.0,75.5,74.0,74.0999984741211,4040
2018-11-21 00:00:00+00:00,75.5,75.5,74.0999984741211,75.0,1150
2018-11-23 00:00:00+00:00,72.5,73.5,66.4000015258789,66.4000015258789,2210
2018-11-26 00:00:00+00:00,66.5,73.4000015258789,59.79999923706055,69.5,12180
2018-11-27 00:00:00+00:00,69.5,70.0,61.79999923706055,68.0999984741211,10400
2018-11-28 00:00:00+00:00,66.69999694824219,71.0,64.0999984741211,69.0,12630
2018-11-29 00:00:00+00:00,67.69999694824219,71.0,67.0,68.4000015258789,6080
2018-11-30 00:00:00+00:00,68.0,69.80000305175781,65.0,68.5,11050
2018-12-03 00:00:00+00:00,68.5,68.9000015258789,65.69999694824219,65.69999694824219,4430
2018-12-04 00:00:00+00:00,66.5999984741211,68.0,65.5,65.80000305175781,5710
2018-12-06 00:00:00+00:00,64.30000305175781,65.0,60.5,63.29999923706055,16560
2018-12-07 00:00:00+00:00,64.4000015258789,64.4000015258789,57.599998474121094,58.79999923706055,11470
2018-12-10 00:00:00+00:00,58.5,58.5,56.5,57.5,700
2018-12-11 00:00:00+00:00,57.099998474121094,58.099998474121094,56.0,57.5,2990
2018-12-12 00:00:00+00:00,58.70000076293945,58.70000076293945,55.79999923706055,57.29999923706055,410
2018-12-13 00:00:00+00:00,58.0,58.0,55.900001525878906,56.599998474121094,2440
2018-12-14 00:00:00+00:00,57.400001525878906,57.79999923706055,56.0,56.0,1140
2018-12-17 00:00:00+00:00,56.0,56.29999923706055,54.70000076293945,55.20000076293945,1470
2018-12-18 00:00:00+00:00,55.20000076293945,55.20000076293945,51.29999923706055,51.599998474121094,3330
2018-12-19 00:00:00+00:00,51.5,52.5,51.5,52.5,70
2018-12-20 00:00:00+00:00,52.20000076293945,52.70000076293945,51.20000076293945,51.20000076293945,790
2018-12-21 00:00:00+00:00,50.599998474121094,52.5,50.29999923706055,51.70000076293945,230
2018-12-24 00:00:00+00:00,50.0,50.900001525878906,50.0,50.5,370
2018-12-26 00:00:00+00:00,51.099998474121094,51.099998474121094,51.0,51.0,240
2018-12-27 00:00:00+00:00,50.900001525878906,53.5,50.900001525878906,53.5,660
2018-12-28 00:00:00+00:00,54.099998474121094,57.599998474121094,53.0,57.5,770
2018-12-31 00:00:00+00:00,58.20000076293945,59.0,53.400001525878906,55.099998474121094,1390
2019-01-02 00:00:00+00:00,53.900001525878906,55.0,53.0,53.0,800
2019-01-03 00:00:00+00:00,55.900001525878906,59.099998474121094,55.0,55.0,960
2019-01-04 00:00:00+00:00,55.599998474121094,58.0,55.599998474121094,58.0,500
2019-01-07 00:00:00+00:00,58.5,58.599998474121094,55.29999923706055,56.599998474121094,570
2019-01-08 00:00:00+00:00,56.70000076293945,56.70000076293945,56.70000076293945,56.70000076293945,20
2019-01-09 00:00:00+00:00,55.5,55.70000076293945,55.5,55.5,320
2019-01-10 00:00:00+00:00,55.5,55.5,55.5,55.5,20
2019-01-11 00:00:00+00:00,55.20000076293945,57.20000076293945,55.099998474121094,55.5,210
2019-01-14 00:00:00+00:00,55.400001525878906,55.400001525878906,55.0,55.0,80
2019-01-15 00:00:00+00:00,56.5,56.599998474121094,56.0,56.599998474121094,550
2019-01-16 00:00:00+00:00,58.29999923706055,58.29999923706055,54.400001525878906,55.0,130
2019-01-17 00:00:00+00:00,56.5,59.599998474121094,55.20000076293945,59.599998474121094,670
2019-01-18 00:00:00+00:00,58.0,65.69999694824219,58.0,65.69999694824219,220
2019-01-22 00:00:00+00:00,63.0,65.30000305175781,62.599998474121094,64.5,630
2019-01-23 00:00:00+00:00,66.30000305175781,68.19999694824219,66.19999694824219,66.19999694824219,520
2019-01-24 00:00:00+00:00,68.19999694824219,68.19999694824219,68.19999694824219,68.19999694824219,30
2019-01-25 00:00:00+00:00,68.0,68.0,65.4000015258789,65.4000015258789,920
2019-01-28 00:00:00+00:00,65.69999694824219,65.69999694824219,62.400001525878906,62.900001525878906,360
2019-01-29 00:00:00+00:00,62.79999923706055,62.79999923706055,60.400001525878906,60.5,180
2019-01-30 00:00:00+00:00,58.599998474121094,61.5,58.599998474121094,59.0,90
2019-01-31 00:00:00+00:00,59.0,59.900001525878906,59.0,59.0,200
2019-02-01 00:00:00+00:00,60.599998474121094,62.099998474121094,59.099998474121094,60.0,220
2019-02-04 00:00:00+00:00,60.0,61.20000076293945,56.0,56.0,390
