"('date', '')","('open', 'AVTR')","('high', 'AVTR')","('low', 'AVTR')","('close', 'AVTR')","('volume', 'AVTR')"
2024-01-02 00:00:00+00:00,22.68000030517578,23.280000686645508,22.465999603271484,22.75,5794300
2024-01-03 00:00:00+00:00,22.670000076293945,22.700000762939453,21.989999771118164,22.0,8093400
2024-01-04 00:00:00+00:00,22.079999923706055,22.43000030517578,21.8700008392334,21.8799991607666,7201900
2024-01-05 00:00:00+00:00,21.739999771118164,22.010000228881836,21.510000228881836,21.790000915527344,6860100
2024-01-08 00:00:00+00:00,21.799999237060547,22.125,21.440000534057617,21.65999984741211,7767300
2024-01-09 00:00:00+00:00,21.59000015258789,22.975000381469727,21.530000686645508,22.059999465942383,9472000
2024-01-10 00:00:00+00:00,22.0,22.510000228881836,21.75,22.479999542236328,6728800
2024-01-11 00:00:00+00:00,22.40999984741211,22.540000915527344,22.170000076293945,22.399999618530273,5485900
2024-01-12 00:00:00+00:00,22.420000076293945,22.760000228881836,21.989999771118164,22.010000228881836,4765800
2024-01-16 00:00:00+00:00,21.860000610351562,21.975000381469727,21.545000076293945,21.84000015258789,7147500
2024-01-17 00:00:00+00:00,21.610000610351562,21.780000686645508,21.2450008392334,21.3700008392334,5553400
2024-01-18 00:00:00+00:00,21.3799991607666,21.81999969482422,21.28499984741211,21.579999923706055,6787500
2024-01-19 00:00:00+00:00,21.559999465942383,21.760000228881836,21.260000228881836,21.579999923706055,5628000
2024-01-22 00:00:00+00:00,21.559999465942383,22.049999237060547,21.540000915527344,21.989999771118164,11873800
2024-01-23 00:00:00+00:00,22.229999542236328,22.360000610351562,21.829999923706055,22.100000381469727,7468200
2024-01-24 00:00:00+00:00,22.059999465942383,22.309999465942383,21.959999084472656,22.06999969482422,6068700
2024-01-25 00:00:00+00:00,22.059999465942383,22.184999465942383,21.649999618530273,21.940000534057617,4835400
2024-01-26 00:00:00+00:00,23.299999237060547,23.610000610351562,22.614999771118164,22.65999984741211,12933800
2024-01-29 00:00:00+00:00,22.59000015258789,23.1200008392334,22.5,23.059999465942383,6246700
2024-01-30 00:00:00+00:00,23.1200008392334,23.700000762939453,23.09000015258789,23.420000076293945,10843300
2024-01-31 00:00:00+00:00,23.350000381469727,23.440000534057617,22.8700008392334,22.989999771118164,7891600
2024-02-01 00:00:00+00:00,23.25,23.600000381469727,22.81999969482422,23.559999465942383,6347700
2024-02-02 00:00:00+00:00,23.420000076293945,23.6299991607666,23.06999969482422,23.420000076293945,4894400
2024-02-05 00:00:00+00:00,23.299999237060547,23.760000228881836,23.264999389648438,23.729999542236328,4899900
2024-02-06 00:00:00+00:00,23.639999389648438,23.850000381469727,23.420000076293945,23.649999618530273,6445200
2024-02-07 00:00:00+00:00,23.84000015258789,23.989999771118164,23.540000915527344,23.68000030517578,4079000
2024-02-08 00:00:00+00:00,23.59000015258789,23.684999465942383,23.145000457763672,23.299999237060547,4533300
2024-02-09 00:00:00+00:00,23.280000686645508,23.530000686645508,23.100000381469727,23.209999084472656,4796400
2024-02-12 00:00:00+00:00,23.309999465942383,23.309999465942383,22.31999969482422,22.559999465942383,8488800
2024-02-13 00:00:00+00:00,22.280000686645508,22.3799991607666,21.684999465942383,22.139999389648438,11526600
2024-02-14 00:00:00+00:00,23.450000762939453,24.989999771118164,23.139999389648438,24.399999618530273,19549800
2024-02-15 00:00:00+00:00,24.40999984741211,24.7549991607666,24.040000915527344,24.049999237060547,9264300
2024-02-16 00:00:00+00:00,23.989999771118164,24.450000762939453,23.69499969482422,23.760000228881836,10893100
2024-02-20 00:00:00+00:00,23.549999237060547,24.09000015258789,23.520000457763672,24.049999237060547,7367500
2024-02-21 00:00:00+00:00,23.889999389648438,24.479999542236328,23.809999465942383,24.40999984741211,8079700
2024-02-22 00:00:00+00:00,24.549999237060547,24.729999542236328,24.239999771118164,24.59000015258789,5377000
2024-02-23 00:00:00+00:00,24.690000534057617,24.75,24.18000030517578,24.350000381469727,4585400
2024-02-26 00:00:00+00:00,24.295000076293945,24.565000534057617,24.26300048828125,24.459999084472656,3663800
2024-02-27 00:00:00+00:00,24.530000686645508,24.65999984741211,24.34000015258789,24.40999984741211,3293800
2024-02-28 00:00:00+00:00,24.43000030517578,24.861000061035156,24.15999984741211,24.600000381469727,4877100
