"('date', '')","('open', 'ASPI')","('high', 'ASPI')","('low', 'ASPI')","('close', 'ASPI')","('volume', 'ASPI')"
2024-01-02 00:00:00+00:00,1.809999942779541,1.809999942779541,1.7200000286102295,1.7400000095367432,201100
2024-01-03 00:00:00+00:00,1.7400000095367432,1.75,1.659999966621399,1.659999966621399,122800
2024-01-04 00:00:00+00:00,1.649999976158142,1.7300000190734863,1.649999976158142,1.7100000381469727,75500
2024-01-05 00:00:00+00:00,1.7400000095367432,1.7899999618530273,1.7200000286102295,1.75,153600
2024-01-08 00:00:00+00:00,1.809999942779541,1.809999942779541,1.7200000286102295,1.7799999713897705,107600
2024-01-09 00:00:00+00:00,1.7799999713897705,1.8200000524520874,1.7300000190734863,1.7899999618530273,239900
2024-01-10 00:00:00+00:00,1.850000023841858,2.056999921798706,1.7999999523162842,1.9500000476837158,764400
2024-01-11 00:00:00+00:00,2.0,2.0,1.75,1.9500000476837158,339100
2024-01-12 00:00:00+00:00,2.0299999713897705,2.0299999713897705,1.899999976158142,1.9900000095367432,464000
2024-01-16 00:00:00+00:00,2.0,2.049999952316284,1.8300000429153442,1.9199999570846558,674000
2024-01-17 00:00:00+00:00,1.8200000524520874,1.9500000476837158,1.7599999904632568,1.909999966621399,147300
2024-01-18 00:00:00+00:00,1.9299999475479126,1.9800000190734863,1.899999976158142,1.940000057220459,413000
2024-01-19 00:00:00+00:00,2.049999952316284,2.1700000762939453,1.899999976158142,2.0799999237060547,514200
2024-01-22 00:00:00+00:00,2.180000066757202,2.440000057220459,1.9800000190734863,2.2300000190734863,970200
2024-01-23 00:00:00+00:00,2.3299999237060547,2.5399999618530273,2.140000104904175,2.5199999809265137,822800
2024-01-24 00:00:00+00:00,2.5,2.6500000953674316,2.430000066757202,2.5299999713897705,479500
2024-01-25 00:00:00+00:00,2.5899999141693115,2.5899999141693115,2.4100000858306885,2.5399999618530273,441100
2024-01-26 00:00:00+00:00,2.549999952316284,2.5889999866485596,2.4600000381469727,2.569999933242798,264800
2024-01-29 00:00:00+00:00,2.609999895095825,2.640000104904175,2.309999942779541,2.3499999046325684,355500
2024-01-30 00:00:00+00:00,2.319999933242798,2.3570001125335693,2.240000009536743,2.25,275600
2024-01-31 00:00:00+00:00,2.259999990463257,2.5,2.2200000286102295,2.450000047683716,458800
2024-02-01 00:00:00+00:00,2.5,2.9800000190734863,2.5,2.819999933242798,1100000
2024-02-02 00:00:00+00:00,2.859999895095825,2.937999963760376,2.690000057220459,2.7799999713897705,458900
2024-02-05 00:00:00+00:00,2.740000009536743,2.950000047683716,2.625,2.9000000953674316,311000
2024-02-06 00:00:00+00:00,3.0,3.130000114440918,2.9719998836517334,3.0999999046325684,596900
2024-02-07 00:00:00+00:00,3.1500000953674316,3.2200000286102295,3.0199999809265137,3.0899999141693115,590200
2024-02-08 00:00:00+00:00,3.049999952316284,3.0950000286102295,2.9000000953674316,3.0399999618530273,333200
2024-02-09 00:00:00+00:00,2.9700000286102295,3.059999942779541,2.9539999961853027,3.0,238300
2024-02-12 00:00:00+00:00,2.990000009536743,3.0199999809265137,2.869999885559082,2.990000009536743,369500
2024-02-13 00:00:00+00:00,3.0,3.0,2.6700000762939453,2.690000057220459,241800
2024-02-14 00:00:00+00:00,2.7300000190734863,2.930000066757202,2.7079999446868896,2.890000104904175,229400
