"('date', '')","('open', 'CCOI')","('high', 'CCOI')","('low', 'CCOI')","('close', 'CCOI')","('volume', 'CCOI')"
2002-02-05 00:00:00+00:00,58.53245706841497,60.17355399556679,54.70323090506072,55.25026321411133,440
2002-02-06 00:00:00+00:00,54.703232805433,54.703232805433,30.19618492595156,34.68185043334961,6045
2002-02-07 00:00:00+00:00,35.55710515668315,36.65116993073494,32.82194322155368,33.91600799560547,550
2002-02-08 00:00:00+00:00,33.36897465539357,35.01007176959325,33.36897465539357,34.46303939819336,385
2002-02-11 00:00:00+00:00,35.557099483919295,36.1041317836719,34.46303488441409,35.77591323852539,650
2002-02-12 00:00:00+00:00,36.10413109376001,36.10413109376001,34.463034225861826,34.57244110107422,150
2002-02-13 00:00:00+00:00,35.557099483919295,36.1041317836719,35.557099483919295,35.77591323852539,40
2002-02-14 00:00:00+00:00,36.104138418344355,36.104138418344355,35.557106018066406,35.557106018066406,850
2002-02-15 00:00:00+00:00,36.43235212511636,37.52641677856445,35.55710123706297,37.52641677856445,205
2002-02-19 00:00:00+00:00,37.5264236871253,37.5264236871253,36.65117263793945,36.65117263793945,225
2002-02-20 00:00:00+00:00,35.557106018066406,35.557106018066406,34.46304121751052,35.557106018066406,305
2002-02-21 00:00:00+00:00,34.46303939819336,36.10413651239304,33.36897465539357,34.46303939819336,220
2002-02-22 00:00:00+00:00,34.46303637274381,35.01006869612069,31.18084243248249,31.727874755859375,400
2002-02-25 00:00:00+00:00,32.82193563507846,32.82193563507846,29.64914894104004,29.64914894104004,125
2002-02-26 00:00:00+00:00,29.64914248020106,30.19617462158203,29.64914248020106,30.19617462158203,155
2002-02-27 00:00:00+00:00,31.180830213758682,31.727862322771994,29.539733886718754,29.53973388671875,300
2002-02-28 00:00:00+00:00,31.61847305297852,32.27491236590894,30.633815126964414,31.618473052978516,120
2002-03-01 00:00:00+00:00,32.82193439522441,37.0887875360135,32.82193439522441,36.43234634399414,730
2002-03-04 00:00:00+00:00,36.432356017045976,37.198202190977156,35.01007265033144,36.1041374206543,270
2002-03-05 00:00:00+00:00,37.088795423987904,38.29226493835449,36.104135513305664,37.19820022583008,435
2002-03-06 00:00:00+00:00,36.10412783474685,36.979378583914546,35.55709559482644,36.43234634399414,325
2002-03-07 00:00:00+00:00,36.979388402207405,36.979388402207405,36.1041374206543,36.1041374206543,155
2002-03-08 00:00:00+00:00,36.10414021050752,36.65117263793945,36.10414021050752,36.65117263793945,150
2002-03-11 00:00:00+00:00,37.635829848657664,37.635829848657664,36.8699836730957,36.8699836730957,70
2002-03-12 00:00:00+00:00,37.19820022583008,38.29226493835449,37.19820022583008,37.19820022583008,125
2002-03-13 00:00:00+00:00,38.2922608388674,38.2922608388674,37.30760103360072,37.85463333129883,90
2002-03-14 00:00:00+00:00,37.854633888006575,38.839293707754116,37.854633888006575,38.729888916015625,100
2002-03-15 00:00:00+00:00,39.93336388871476,41.02742865278914,39.93336388871476,40.48039627075195,85
2002-03-18 00:00:00+00:00,41.02742865278914,41.46505622782924,40.48039627075195,40.48039627075195,375
2002-03-19 00:00:00+00:00,41.02742385864258,41.465051382544914,41.02742385864258,41.02742385864258,105
2002-03-20 00:00:00+00:00,40.042764016625,41.574456176757806,40.042764016625,41.02742385864258,710
2002-03-21 00:00:00+00:00,41.574456176757806,41.574456176757806,41.02742385864258,41.02742385864258,120
2002-03-22 00:00:00+00:00,41.02742757024822,41.02742757024822,40.26158142089844,40.26158142089844,20
2002-03-25 00:00:00+00:00,39.38633846098772,39.38633846098772,37.307613372802734,37.307613372802734,155
2002-03-26 00:00:00+00:00,37.30760502767225,37.30760502767225,37.19820022583008,37.19820022583008,60
