"('date', '')","('open', 'CYH')","('high', 'CYH')","('low', 'CYH')","('close', 'CYH')","('volume', 'CYH')"
2000-06-09 00:00:00+00:00,10.961203170878234,11.524629696533035,10.705101150363934,11.217306137084961,7867662
2000-06-12 00:00:00+00:00,11.114865701581756,11.985614825738207,11.063645109237706,11.831953048706055,1204676
2000-06-13 00:00:00+00:00,11.883173391259682,11.934393982527048,11.268526296051272,11.627071380615234,594715
2000-06-14 00:00:00+00:00,11.370967516162384,11.575850827601299,11.319746924725754,11.473408699035645,605363
2000-06-15 00:00:00+00:00,11.370967814553305,11.729511964018444,11.370967814553305,11.524629592895508,517880
2000-06-16 00:00:00+00:00,11.473409000114774,11.627071724149395,11.473409000114774,11.524629592895508,155606
2000-06-19 00:00:00+00:00,11.729512010478347,12.44660031224897,11.678292363187154,12.344159126281738,1053184
2000-06-20 00:00:00+00:00,12.344158686855534,12.805144007297965,12.292938095695265,12.753923416137695,678568
2000-06-21 00:00:00+00:00,12.65148168681783,13.06124737470555,12.29293848308936,12.497820854187012,376552
2000-06-22 00:00:00+00:00,12.907585236305641,13.010026418996715,12.497820505541348,12.600261688232422,287980
2000-06-23 00:00:00+00:00,12.497820957565024,12.497820957565024,11.934394432386,12.190497398376465,182105
2000-06-26 00:00:00+00:00,12.139277267906843,12.907585189618505,11.934393957573374,12.753923416137695,339889
2000-06-27 00:00:00+00:00,12.549041591483988,13.368571085312801,12.549041591483988,13.010026931762695,470327
2000-06-28 00:00:00+00:00,13.010026931762695,13.3173504919485,12.856365151669793,13.010026931762695,434874
2000-06-29 00:00:00+00:00,12.907585851092824,12.907585851092824,12.60026228838181,12.702703475952148,319440
2000-06-30 00:00:00+00:00,12.70270298390136,13.266129493713379,12.395379433094805,13.266129493713379,279631
2000-07-03 00:00:00+00:00,13.112466868740137,13.112466868740137,12.90758544572626,12.958806037902832,47795
2000-07-05 00:00:00+00:00,12.805144167503546,13.931997187127584,12.805144167503546,13.266129493713379,595925
2000-07-06 00:00:00+00:00,13.26613013984176,13.471012517024949,13.010027168362772,13.214908599853516,84458
2000-07-07 00:00:00+00:00,13.214907909447046,13.522232404858258,13.11246672620744,13.419791221618652,286165
2000-07-10 00:00:00+00:00,13.26612963966118,14.085658171802333,13.112466916874975,13.778334617614746,522841
2000-07-11 00:00:00+00:00,13.82955611476813,13.931997299194336,13.419791377063307,13.931997299194336,229053
2000-07-12 00:00:00+00:00,14.2393197081495,15.980818873409588,13.983217696348882,14.546643257141113,983125
2000-07-13 00:00:00+00:00,14.649084841651973,15.519834920994418,14.39298282283191,15.263731956481934,91234
2000-07-14 00:00:00+00:00,15.263731802773204,15.263731802773204,14.75152587890625,14.75152587890625,128381
2000-07-17 00:00:00+00:00,14.751525830159219,15.007629736938801,14.597864053506914,14.905187606811523,67518
2000-07-18 00:00:00+00:00,14.853967322097692,15.058849695208862,13.010026909789588,14.956409454345703,278905
2000-07-19 00:00:00+00:00,14.751526084491559,14.751526084491559,13.931997540575447,14.136878967285156,56991
2000-07-20 00:00:00+00:00,14.136879080521354,14.239320267542972,13.829556465148926,13.829556465148926,76351
2000-07-21 00:00:00+00:00,14.034438970796037,14.546643965014757,14.034438970796037,14.341761589050293,140239
2000-07-24 00:00:00+00:00,14.341761543452643,14.495424270629883,14.341761543452643,14.495424270629883,63525
2000-07-25 00:00:00+00:00,14.75152567906743,14.75152567906743,14.392982482910156,14.392982482910156,49126
2000-07-26 00:00:00+00:00,14.392983156765855,15.36617349880002,14.034438998129735,15.161291122436523,199166
2000-07-27 00:00:00+00:00,14.956408934822328,14.956408934822328,14.341760891146704,14.546643257141113,134431
2000-07-28 00:00:00+00:00,14.751525719668429,14.751525719668429,14.239319801330566,14.239319801330566,69817
