"('date', '')","('open', 'BMI')","('high', 'BMI')","('low', 'BMI')","('close', 'BMI')","('volume', 'BMI')"
2024-01-02 00:00:00+00:00,150.83065411719835,156.03034216673316,149.8816539935136,154.5969696044922,283500
2024-01-03 00:00:00+00:00,154.85397716052842,154.85397716052842,149.42693052478316,150.37591552734375,248700
2024-01-04 00:00:00+00:00,152.63967021753234,153.62820507018057,150.91961414374035,151.5127410888672,307100
2024-01-05 00:00:00+00:00,150.2770533360677,151.6115661664487,146.98523088697925,147.41029357910156,243900
2024-01-08 00:00:00+00:00,147.5289395547815,151.52261352539062,147.5289395547815,151.52261352539062,120300
2024-01-09 00:00:00+00:00,149.85196349396665,149.85196349396665,145.92747973931466,148.62619018554688,150000
2024-01-10 00:00:00+00:00,148.57678880631298,149.6048583984375,147.15329622964472,149.6048583984375,96200
2024-01-11 00:00:00+00:00,149.2687393482854,149.9903654541092,146.96545169265144,148.98207092285156,112600
2024-01-12 00:00:00+00:00,150.929484217267,150.929484217267,148.79426053854513,149.98049926757812,122100
2024-01-16 00:00:00+00:00,149.84209488927638,150.85040452864365,148.45813722892387,149.50599670410156,140100
2024-01-17 00:00:00+00:00,148.2802186850976,148.62621189556705,146.81719141754758,147.49928283691406,104800
2024-01-18 00:00:00+00:00,148.0429441095844,149.8915141665391,147.479487201328,149.37747192382812,167800
2024-01-19 00:00:00+00:00,150.16831580069518,150.43520931982098,147.65742911703282,149.99037170410156,320800
2024-01-22 00:00:00+00:00,151.29524202143566,154.4783250288293,151.29524202143566,153.77645874023438,246600
2024-01-23 00:00:00+00:00,155.15053374002522,156.05998394535897,152.5111476358422,152.56057739257812,134700
2024-01-24 00:00:00+00:00,154.3003763588718,154.3003763588718,148.9326402248709,148.94252014160156,140500
2024-01-25 00:00:00+00:00,150.5933987530836,151.32491998841533,148.8634627273969,150.57363891601562,193200
2024-01-26 00:00:00+00:00,149.9607001738437,150.2374886632034,138.39484803352454,142.1216278076172,484100
2024-01-29 00:00:00+00:00,142.73453974973802,144.73138427734375,141.6076106765039,144.73138427734375,266600
2024-01-30 00:00:00+00:00,144.92907714382048,144.92907714382048,141.0935575705409,144.2173309326172,221500
2024-01-31 00:00:00+00:00,144.71161950823597,144.71161950823597,141.27152237240983,142.33914184570312,320900
2024-02-01 00:00:00+00:00,143.73293212149682,145.3541283446511,143.15959529809788,143.6835174560547,210600
2024-02-02 00:00:00+00:00,142.26003513498645,144.33594899609218,141.27150041526673,142.0227813720703,213400
2024-02-05 00:00:00+00:00,140.7871170381325,141.11333531512182,137.99945689161788,138.29600524902344,264200
2024-02-06 00:00:00+00:00,138.14772550685777,140.0753651715803,137.90059182974355,139.0967254638672,242300
2024-02-07 00:00:00+00:00,139.20547795427524,142.4577508135432,138.216943153011,141.49887084960938,215600
2024-02-08 00:00:00+00:00,142.47752642234744,145.1663423015021,141.9634840997268,144.7511444091797,235300
2024-02-09 00:00:00+00:00,145.23552113024672,149.40713890929354,145.097126871011,148.16159057617188,199200
2024-02-12 00:00:00+00:00,148.2011216369839,150.83062758080638,146.89626366581354,150.48463439941406,187900
2024-02-13 00:00:00+00:00,147.09398669688767,149.83223241763517,146.26362105430002,148.18136596679688,304700
2024-02-14 00:00:00+00:00,150.4253357286276,151.77962355099262,148.68551994524694,151.71043395996094,239700
2024-02-15 00:00:00+00:00,152.69895583404985,154.53763097360383,152.2738780707926,154.31027221679688,223700
2024-02-16 00:00:00+00:00,154.11258825910664,157.60211532599126,153.59856096019294,155.60528564453125,188000
2024-02-20 00:00:00+00:00,154.21142047814504,155.95123620207391,153.71715310481767,155.0319061279297,127500
2024-02-21 00:00:00+00:00,155.48661471502493,155.48661471502493,153.22287691237148,153.90496826171875,138300
2024-02-22 00:00:00+00:00,154.54864501953125,155.25171551487517,152.30076863051704,154.54864501953125,188000
2024-02-23 00:00:00+00:00,155.49926966339046,155.63790433837542,153.72672523965122,155.04376220703125,134200
2024-02-26 00:00:00+00:00,155.51910823077034,155.7567590840581,154.2317773719481,155.4497833251953,153700
2024-02-27 00:00:00+00:00,156.72719887023004,156.77671449558807,155.29133639513233,155.95480346679688,92000
2024-02-28 00:00:00+00:00,154.7664894879049,157.5293012269027,154.7664894879049,156.26177978515625,83800
2024-02-29 00:00:00+00:00,156.45983579854746,157.43027865053506,156.0439317191242,157.1431121826172,253300
