"('date', '')","('open', 'BUI')","('high', 'BUI')","('low', 'BUI')","('close', 'BUI')","('volume', 'BUI')"
2011-11-23 00:00:00+00:00,7.80723237991333,7.815039790986612,7.7916175577667675,7.80723237991333,631000
2011-11-25 00:00:00+00:00,7.80723237991333,7.80723237991333,7.795521263303408,7.80723237991333,69700
2011-11-28 00:00:00+00:00,7.80723237991333,7.815039790986612,7.803328674376689,7.80723237991333,34900
2011-11-29 00:00:00+00:00,7.8072336077674755,7.873595123215732,7.8072336077674755,7.8423662185668945,27300
2011-11-30 00:00:00+00:00,8.205402530811082,8.205402530811082,7.783811954490217,7.826751232147217,67200
2011-12-01 00:00:00+00:00,7.846269678748309,7.9048237800598145,7.838462266691896,7.9048237800598145,32400
2011-12-02 00:00:00+00:00,7.88530512551027,7.88530512551027,7.834557697291773,7.850172519683838,45300
2011-12-05 00:00:00+00:00,7.8853011210136685,7.889204080073881,7.826746311335801,7.8345537185668945,16200
2011-12-06 00:00:00+00:00,7.842361125797988,7.8853011210136685,7.826746311335801,7.8345537185668945,21900
2011-12-07 00:00:00+00:00,7.838460290107655,7.8579780707711935,7.8111350993564574,7.8462677001953125,30300
2011-12-08 00:00:00+00:00,7.846274120522918,7.846274120522918,7.807237782698184,7.811141490936279,29700
2011-12-09 00:00:00+00:00,7.807232067973181,7.82284688949585,7.807232067973181,7.82284688949585,12100
2011-12-12 00:00:00+00:00,7.815039478734515,7.842364671843514,7.807232067973181,7.82284688949585,17200
2011-12-13 00:00:00+00:00,7.830653868577474,7.830653868577474,7.80723237991333,7.80723237991333,52200
2011-12-14 00:00:00+00:00,7.811141490936279,7.815045199174374,7.807237782698184,7.811141490936279,30700
2011-12-15 00:00:00+00:00,7.811137359042931,7.818944771389198,7.807233652869797,7.8150410652160645,40800
2011-12-16 00:00:00+00:00,7.818948907412469,7.818948907412469,7.807237782698184,7.811141490936279,8500
2011-12-19 00:00:00+00:00,7.830655100115149,7.986799623359335,7.8072336077674755,7.8423662185668945,43800
2011-12-20 00:00:00+00:00,7.834557574114115,7.86578647385154,7.80723237991333,7.80723237991333,43100
2011-12-21 00:00:00+00:00,7.826755579332444,7.842370412284823,7.807237782698184,7.811141490936279,38700
2011-12-22 00:00:00+00:00,7.834562995808634,7.838466704046728,7.807237782698184,7.811141490936279,22600
2011-12-23 00:00:00+00:00,7.80723237991333,7.818943496523253,7.80723237991333,7.80723237991333,83700
