"('date', '')","('open', 'ATUS')","('high', 'ATUS')","('low', 'ATUS')","('close', 'ATUS')","('volume', 'ATUS')"
2024-01-02 00:00:00+00:00,3.1549999713897705,3.2899999618530273,3.015000104904175,3.2100000381469727,5774500
2024-01-03 00:00:00+00:00,3.1700000762939453,3.190000057220459,2.884999990463257,3.0799999237060547,5707300
2024-01-04 00:00:00+00:00,3.0899999141693115,3.1110000610351562,2.819999933242798,2.9700000286102295,3925300
2024-01-05 00:00:00+00:00,2.9200000762939453,3.1050000190734863,2.8499999046325684,3.009999990463257,3559200
2024-01-08 00:00:00+00:00,2.990000009536743,3.190000057220459,2.9200000762939453,3.1600000858306885,3714300
2024-01-09 00:00:00+00:00,3.130000114440918,3.140000104904175,2.619999885559082,2.7699999809265137,6351900
2024-01-10 00:00:00+00:00,2.75,2.7699999809265137,2.609999895095825,2.690000057220459,2800200
2024-01-11 00:00:00+00:00,2.6700000762939453,2.6700000762939453,2.4800000190734863,2.609999895095825,5691000
2024-01-12 00:00:00+00:00,2.6500000953674316,2.6700000762939453,2.4800000190734863,2.4800000190734863,2786800
2024-01-16 00:00:00+00:00,2.430000066757202,2.5299999713897705,2.359999895095825,2.490000009536743,3241500
2024-01-17 00:00:00+00:00,2.4600000381469727,2.4600000381469727,2.259999990463257,2.259999990463257,5463000
2024-01-18 00:00:00+00:00,2.259999990463257,2.440000057220459,2.180000066757202,2.2699999809265137,5816900
2024-01-19 00:00:00+00:00,2.259999990463257,2.2950000762939453,2.200000047683716,2.200000047683716,2176700
2024-01-22 00:00:00+00:00,2.2100000381469727,2.4600000381469727,2.2100000381469727,2.4600000381469727,3294400
2024-01-23 00:00:00+00:00,2.5199999809265137,2.6500000953674316,2.5199999809265137,2.5999999046325684,3888500
2024-01-24 00:00:00+00:00,2.6700000762939453,2.7699999809265137,2.6610000133514404,2.740000009536743,3397700
2024-01-25 00:00:00+00:00,2.740000009536743,2.759999990463257,2.559999942779541,2.6600000858306885,2286400
2024-01-26 00:00:00+00:00,2.690000057220459,2.7799999713897705,2.6549999713897705,2.680000066757202,1926900
2024-01-29 00:00:00+00:00,2.6600000858306885,2.740000009536743,2.559999942779541,2.7200000286102295,2078100
2024-01-30 00:00:00+00:00,2.690000057220459,2.690000057220459,2.549999952316284,2.549999952316284,1643500
2024-01-31 00:00:00+00:00,2.5199999809265137,2.634999990463257,2.440000057220459,2.440000057220459,2897200
2024-02-01 00:00:00+00:00,2.5199999809265137,2.755000114440918,2.4600000381469727,2.4800000190734863,2931900
2024-02-02 00:00:00+00:00,2.440000057220459,2.440000057220459,2.0799999237060547,2.200000047683716,6658200
2024-02-05 00:00:00+00:00,2.299999952316284,2.299999952316284,2.109999895095825,2.119999885559082,2105600
