"('date', '')","('open', 'AGYS')","('high', 'AGYS')","('low', 'AGYS')","('close', 'AGYS')","('volume', 'AGYS')"
2024-01-02 00:00:00+00:00,84.0,84.30999755859375,81.5999984741211,81.97000122070312,113100
2024-01-03 00:00:00+00:00,81.69999694824219,81.70999908447266,79.0199966430664,79.38999938964844,119700
2024-01-04 00:00:00+00:00,79.55999755859375,79.61000061035156,77.62000274658203,78.16000366210938,106500
2024-01-05 00:00:00+00:00,77.36000061035156,78.86000061035156,77.08000183105469,77.77999877929688,153900
2024-01-08 00:00:00+00:00,78.29000091552734,78.98999786376953,77.97000122070312,78.0,161000
2024-01-09 00:00:00+00:00,77.36000061035156,78.44999694824219,76.5,76.5999984741211,221100
2024-01-10 00:00:00+00:00,76.80000305175781,77.19999694824219,75.37999725341797,76.80999755859375,265700
2024-01-11 00:00:00+00:00,77.13999938964844,77.80000305175781,75.91999816894531,76.16999816894531,192700
2024-01-12 00:00:00+00:00,77.01000213623047,77.6500015258789,74.80999755859375,75.5199966430664,243900
2024-01-16 00:00:00+00:00,74.9000015258789,76.02999877929688,74.0,74.5999984741211,116200
2024-01-17 00:00:00+00:00,73.5199966430664,76.69999694824219,73.5199966430664,76.36000061035156,195300
2024-01-18 00:00:00+00:00,76.58999633789062,79.58000183105469,76.12999725341797,78.83000183105469,402300
2024-01-19 00:00:00+00:00,78.98999786376953,82.93000030517578,78.80000305175781,82.83999633789062,336700
2024-01-22 00:00:00+00:00,83.6500015258789,88.61000061035156,83.08000183105469,86.70999908447266,454900
2024-01-23 00:00:00+00:00,88.4000015258789,89.94000244140625,82.80000305175781,86.79000091552734,657800
2024-01-24 00:00:00+00:00,87.55999755859375,88.38999938964844,84.93000030517578,85.72000122070312,301400
2024-01-25 00:00:00+00:00,86.7699966430664,86.7699966430664,84.80000305175781,85.76000213623047,175400
2024-01-26 00:00:00+00:00,86.16000366210938,89.80000305175781,85.69999694824219,88.36000061035156,295600
