"('date', '')","('open', 'AMR')","('high', 'AMR')","('low', 'AMR')","('close', 'AMR')","('volume', 'AMR')"
2024-01-02 00:00:00+00:00,335.0,343.7699890136719,333.54998779296875,341.239990234375,126000
2024-01-03 00:00:00+00:00,339.5400085449219,348.0899963378906,337.82000732421875,341.17999267578125,197200
2024-01-04 00:00:00+00:00,341.79998779296875,379.18499755859375,341.7699890136719,361.6600036621094,476500
2024-01-05 00:00:00+00:00,360.010009765625,371.8900146484375,359.7950134277344,367.32000732421875,190300
2024-01-08 00:00:00+00:00,365.0,365.760009765625,350.1050109863281,365.7200012207031,146600
2024-01-09 00:00:00+00:00,364.2799987792969,383.45001220703125,362.45001220703125,381.95001220703125,217200
2024-01-10 00:00:00+00:00,382.0,382.1400146484375,362.885009765625,363.8999938964844,244300
2024-01-11 00:00:00+00:00,364.79998779296875,368.1409912109375,354.4800109863281,362.6199951171875,139900
2024-01-12 00:00:00+00:00,366.1300048828125,370.7799987792969,361.0199890136719,368.0,103900
2024-01-16 00:00:00+00:00,369.95001220703125,372.739990234375,356.3450012207031,358.7099914550781,203800
2024-01-17 00:00:00+00:00,353.75,378.8399963378906,351.2699890136719,377.42999267578125,200400
2024-01-18 00:00:00+00:00,382.0,398.739990234375,377.0350036621094,396.5299987792969,337400
2024-01-19 00:00:00+00:00,398.17999267578125,403.5199890136719,388.1700134277344,402.4599914550781,394200
2024-01-22 00:00:00+00:00,402.42999267578125,408.7349853515625,392.0199890136719,406.7799987792969,221700
2024-01-23 00:00:00+00:00,408.6300048828125,408.6300048828125,397.739990234375,400.92999267578125,172000
2024-01-24 00:00:00+00:00,404.9100036621094,407.6300048828125,389.2099914550781,389.3500061035156,187700
2024-01-25 00:00:00+00:00,398.95001220703125,398.95001220703125,374.05999755859375,378.5400085449219,231600
2024-01-26 00:00:00+00:00,378.5400085449219,387.3450012207031,376.0199890136719,386.04998779296875,102300
2024-01-29 00:00:00+00:00,385.0199890136719,396.8999938964844,380.92999267578125,395.5400085449219,109600
2024-01-30 00:00:00+00:00,391.25,403.6400146484375,386.010009765625,403.3800048828125,149300
2024-01-31 00:00:00+00:00,401.4599914550781,408.0400085449219,398.5299987792969,399.239990234375,125000
2024-02-01 00:00:00+00:00,401.0899963378906,409.6000061035156,401.0799865722656,407.0,135500
2024-02-02 00:00:00+00:00,399.5799865722656,411.2019958496094,399.5799865722656,403.5299987792969,110300
2024-02-05 00:00:00+00:00,396.1700134277344,398.1080017089844,371.0,380.2699890136719,295700
2024-02-06 00:00:00+00:00,382.0199890136719,382.45001220703125,342.17999267578125,359.4100036621094,431800
2024-02-07 00:00:00+00:00,360.20001220703125,364.0,351.989990234375,361.2900085449219,246400
2024-02-08 00:00:00+00:00,357.19000244140625,374.0400085449219,354.67999267578125,370.9100036621094,133500
2024-02-09 00:00:00+00:00,373.4700012207031,373.4700012207031,363.3599853515625,370.0,120500
2024-02-12 00:00:00+00:00,374.1000061035156,375.7900085449219,370.54998779296875,372.7799987792969,132900
2024-02-13 00:00:00+00:00,366.70001220703125,385.4700012207031,365.2720031738281,380.2200012207031,259500
2024-02-14 00:00:00+00:00,383.8900146484375,393.30499267578125,380.2200012207031,390.79998779296875,245700
2024-02-15 00:00:00+00:00,382.989990234375,386.9100036621094,357.70001220703125,378.0199890136719,304200
2024-02-16 00:00:00+00:00,380.7099914550781,380.81500244140625,368.5799865722656,373.5799865722656,161500
2024-02-20 00:00:00+00:00,371.0,371.0,358.18798828125,364.3800048828125,149300
2024-02-21 00:00:00+00:00,361.6600036621094,376.510009765625,360.010009765625,374.6700134277344,137900
2024-02-22 00:00:00+00:00,374.6400146484375,389.6700134277344,371.80499267578125,388.07000732421875,117200
2024-02-23 00:00:00+00:00,390.0,390.9800109863281,382.1700134277344,389.8800048828125,196500
2024-02-26 00:00:00+00:00,409.0,446.0299987792969,407.010009765625,442.2099914550781,502300
2024-02-27 00:00:00+00:00,447.17999267578125,452.0,428.2950134277344,438.6499938964844,254000
2024-02-28 00:00:00+00:00,432.0,432.1000061035156,360.010009765625,362.6199951171875,650200
2024-02-29 00:00:00+00:00,370.3399963378906,377.8399963378906,363.6600036621094,377.25,410900
2024-03-01 00:00:00+00:00,380.0,395.989990234375,380.0,386.0199890136719,260400
2024-03-04 00:00:00+00:00,385.17999267578125,395.3900146484375,376.5799865722656,376.79998779296875,284000
2024-03-05 00:00:00+00:00,375.5,387.1099853515625,368.82000732421875,372.20001220703125,240800
2024-03-06 00:00:00+00:00,376.2900085449219,386.0,376.2900085449219,381.04998779296875,220900
2024-03-07 00:00:00+00:00,383.1600036621094,390.375,377.5,389.9100036621094,185700
2024-03-08 00:00:00+00:00,390.2699890136719,397.0,373.54998779296875,376.0299987792969,220600
2024-03-11 00:00:00+00:00,371.3699951171875,371.3699951171875,340.2900085449219,344.1099853515625,361100
2024-03-12 00:00:00+00:00,345.0,345.5199890136719,317.0,320.239990234375,537300
