"('date', '')","('open', 'ADX')","('high', 'ADX')","('low', 'ADX')","('close', 'ADX')","('volume', 'ADX')"
2024-01-02 00:00:00+00:00,14.621315357767264,14.662852550770948,14.397010712645745,14.496702194213867,235200
2024-01-03 00:00:00+00:00,14.421933259737116,14.471778205763497,14.30562627295254,14.32224178314209,129200
2024-01-04 00:00:00+00:00,14.305627134207775,14.413626372399555,14.2723976963704,14.280705451965332,236700
2024-01-05 00:00:00+00:00,14.313934180471241,14.455162849501768,14.289012499463801,14.388702392578125,418900
2024-01-08 00:00:00+00:00,14.37208565136555,14.554853080659814,14.363779481435945,14.538237571716309,183800
2024-01-09 00:00:00+00:00,14.438546041742848,14.546545264878297,14.438546041742848,14.513314247131348,290100
2024-01-10 00:00:00+00:00,14.56316203718747,14.654544174835216,14.546546526872506,14.646236419677734,249500
2024-01-11 00:00:00+00:00,14.629622340664465,14.68777504161543,14.513315354220275,14.5797758102417,274100
2024-01-12 00:00:00+00:00,14.579776465442427,14.64623692445052,14.546547028209545,14.58808422088623,110200
2024-01-16 00:00:00+00:00,14.554855588737858,14.646237734589723,14.505009053317838,14.521624565124512,112700
2024-01-17 00:00:00+00:00,14.471778214083926,14.529930915238516,14.455162703884826,14.463470458984375,96900
2024-01-18 00:00:00+00:00,14.563162241303054,14.629622698952135,14.54654673075521,14.596391677856445,83500
2024-01-19 00:00:00+00:00,14.662851405918865,14.83731108890596,14.61300646129779,14.82900333404541,171700
2024-01-22 00:00:00+00:00,14.853925704956053,14.870541215449956,14.81238851326359,14.853925704956055,171300
2024-01-23 00:00:00+00:00,14.829006549359331,14.870543748126202,14.787467766049897,14.845622062683105,120000
2024-01-24 00:00:00+00:00,14.870541927858442,15.069923309710234,14.870541927858442,15.028386116027832,333600
2024-01-25 00:00:00+00:00,15.103152870827122,15.177921079854363,15.053307926323033,15.08653736114502,204300
2024-01-26 00:00:00+00:00,15.144691226916715,15.194537759802142,15.11976954501634,15.177922248840332,166500
2024-01-29 00:00:00+00:00,15.16130827599811,15.310844720740233,15.16130827599811,15.302536964416504,160300
2024-01-30 00:00:00+00:00,15.285920741061943,15.327459520749276,15.26099905779197,15.269305229187012,134300
2024-01-31 00:00:00+00:00,15.186228834695413,15.22776602435845,15.07822960630397,15.08653736114502,282900
