"('date', '')","('open', 'APH')","('high', 'APH')","('low', 'APH')","('close', 'APH')","('volume', 'APH')"
2024-01-02 00:00:00+00:00,48.296720490487154,48.296720490487154,47.50796191003403,47.7347297668457,5281600
2024-01-03 00:00:00+00:00,47.42908832431094,47.42908832431094,46.84737811508666,46.87202835083008,6143000
2024-01-04 00:00:00+00:00,46.300176905851494,46.94104543702695,46.285388268548644,46.65018844604492,4943600
2024-01-05 00:00:00+00:00,46.48257857690597,46.872028988140194,46.364265718144296,46.566383361816406,4018800
2024-01-08 00:00:00+00:00,46.89174586897568,47.62627697868707,46.86709563424065,47.611488342285156,4602400
2024-01-09 00:00:00+00:00,47.05442302906744,47.44387340582053,46.9804798495744,47.25161361694336,3249200
2024-01-10 00:00:00+00:00,47.2368249889228,47.572047860038474,47.09879270571592,47.42908477783203,3826400
2024-01-11 00:00:00+00:00,47.429083821907916,47.59176633573617,46.89667037361412,47.53260803222656,4073800
2024-01-12 00:00:00+00:00,47.75444631119454,47.833320283917274,47.36499596292688,47.572044372558594,3089000
2024-01-16 00:00:00+00:00,47.39950782539998,47.655852958640295,47.0248460819586,47.39457702636719,4461600
2024-01-17 00:00:00+00:00,47.06921671801098,47.36006992826058,46.70934360317737,46.995269775390625,4180800
2024-01-18 00:00:00+00:00,47.25654220788303,47.70514710726951,47.0938596984044,47.67063903808594,5668400
2024-01-19 00:00:00+00:00,47.996007600594915,48.18826739468332,47.58683777785384,48.1192512512207,7022000
2024-01-22 00:00:00+00:00,48.12910529001833,48.54813667795406,48.02558108299457,48.29671859741211,5512800
2024-01-23 00:00:00+00:00,48.370668407973945,48.4101035169706,47.83825494499357,48.28193283081055,6778400
2024-01-24 00:00:00+00:00,49.83480109238765,50.8108924667036,48.85871347916947,49.622825622558594,13113800
2024-01-25 00:00:00+00:00,49.01153530067241,50.174955692486336,48.68124321142043,49.69676971435547,8276400
2024-01-26 00:00:00+00:00,49.69676909023305,50.086219482365195,49.400985077287736,49.6474723815918,4483400
2024-01-29 00:00:00+00:00,49.371407155000156,50.012271881103516,49.27280997791659,50.012271881103516,4624400
2024-01-30 00:00:00+00:00,50.52990211615861,50.81089751894601,50.37708117672456,50.66793441772461,6055800
2024-01-31 00:00:00+00:00,50.47073617000144,50.623560847419235,49.81508283672905,49.83972930908203,5675000
2024-02-01 00:00:00+00:00,49.90874924280912,50.5101788781784,49.77071695162887,50.49045944213867,5098200
2024-02-02 00:00:00+00:00,50.31792032001231,51.31865821686529,50.31792032001231,51.00315475463867,5413200
2024-02-05 00:00:00+00:00,50.92427471736682,50.96864062345497,50.30805650327041,50.77145004272461,4179400
2024-02-06 00:00:00+00:00,50.746806740248424,51.02287131385424,50.43623033384416,50.66299819946289,5496600
