"('date', '')","('open', 'AWK')","('high', 'AWK')","('low', 'AWK')","('close', 'AWK')","('volume', 'AWK')"
2024-01-02 00:00:00+00:00,125.9936721904853,128.71157993013665,125.59030981047214,128.22177124023438,1132400
2024-01-03 00:00:00+00:00,127.92405243506279,128.6827693783072,127.19416069804858,128.22177124023438,998800
2024-01-04 00:00:00+00:00,127.99128375066327,128.40424475323147,126.23376685928613,126.54108428955078,816400
2024-01-05 00:00:00+00:00,126.14733475802407,127.62633011062273,125.24456508052606,126.66593933105469,862100
2024-01-08 00:00:00+00:00,126.27217089710355,127.86642304893708,125.5518778392221,127.77037811279297,1026400
2024-01-09 00:00:00+00:00,127.05969502614006,129.49908100391832,126.54107583153248,127.48226928710938,1202000
2024-01-10 00:00:00+00:00,127.82804559490955,128.98051184268985,127.52071344648631,128.3274383544922,614000
2024-01-11 00:00:00+00:00,128.03931349412684,128.2794112035103,125.28298182541185,126.32020568847656,878600
2024-01-12 00:00:00+00:00,127.05971352056709,127.78000666449955,126.50268506406447,126.97328186035156,673200
2024-01-16 00:00:00+00:00,126.20495867206023,127.51109074755065,125.14852292923685,125.24456787109375,800800
2024-01-17 00:00:00+00:00,123.8520085396335,125.70555581722205,122.40180899984853,123.33338928222656,1301200
2024-01-18 00:00:00+00:00,122.92041036920547,123.03565989730528,120.44260779625918,120.8459701538086,1083300
2024-01-19 00:00:00+00:00,121.05726822714612,121.24934346412985,119.549454902502,120.33697509765625,1301200
2024-01-22 00:00:00+00:00,120.4522170397081,122.58428587058424,120.33697482865574,121.8351821899414,1137000
2024-01-23 00:00:00+00:00,122.40180939471882,122.94923920659203,120.67311028232143,121.25894927978516,1247800
2024-01-24 00:00:00+00:00,122.09447718003848,122.24814322183971,116.57223019700909,117.11005401611328,1279600
2024-01-25 00:00:00+00:00,118.16648990867134,119.0788582763764,117.38857567247648,119.06925964355469,1196300
2024-01-26 00:00:00+00:00,119.6646883770089,120.03924019082129,118.07044351027922,118.28173065185547,749000
2024-01-29 00:00:00+00:00,119.53985066062755,121.34538282670736,117.5422359276026,120.76914978027344,1252100
2024-01-30 00:00:00+00:00,120.07766167489501,120.50984193525797,119.05004380237034,119.47261810302734,1056900
2024-01-31 00:00:00+00:00,120.53866133097988,121.56627927889988,118.27213826930944,119.10767364501953,1607700
2024-02-01 00:00:00+00:00,118.95399088446615,120.39457691262243,118.05122129545107,120.27932739257812,1148400
2024-02-02 00:00:00+00:00,118.38737693126909,120.01043981351165,117.42698608065469,118.47381591796875,1201200
2024-02-05 00:00:00+00:00,117.11965626835108,117.66707873658788,116.38015856912607,116.7066879272461,1205800
2024-02-06 00:00:00+00:00,116.55302660700765,118.02242334015885,115.8327335160747,117.66707611083984,1375800
2024-02-07 00:00:00+00:00,118.1964369221433,118.81465894822584,117.24012587707624,117.80038452148438,1372600
2024-02-08 00:00:00+00:00,117.48162533758097,117.85835417446509,116.4480346418087,117.68447875976562,1269200
2024-02-09 00:00:00+00:00,117.2884201128045,118.44759193920584,116.93101487973908,118.04187774658203,1231200
