"('date', '')","('open', 'ARW')","('high', 'ARW')","('low', 'ARW')","('close', 'ARW')","('volume', 'ARW')"
2024-01-02 00:00:00+00:00,121.30000305175781,121.62000274658203,119.0999984741211,119.88999938964844,674800
2024-01-03 00:00:00+00:00,118.91000366210938,118.91000366210938,117.20999908447266,117.98999786376953,763100
2024-01-04 00:00:00+00:00,117.43000030517578,118.08999633789062,116.94999694824219,117.44999694824219,707900
2024-01-05 00:00:00+00:00,117.11000061035156,119.08999633789062,115.83000183105469,116.9000015258789,786600
2024-01-08 00:00:00+00:00,117.22000122070312,117.8499984741211,116.58999633789062,117.18000030517578,582900
2024-01-09 00:00:00+00:00,115.58999633789062,116.77999877929688,114.52999877929688,115.37999725341797,802300
2024-01-10 00:00:00+00:00,115.18000030517578,116.20999908447266,114.2300033569336,115.61000061035156,796600
2024-01-11 00:00:00+00:00,115.33999633789062,116.37999725341797,114.91000366210938,116.19999694824219,461100
2024-01-12 00:00:00+00:00,117.16000366210938,117.16000366210938,115.2300033569336,115.5,491500
2024-01-16 00:00:00+00:00,114.62000274658203,116.25,113.86000061035156,115.44999694824219,825400
2024-01-17 00:00:00+00:00,114.41999816894531,115.22000122070312,113.87999725341797,114.1500015258789,714900
2024-01-18 00:00:00+00:00,115.48999786376953,116.61000061035156,114.88999938964844,116.55000305175781,392300
2024-01-19 00:00:00+00:00,117.36000061035156,117.55999755859375,115.81999969482422,116.83000183105469,351200
2024-01-22 00:00:00+00:00,117.25,117.66000366210938,116.41000366210938,116.94999694824219,356900
2024-01-23 00:00:00+00:00,117.75,117.7699966430664,116.38999938964844,116.43000030517578,328200
2024-01-24 00:00:00+00:00,117.4000015258789,117.4000015258789,114.8499984741211,115.0,480100
2024-01-25 00:00:00+00:00,115.93000030517578,116.2699966430664,115.05999755859375,115.22000122070312,456200
2024-01-26 00:00:00+00:00,115.23999786376953,115.58000183105469,113.76000213623047,114.25,422700
2024-01-29 00:00:00+00:00,113.63999938964844,114.02999877929688,112.62999725341797,113.68000030517578,402200
2024-01-30 00:00:00+00:00,114.0,114.83999633789062,113.11000061035156,113.6500015258789,628200
2024-01-31 00:00:00+00:00,112.7300033569336,112.9800033569336,110.86000061035156,111.1500015258789,520900
2024-02-01 00:00:00+00:00,111.6500015258789,112.23999786376953,109.19999694824219,111.45999908447266,640000
2024-02-02 00:00:00+00:00,110.41999816894531,112.29000091552734,110.0,111.30999755859375,428800
2024-02-05 00:00:00+00:00,110.80999755859375,111.36000061035156,109.81999969482422,109.94000244140625,553900
2024-02-06 00:00:00+00:00,109.4800033569336,110.55000305175781,109.22000122070312,109.69999694824219,830900
2024-02-07 00:00:00+00:00,109.7699966430664,110.4800033569336,108.7699966430664,108.9800033569336,688000
2024-02-08 00:00:00+00:00,110.6500015258789,113.48999786376953,110.01000213623047,113.4000015258789,1288500
2024-02-09 00:00:00+00:00,109.58000183105469,113.0199966430664,109.58000183105469,111.30999755859375,1138800
2024-02-12 00:00:00+00:00,111.33999633789062,113.72000122070312,111.20999908447266,113.23999786376953,493400
