"('date', '')","('open', 'AGX')","('high', 'AGX')","('low', 'AGX')","('close', 'AGX')","('volume', 'AGX')"
2024-01-02 00:00:00+00:00,45.58023888982309,46.370137924805064,45.4437095943533,46.03857421875,87300
2024-01-03 00:00:00+00:00,46.06783688460445,46.43840527717579,45.52173080917464,45.64850616455078,81200
2024-01-04 00:00:00+00:00,45.98981258557364,45.98981258557364,45.502219151154904,45.65824890136719,109200
2024-01-05 00:00:00+00:00,45.43395408823883,45.7362633416251,44.878097898495604,44.89760208129883,106200
2024-01-08 00:00:00+00:00,44.90735948551909,44.90735948551909,44.14671483491156,44.23448181152344,67900
2024-01-09 00:00:00+00:00,43.96142784415291,44.36125432986757,43.58110182306963,44.29298782348633,49200
2024-01-10 00:00:00+00:00,44.058948411364895,44.48802934682965,44.00043585287479,44.47827911376953,78500
2024-01-11 00:00:00+00:00,44.585548038943806,44.66356105963701,43.87366201991967,44.566043853759766,50000
2024-01-12 00:00:00+00:00,44.90735168448946,45.28767394372598,44.67330893420966,45.07313537597656,56700
2024-01-16 00:00:00+00:00,44.917112744635546,44.917112744635546,44.36125647469471,44.62455368041992,59400
2024-01-17 00:00:00+00:00,44.253980852730294,45.51196907786329,44.253980852730294,45.00487518310547,86800
2024-01-18 00:00:00+00:00,45.20966093364686,45.67775015424891,44.78057635806314,45.07313537597656,77700
2024-01-19 00:00:00+00:00,45.36569684609059,45.36569684609059,44.34175130420775,44.566043853759766,54600
2024-01-22 00:00:00+00:00,45.037227422107904,45.037227422107904,44.09485889793091,44.20283889770508,75600
2024-01-23 00:00:00+00:00,44.50714540049986,44.50714540049986,43.14267904113753,43.17212677001953,84500
2024-01-24 00:00:00+00:00,43.51570257519048,43.51570257519048,42.64204786886148,42.897274017333984,57700
2024-01-25 00:00:00+00:00,43.22121219834326,43.66294690203732,43.13286525760444,43.378273010253906,54400
2024-01-26 00:00:00+00:00,43.77091889107368,43.800366617715106,43.339002673626766,43.692386627197266,56200
2024-01-29 00:00:00+00:00,43.68257522583008,43.761107495566044,43.16231204501584,43.68257522583008,58300
2024-01-30 00:00:00+00:00,43.7807344249788,44.281368255615234,43.55495977876759,44.281368255615234,66900
2024-01-31 00:00:00+00:00,44.46787296145283,44.8605267657959,43.50587525989889,43.51569366455078,122400
2024-02-01 00:00:00+00:00,43.64330493652917,45.06667036069238,43.64330493652917,45.0175895690918,67300
2024-02-02 00:00:00+00:00,44.654391405929246,44.654391405929246,44.14394288723347,44.32063674926758,33300
2024-02-05 00:00:00+00:00,44.085040457330415,44.085040457330415,43.5353258440689,43.692386627197266,44500
2024-02-06 00:00:00+00:00,43.682570530490516,44.15375286438583,43.682570530490516,43.8592643737793,43200
2024-02-07 00:00:00+00:00,43.692391540837264,44.29118701404977,43.65312914910807,44.0948600769043,48600
2024-02-08 00:00:00+00:00,44.08504213019232,44.99795913696289,44.07522746914756,44.99795913696289,48500
2024-02-09 00:00:00+00:00,44.77218499323804,45.73418280536557,44.74273726514601,45.645835876464844,39400
2024-02-12 00:00:00+00:00,45.56730643622321,46.47040884820521,45.56730643622321,46.077754974365234,50300
