"('date', '')","('open', 'CMBT')","('high', 'CMBT')","('low', 'CMBT')","('close', 'CMBT')","('volume', 'CMBT')"
2015-01-26 00:00:00+00:00,4.582354545593262,4.623671086965641,4.458405637881684,4.582354545593262,1274100
2015-01-27 00:00:00+00:00,4.507234301065081,4.695035730276126,4.420845815565344,4.627427101135254,326000
2015-01-28 00:00:00+00:00,4.375773452078811,4.668743959287913,4.372017695475738,4.544795036315918,1107800
2015-01-29 00:00:00+00:00,4.537283219977129,4.664988269386883,4.432114503252626,4.619915962219238,498300
2015-01-30 00:00:00+00:00,4.473430611954438,4.518502918282609,4.345725564923195,4.383285999298096,559000
2015-02-02 00:00:00+00:00,4.300653467178228,4.3269459157969905,4.21050885014984,4.2480692863464355,967600
2015-02-03 00:00:00+00:00,4.248068078243985,4.2968961299294,4.045242568509958,4.255579948425293,858600
2015-02-04 00:00:00+00:00,4.079047774849007,4.187972612464041,4.064023671667723,4.112852096557617,1058000
2015-02-05 00:00:00+00:00,4.105338878918066,4.274360073876959,4.105338878918066,4.240555763244629,339700
2015-02-06 00:00:00+00:00,4.255579886762501,4.372016917609121,4.244311902552427,4.311920166015625,279100
2015-02-09 00:00:00+00:00,4.251824363718254,4.251824363718254,4.142899546004006,4.180459976196289,311100
2015-02-10 00:00:00+00:00,4.169191280989885,4.240555656368484,4.1015826614291875,4.206751346588135,84700
2015-02-11 00:00:00+00:00,4.285628540774131,4.458405869310817,4.240556240921448,4.4246015548706055,345600
2015-02-12 00:00:00+00:00,4.341969532834283,4.45840622725106,4.281872770003077,4.450894355773926,400800
2015-02-13 00:00:00+00:00,4.341969958085102,4.458406663905643,4.300653407204445,4.394554138183594,574400
2015-02-17 00:00:00+00:00,4.544793518113407,4.574841710117239,4.432112618997684,4.469672679901123,724100
2015-02-18 00:00:00+00:00,4.5560622894334495,4.574842502238261,4.507233879422045,4.552306175231934,346700
2015-02-19 00:00:00+00:00,4.574843620722314,4.586111607878957,4.492210879100274,4.510991096496582,225600
2015-02-20 00:00:00+00:00,4.563573732800963,4.710058949134359,4.537281652254994,4.642450332641602,244300
2015-02-23 00:00:00+00:00,4.649964552455025,4.706304851534178,4.604892241551125,4.657476425170898,359200
2015-02-24 00:00:00+00:00,4.706303596496582,4.785180209094973,4.6687435265276465,4.706303596496582,257500
2015-02-25 00:00:00+00:00,4.740109174262824,4.755133277897457,4.657476425170898,4.657476425170898,214300
2015-02-26 00:00:00+00:00,4.683767934141471,4.691279805348093,4.619915416972528,4.623671531677246,116500
2015-02-27 00:00:00+00:00,4.616158262336608,4.634938473426564,4.510989581716683,4.608646392822266,88300
2015-03-02 00:00:00+00:00,4.608646298580778,4.608646298580778,4.428356777287743,4.480941295623779,247900
2015-03-03 00:00:00+00:00,4.552306976405618,4.574843307378179,4.529771003635886,4.541038990020752,82300
2015-03-04 00:00:00+00:00,4.604890184799048,4.604890184799048,4.428356777287743,4.480941295623779,129800
2015-03-05 00:00:00+00:00,4.507234075678456,4.514746304408588,4.4358696937561035,4.4358696937561035,64600
2015-03-06 00:00:00+00:00,4.484698443217843,4.484698443217843,4.360749515569804,4.372017860412598,188500
2015-03-09 00:00:00+00:00,4.394552797222807,4.417089123390292,4.266847784746816,4.296895980834961,54200
