"('date', '')","('open', 'ALRM')","('high', 'ALRM')","('low', 'ALRM')","('close', 'ALRM')","('volume', 'ALRM')"
2024-01-02 00:00:00+00:00,64.0199966430664,64.27999877929688,62.619998931884766,63.40999984741211,309600
2024-01-03 00:00:00+00:00,63.41999816894531,63.67499923706055,61.11000061035156,61.150001525878906,260200
2024-01-04 00:00:00+00:00,61.66999816894531,61.939998626708984,61.0099983215332,61.79999923706055,399100
2024-01-05 00:00:00+00:00,61.25,62.2400016784668,61.189998626708984,61.189998626708984,205600
2024-01-08 00:00:00+00:00,61.560001373291016,62.650001525878906,61.47999954223633,62.0,221400
2024-01-09 00:00:00+00:00,61.15999984741211,61.81999969482422,60.29999923706055,60.36000061035156,211200
2024-01-10 00:00:00+00:00,60.09000015258789,61.31999969482422,59.689998626708984,61.29999923706055,150300
2024-01-11 00:00:00+00:00,61.380001068115234,62.0099983215332,60.77799987792969,61.939998626708984,168600
2024-01-12 00:00:00+00:00,62.88999938964844,63.29399871826172,62.13999938964844,62.709999084472656,139900
2024-01-16 00:00:00+00:00,62.119998931884766,62.630001068115234,61.744998931884766,62.40999984741211,152000
2024-01-17 00:00:00+00:00,61.66999816894531,62.04999923706055,60.959999084472656,61.150001525878906,203900
2024-01-18 00:00:00+00:00,61.560001373291016,62.459999084472656,60.185001373291016,60.4900016784668,230500
2024-01-19 00:00:00+00:00,60.90999984741211,61.68000030517578,60.0,61.58000183105469,188900
2024-01-22 00:00:00+00:00,61.959999084472656,63.22999954223633,61.68000030517578,62.529998779296875,217000
2024-01-23 00:00:00+00:00,63.36000061035156,63.9900016784668,62.38999938964844,63.02000045776367,152900
2024-01-24 00:00:00+00:00,63.810001373291016,63.810001373291016,62.150001525878906,62.2400016784668,164700
2024-01-25 00:00:00+00:00,63.02000045776367,63.20000076293945,61.86000061035156,62.38999938964844,165400
2024-01-26 00:00:00+00:00,62.880001068115234,63.040000915527344,61.56999969482422,61.869998931884766,116100
