"('date', '')","('open', 'BBU')","('high', 'BBU')","('low', 'BBU')","('close', 'BBU')","('volume', 'BBU')"
2024-01-02 00:00:00+00:00,20.252545342647053,20.252545342647053,19.49553228944607,19.829797744750977,18800
2024-01-03 00:00:00+00:00,19.741314717869237,19.95760334830488,19.289074342818957,19.34412956237793,5800
2024-01-04 00:00:00+00:00,19.190758230521617,19.760975343663993,19.033457087253208,19.082612991333008,3600
2024-01-05 00:00:00+00:00,18.86632569092984,19.711818925587913,18.86632569092984,19.623336791992188,25800
2024-01-08 00:00:00+00:00,20.016593812355115,20.016593812355115,19.367726009514886,19.672496795654297,45600
2024-01-09 00:00:00+00:00,19.76097725733825,19.888783745429176,19.416880269924302,19.584012985229492,28400
2024-01-10 00:00:00+00:00,19.59384415375749,19.721650639315776,19.200591265296207,19.328397750854492,44600
2024-01-11 00:00:00+00:00,19.171098709106445,19.505364169946123,18.885989161552295,19.171098709106445,18600
2024-01-12 00:00:00+00:00,19.1219398148289,19.564348590963522,19.102276702508888,19.180927276611328,8000
2024-01-16 00:00:00+00:00,18.93514486239321,19.328397750854492,18.93514486239321,19.328397750854492,1900
2024-01-17 00:00:00+00:00,19.04328921274949,19.652830692353508,18.82699872790234,19.11210823059082,18400
2024-01-18 00:00:00+00:00,19.456205873255783,19.819964087434872,19.456205873255783,19.786537170410156,4600
2024-01-19 00:00:00+00:00,19.613505004313968,19.977263180985005,19.613505004313968,19.812097549438477,1700
2024-01-22 00:00:00+00:00,19.928110925128706,20.694953640681756,19.928110925128706,20.645797729492188,8700
2024-01-23 00:00:00+00:00,20.842424314612344,20.842424314612344,20.350857721109012,20.704784393310547,12600
2024-01-24 00:00:00+00:00,20.71461761745161,20.96826543006055,20.350859359081003,20.79326820373535,18800
2024-01-25 00:00:00+00:00,20.527818624510413,20.960397720336914,20.527818624510413,20.960397720336914,5500
2024-01-26 00:00:00+00:00,20.645796061077267,21.252389782068644,20.645796061077267,21.19635009765625,20500
2024-01-29 00:00:00+00:00,21.27500103807061,21.476543261391416,21.25533979995415,21.383146286010742,3700
2024-01-30 00:00:00+00:00,21.225847004877316,21.58862266386296,21.147196419931255,21.314329147338867,3400
2024-01-31 00:00:00+00:00,21.49129119261269,21.727242922861883,21.265169143676758,21.265169143676758,6800
2024-02-01 00:00:00+00:00,21.05871241540822,22.149990825822,21.05871241540822,22.02218246459961,11500
2024-02-02 00:00:00+00:00,21.943532683745612,22.671051025390625,21.392978617804637,22.671051025390625,30400
2024-02-05 00:00:00+00:00,23.054471445530073,23.054471445530073,21.8353847777888,22.090999603271484,48300
2024-02-06 00:00:00+00:00,22.34661737731529,22.631726907842058,22.23847399951012,22.582569122314453,14900
2024-02-07 00:00:00+00:00,22.74970381224294,22.78903004406958,22.454764574254913,22.651391983032227,20400
2024-02-08 00:00:00+00:00,22.572736434126114,22.730039464754476,22.395774040627373,22.454761505126953,6500
2024-02-09 00:00:00+00:00,22.425266989431577,22.798858642578125,22.18931525463372,22.798858642578125,7800
2024-02-12 00:00:00+00:00,22.89717299520147,23.349413364491564,22.710377163235766,23.10363006591797,10400
2024-02-13 00:00:00+00:00,22.277797236450525,22.67105012507721,21.64269330564457,22.454761505126953,20300
2024-02-14 00:00:00+00:00,22.818519415818713,22.818519415818713,22.194231518340455,22.505884170532227,9200
2024-02-15 00:00:00+00:00,22.051680819047103,22.887344521820815,22.041849260758234,22.523584365844727,14400
2024-02-16 00:00:00+00:00,22.523582802681958,22.936498846267526,22.523582802681958,22.710378646850586,12100
2024-02-20 00:00:00+00:00,21.943534111775552,22.867679903272304,21.943534111775552,22.140161514282227,48500
2024-02-21 00:00:00+00:00,22.022183742293237,22.179484907402788,21.491292778842947,21.786231994628906,15600
2024-02-22 00:00:00+00:00,21.71741514289152,22.04184906279837,21.628932994264385,21.835390090942383,15700
