"('date', '')","('open', 'CLAR')","('high', 'CLAR')","('low', 'CLAR')","('close', 'CLAR')","('volume', 'CLAR')"
1998-05-27 00:00:00+00:00,9.209006857735961,9.209006857735961,7.827656269073486,7.827656269073486,2335562
1998-05-28 00:00:00+00:00,7.8852115520285055,7.8852115520285055,7.424760818481445,7.424760818481445,126653
1998-05-29 00:00:00+00:00,7.597430069943948,7.597430069943948,7.252092019493497,7.3672051429748535,241783
1998-06-01 00:00:00+00:00,7.482316593797301,7.482316593797301,7.021866321563721,7.021866321563721,64328
1998-06-02 00:00:00+00:00,7.079424219764798,7.42476141780481,6.906755400745839,7.208925724029541,184268
1998-06-03 00:00:00+00:00,7.482317160327092,7.942767907421931,7.482317160327092,7.712542533874512,95691
1998-06-04 00:00:00+00:00,7.827656269073486,7.885212396935116,7.712543133354387,7.827656269073486,50100
1998-06-05 00:00:00+00:00,7.827656269073486,7.827656269073486,7.712543133354387,7.827656269073486,20842
1998-06-08 00:00:00+00:00,7.827656269073486,7.827656269073486,7.654987005492757,7.827656269073486,72244
1998-06-09 00:00:00+00:00,7.827655764040743,7.827655764040743,7.712542635748631,7.770099639892578,63928
1998-06-10 00:00:00+00:00,7.827656293376905,7.885212421417236,7.712543157300401,7.885212421417236,20942
1998-06-11 00:00:00+00:00,7.712542533874512,7.827655660646107,7.712542533874512,7.712542533874512,3106
1998-06-12 00:00:00+00:00,7.770100166416514,7.770100166416514,7.136980557895273,7.1945366859436035,65631
1998-06-15 00:00:00+00:00,7.136980581805052,7.3672059747655,7.136980581805052,7.2520928382873535,16232
1998-06-16 00:00:00+00:00,7.136980581805052,7.309649846524349,7.136980581805052,7.2520928382873535,18236
1998-06-17 00:00:00+00:00,7.367205166962651,7.5398739727511535,7.367205166962651,7.482316970825195,309618
1998-06-18 00:00:00+00:00,7.597430094681362,7.597430094681362,7.482316970825195,7.482316970825195,6413
1998-06-19 00:00:00+00:00,7.597429719090939,7.597429719090939,7.367204802753744,7.5398736000061035,10822
1998-06-22 00:00:00+00:00,7.712541015600564,8.057879447937012,7.712541015600564,8.057879447937012,38978
1998-06-23 00:00:00+00:00,8.05788168553407,8.46077546181223,7.827656293376905,7.885212421417236,383165
1998-06-24 00:00:00+00:00,7.942768012337072,7.942768012337072,7.5974303874523015,7.770099639892578,176152
1998-06-25 00:00:00+00:00,7.770100141211856,7.885212396935116,7.770100141211856,7.827656269073486,11022
1998-06-26 00:00:00+00:00,7.827654119711246,8.28810389616718,7.770098007653704,8.057879447937012,132164
1998-06-29 00:00:00+00:00,8.288104057312012,8.460773276837427,8.288104057312012,8.288104057312012,55411
1998-06-30 00:00:00+00:00,8.345662142571015,8.518331402898227,8.288106015793884,8.403218269348145,16533
1998-07-01 00:00:00+00:00,8.403216120282263,8.518329224392945,8.057879447937012,8.057879447937012,47996
1998-07-02 00:00:00+00:00,8.403216120282263,8.518329224392945,8.057879447937012,8.057879447937012,17435
1998-07-06 00:00:00+00:00,8.403216120282263,8.518329224392945,8.057879447937012,8.057879447937012,39178
1998-07-07 00:00:00+00:00,8.345661962908885,8.345661962908885,8.057881335218465,8.172992706298828,7014
1998-07-08 00:00:00+00:00,8.230545997619629,8.28810209718427,8.172989018059582,8.230545997619629,39880
1998-07-09 00:00:00+00:00,8.230545997619629,8.28810209718427,8.172989018059582,8.230545997619629,21242
1998-07-10 00:00:00+00:00,8.2881058373708,8.2881058373708,8.172992706298828,8.172992706298828,10521
1998-07-13 00:00:00+00:00,8.230549711832715,8.230549711832715,8.115437460756548,8.172992706298828,3607
1998-07-14 00:00:00+00:00,8.172990792056497,8.172990792056497,8.057879447937012,8.057879447937012,6713
1998-07-15 00:00:00+00:00,8.172992706298828,8.2881058373708,8.057881335218465,8.172992706298828,25852
1998-07-16 00:00:00+00:00,8.057881508685366,8.403218269348145,8.057881508685366,8.403218269348145,40581
