"('date', '')","('open', 'CDW')","('high', 'CDW')","('low', 'CDW')","('close', 'CDW')","('volume', 'CDW')"
2013-06-27 00:00:00+00:00,15.500172300406813,16.475523848553827,15.271711501922965,16.141620635986328,8285800
2013-06-28 00:00:00+00:00,16.167979912786564,16.84457514061592,16.150405618978215,16.36129379272461,717400
2013-07-01 00:00:00+00:00,16.387657907660138,16.607331610647478,16.115262985229492,16.115262985229492,394200
2013-07-02 00:00:00+00:00,16.11525013320975,17.257551807359757,16.044954671353995,16.888500213623047,223800
2013-07-03 00:00:00+00:00,16.68640884419381,16.879721036522437,16.40522686408788,16.765491485595703,103700
2013-07-05 00:00:00+00:00,16.519448619886333,17.011518528852626,16.2997750920901,16.888500213623047,111800
2013-07-08 00:00:00+00:00,16.73912404997911,17.116962828883803,16.5721733565838,16.897289276123047,110500
2013-07-09 00:00:00+00:00,16.80941915471041,17.503588370825103,16.747910829429596,17.134536743164062,206400
2013-07-10 00:00:00+00:00,17.108187665136118,17.529962455513452,16.739135771041813,16.783071517944336,334900
2013-07-11 00:00:00+00:00,16.739125411296786,17.266342315994017,16.739125411296786,17.204833984375,108800
2013-07-12 00:00:00+00:00,16.89729644094228,17.169692968570505,16.879722147035253,17.14333152770996,114600
2013-07-15 00:00:00+00:00,17.01152371123284,17.354213982679596,16.888505358527027,17.1872615814209,177300
2013-07-16 00:00:00+00:00,16.73034640749429,18.14504360926223,16.73034640749429,17.661762237548828,239300
2013-07-17 00:00:00+00:00,17.58267723925304,17.98687590692525,17.3278550284344,17.89900779724121,139200
2013-07-18 00:00:00+00:00,18.01323450892732,18.452581692071885,17.626608518486677,18.303203582763672,162000
2013-07-19 00:00:00+00:00,18.45258939049229,18.795279800003016,18.25049000416428,18.31199836730957,631400
2013-07-22 00:00:00+00:00,18.101109035499533,18.188978830405134,17.767204150053633,17.872648239135742,492900
2013-07-23 00:00:00+00:00,17.828712400799912,18.180189869376484,17.573890188596412,17.767202377319336,41500
2013-07-24 00:00:00+00:00,17.77598704524168,18.1801873347346,17.617821787439084,18.074743270874023,43600
2013-07-25 00:00:00+00:00,17.87264871072572,19.31370735168457,17.573892405749813,19.31370735168457,232400
2013-07-26 00:00:00+00:00,19.43672270218789,19.454295318106304,18.49651819751884,18.97101402282715,141300
2013-07-29 00:00:00+00:00,18.891933146114326,19.3312804285821,18.505307068269158,19.067672729492188,85200
2013-07-30 00:00:00+00:00,19.076462182680785,19.15554484411242,18.27685009574071,18.979806900024414,94600
2013-07-31 00:00:00+00:00,19.146751807290563,19.146751807290563,18.619534831356695,18.891929626464844,52500
2013-08-01 00:00:00+00:00,18.847993388475086,19.155535052417978,18.593171237235122,19.03251838684082,181600
2013-08-02 00:00:00+00:00,19.041308026031494,19.770624322904002,18.60196081885585,19.709115982055664,224500
2013-08-05 00:00:00+00:00,19.709109789968238,20.209965180636537,19.559731719420142,20.025440216064453,104800
2013-08-06 00:00:00+00:00,20.060596448943144,20.297844378961873,19.849709958696558,20.04302215576172,419400
2013-08-07 00:00:00+00:00,20.03423300349511,20.20118542005096,19.89364202407229,20.166038513183594,82800
2013-08-08 00:00:00+00:00,20.209972217362676,20.297841996981322,20.034232658125386,20.271480560302734,74100
2013-08-09 00:00:00+00:00,20.078172148503935,20.31542009514074,20.078172148503935,20.253910064697266,67400
2013-08-12 00:00:00+00:00,20.078170124637573,20.385713541946927,20.078170124637573,20.35056495666504,116200
2013-08-13 00:00:00+00:00,20.33299018720755,20.6932547980146,20.07816965379667,20.561450958251953,102400
2013-08-14 00:00:00+00:00,20.473577562908197,20.561447332581164,20.341773746386973,20.52630043029785,72100
2013-08-15 00:00:00+00:00,20.561447886426006,20.561447886426006,20.034230930163492,20.209970474243164,280100
