"('date', '')","('open', 'ATYR')","('high', 'ATYR')","('low', 'ATYR')","('close', 'ATYR')","('volume', 'ATYR')"
2024-01-02 00:00:00+00:00,1.3899999856948853,1.5399999618530273,1.3899999856948853,1.4950000047683716,490100
2024-01-03 00:00:00+00:00,1.5299999713897705,1.6200000047683716,1.5099999904632568,1.5549999475479126,594400
2024-01-04 00:00:00+00:00,1.600000023841858,1.600000023841858,1.5,1.5099999904632568,304000
2024-01-05 00:00:00+00:00,1.5199999809265137,1.5399999618530273,1.4700000286102295,1.5,276200
2024-01-08 00:00:00+00:00,1.5099999904632568,1.5700000524520874,1.4700000286102295,1.5700000524520874,550600
2024-01-09 00:00:00+00:00,1.5700000524520874,1.590000033378601,1.5199999809265137,1.5800000429153442,242800
2024-01-10 00:00:00+00:00,1.5800000429153442,1.600000023841858,1.5499999523162842,1.590000033378601,229100
2024-01-11 00:00:00+00:00,1.600000023841858,1.600000023841858,1.5399999618530273,1.559999942779541,272800
2024-01-12 00:00:00+00:00,1.559999942779541,1.5800000429153442,1.5199999809265137,1.5399999618530273,158100
2024-01-16 00:00:00+00:00,1.5499999523162842,1.5499999523162842,1.5099999904632568,1.5299999713897705,163600
2024-01-17 00:00:00+00:00,1.5199999809265137,1.5299999713897705,1.409999966621399,1.4550000429153442,277000
2024-01-18 00:00:00+00:00,1.4800000190734863,1.4800000190734863,1.3949999809265137,1.4199999570846558,225900
2024-01-19 00:00:00+00:00,1.440000057220459,1.5099999904632568,1.4220000505447388,1.5,535200
2024-01-22 00:00:00+00:00,1.5,1.5549999475479126,1.5,1.5499999523162842,454400
2024-01-23 00:00:00+00:00,1.5499999523162842,1.5700000524520874,1.5399999618530273,1.5399999618530273,225800
2024-01-24 00:00:00+00:00,1.5700000524520874,1.5700000524520874,1.5,1.5399999618530273,125800
2024-01-25 00:00:00+00:00,1.5499999523162842,1.559999942779541,1.5,1.5499999523162842,284500
2024-01-26 00:00:00+00:00,1.5499999523162842,1.590000033378601,1.5399999618530273,1.5800000429153442,117000
2024-01-29 00:00:00+00:00,1.5800000429153442,1.6299999952316284,1.5509999990463257,1.6200000047683716,240700
2024-01-30 00:00:00+00:00,1.6100000143051147,1.6299999952316284,1.5800000429153442,1.6100000143051147,142400
2024-01-31 00:00:00+00:00,1.5700000524520874,1.6299999952316284,1.5700000524520874,1.5950000286102295,185800
2024-02-01 00:00:00+00:00,1.590000033378601,1.6150000095367432,1.5800000429153442,1.600000023841858,161200
2024-02-02 00:00:00+00:00,1.600000023841858,1.7699999809265137,1.4800000190734863,1.7599999904632568,547200
2024-02-05 00:00:00+00:00,1.75,1.7869999408721924,1.659999966621399,1.7000000476837158,742200
2024-02-06 00:00:00+00:00,1.7200000286102295,1.7200000286102295,1.649999976158142,1.649999976158142,196100
2024-02-07 00:00:00+00:00,1.659999966621399,1.7000000476837158,1.6299999952316284,1.659999966621399,137500
2024-02-08 00:00:00+00:00,1.649999976158142,2.0230000019073486,1.649999976158142,1.9700000286102295,1525000
2024-02-09 00:00:00+00:00,2.0,2.049999952316284,1.9299999475479126,1.9700000286102295,594000
