"('date', '')","('open', 'BLMN')","('high', 'BLMN')","('low', 'BLMN')","('close', 'BLMN')","('volume', 'BLMN')"
2024-01-02 00:00:00+00:00,25.13210316806869,25.303070334977,24.41224240630068,24.57421112060547,1490400
2024-01-03 00:00:00+00:00,25.519029879169306,25.519029879169306,23.845355333001997,23.872350692749023,2087500
2024-01-04 00:00:00+00:00,23.93533504032937,24.76317375263872,23.755369431283285,24.367250442504883,1088500
2024-01-05 00:00:00+00:00,24.250272419065748,24.70918143132277,23.89034122440899,23.89933967590332,1274500
2024-01-08 00:00:00+00:00,23.89034095315027,24.223276789543775,23.836351961076417,24.106300354003906,1014200
2024-01-09 00:00:00+00:00,23.791361044909532,24.097301522298075,23.746368788658817,23.926334381103516,867300
2024-01-10 00:00:00+00:00,23.87234393702201,24.016315715704078,23.683379904827426,23.809354782104492,720200
2024-01-11 00:00:00+00:00,23.62939390128679,23.710378251558662,22.59459596770968,22.837547302246094,1846600
2024-01-12 00:00:00+00:00,22.909534846450832,22.918533298936268,22.21667116786538,22.30665397644043,1039900
2024-01-16 00:00:00+00:00,22.189673494067478,22.468618626880147,21.8927314581626,22.34264373779297,1265500
2024-01-17 00:00:00+00:00,22.180675040638345,22.495613979608695,22.135684499190784,22.38763427734375,1415600
2024-01-18 00:00:00+00:00,22.585598994612717,22.81055515647882,22.261661572316147,22.783559799194336,1394800
2024-01-19 00:00:00+00:00,22.86454392064495,23.035511082470762,22.594597215681492,22.81955337524414,977600
2024-01-22 00:00:00+00:00,23.062504467580947,23.79136365220653,23.008515470442514,23.68338394165039,1666700
2024-01-23 00:00:00+00:00,23.440429925970285,23.66538607388278,23.296458128608624,23.314455032348633,1335400
2024-01-24 00:00:00+00:00,23.638389878462934,23.638389878462934,23.08949638770058,23.215471267700195,766000
2024-01-25 00:00:00+00:00,23.57540446598855,23.710377808493085,23.23347016761263,23.692380905151367,763500
2024-01-26 00:00:00+00:00,23.917335777431923,23.962326317116837,23.49441886904487,23.575403213500977,1246200
2024-01-29 00:00:00+00:00,23.656391102600193,24.50222504611296,23.54841138838615,24.439237594604492,1089000
