"('date', '')","('open', 'BIT')","('high', 'BIT')","('low', 'BIT')","('close', 'BIT')","('volume', 'BIT')"
2024-01-02 00:00:00+00:00,12.598629408438681,12.665822034537078,12.598629408438681,12.640625,83800
2024-01-03 00:00:00+00:00,12.556633816877362,12.665822034537078,12.531436782340284,12.640625,67300
2024-01-04 00:00:00+00:00,12.531437316020718,12.657423295070796,12.531437316020718,12.62382698059082,92100
2024-01-05 00:00:00+00:00,12.615427697369356,12.691018799374183,12.615427697369356,12.64902400970459,70900
2024-01-08 00:00:00+00:00,12.682620586130819,12.733014655183394,12.640624994587482,12.66582202911377,112200
2024-01-09 00:00:00+00:00,12.66582257394062,12.70781816729042,12.615428502720317,12.62382698059082,163100
2024-01-10 00:00:00+00:00,12.665821897619292,12.75821155725603,12.657422619197966,12.749813079833984,97900
2024-01-11 00:00:00+00:00,12.792571762606807,12.894167208165985,12.724841465567355,12.817971229553223,120400
2024-01-12 00:00:00+00:00,12.860301421644255,12.95343118100994,12.792571127964916,12.8349027633667,122300
2024-01-16 00:00:00+00:00,12.843370148996357,12.919566936559908,12.784106339739749,12.792572021484375,112300
2024-01-17 00:00:00+00:00,12.741773837348383,12.775638984256993,12.657110566372465,12.750240325927734,82400
2024-01-18 00:00:00+00:00,12.724842071533203,12.801038861183338,12.699443410786113,12.724842071533203,80800
2024-01-19 00:00:00+00:00,12.72483967608935,12.792569963603977,12.665575876366228,12.741772651672363,138700
2024-01-22 00:00:00+00:00,12.784107116612226,12.885702570401161,12.767174137276289,12.826437950134277,101700
2024-01-23 00:00:00+00:00,12.784106254577637,12.817971403557083,12.775639765480566,12.784106254577637,58000
2024-01-24 00:00:00+00:00,12.860300529299732,12.911098649738875,12.843368360759172,12.877233505249023,75300
2024-01-25 00:00:00+00:00,12.894165336091454,12.970362111050209,12.894165336091454,12.944963455200195,130400
2024-01-26 00:00:00+00:00,12.894168415787545,12.9534330368042,12.894168415787545,12.9534330368042,59700
2024-01-29 00:00:00+00:00,12.99576218992649,13.0973576255479,12.961897044719354,13.012694358825684,96600
2024-01-30 00:00:00+00:00,12.995764870241183,13.055028684724364,12.995764870241183,13.046562194824219,50400
2024-01-31 00:00:00+00:00,13.038094982868424,13.105825283500815,13.012696321983494,13.055027961730957,87900
2024-02-01 00:00:00+00:00,13.105824989956183,13.190488267554818,13.105824989956183,13.16508960723877,92400
2024-02-02 00:00:00+00:00,13.09735919446181,13.131224343725602,13.055027556029854,13.080426216125488,107100
2024-02-05 00:00:00+00:00,13.071959726957328,13.080426216125488,13.012695917597899,13.080426216125488,144700
2024-02-06 00:00:00+00:00,13.114290873906189,13.114290873906189,13.055027066767785,13.097358703613281,68900
2024-02-07 00:00:00+00:00,13.13969094692272,13.16508960723877,13.122757968439451,13.16508960723877,60300
2024-02-08 00:00:00+00:00,13.165090098866578,13.165090098866578,13.088893307664138,13.148157119750977,92200
2024-02-09 00:00:00+00:00,13.148156628755501,13.182021778313183,13.13969094692272,13.16508960723877,77800
2024-02-12 00:00:00+00:00,13.15662187221776,13.198953507008763,13.00422830993366,13.114290237426758,135000
2024-02-13 00:00:00+00:00,12.995763604768092,13.097359051450143,12.995763604768092,13.02962875366211,106000
2024-02-14 00:00:00+00:00,13.024510739468225,13.118396171200985,12.990370508477465,13.058650970458984,59600
2024-02-15 00:00:00+00:00,13.058646788967458,13.101322267532678,12.964760573330562,13.024506568908691,84000
