"('date', '')","('open', 'BLE')","('high', 'BLE')","('low', 'BLE')","('close', 'BLE')","('volume', 'BLE')"
2024-01-02 00:00:00+00:00,9.616020810196376,9.71497012729607,9.607026119620445,9.705974578857422,137700
2024-01-03 00:00:00+00:00,9.714966773986816,9.723962319320478,9.669989905180932,9.714966773986816,146800
2024-01-04 00:00:00+00:00,9.705974578857422,9.723965675734716,9.669993242965546,9.705974578857422,92900
2024-01-05 00:00:00+00:00,9.705972330579721,9.705972330579721,9.66999100302251,9.678986549377441,97100
2024-01-08 00:00:00+00:00,9.71496883824917,9.849898615474638,9.678987507131538,9.795927047729492,116400
2024-01-09 00:00:00+00:00,9.822913667591614,9.840903905750208,9.696978569030762,9.696978569030762,66500
2024-01-10 00:00:00+00:00,9.759943466400733,9.759943466400733,9.62501286242169,9.634008407592773,121800
2024-01-11 00:00:00+00:00,9.63581797072969,9.681014288114241,9.626778534843169,9.644857406616211,66700
2024-01-12 00:00:00+00:00,9.626778602600098,9.681014356252902,9.626778602600098,9.626778602600098,135300
2024-01-16 00:00:00+00:00,9.617740718008198,9.63581872915609,9.518308639526367,9.518308639526367,97500
2024-01-17 00:00:00+00:00,9.473112053094823,9.482151489439495,9.382720275792405,9.40983772277832,297400
2024-01-18 00:00:00+00:00,9.436953480058888,9.436953480058888,9.355601153667436,9.373679161071777,96700
2024-01-19 00:00:00+00:00,9.400797843933105,9.400797843933105,9.283288625175992,9.400797843933105,114600
2024-01-22 00:00:00+00:00,9.445994819432633,9.482151703579769,9.436955382883818,9.455034255981445,191100
2024-01-23 00:00:00+00:00,9.436955169764238,9.45503404245358,9.40079828643365,9.40983772277832,121000
2024-01-24 00:00:00+00:00,9.49119216876236,9.49119216876236,9.409838955102398,9.436956405639648,119200
2024-01-25 00:00:00+00:00,9.473112318584455,9.518308639526367,9.473112318584455,9.518308639526367,46100
2024-01-26 00:00:00+00:00,9.518309032557934,9.518309032557934,9.455034697855394,9.46407413482666,193500
2024-01-29 00:00:00+00:00,9.482151020076286,9.563504219055176,9.482151020076286,9.563504219055176,105000
