"('date', '')","('open', 'BGX')","('high', 'BGX')","('low', 'BGX')","('close', 'BGX')","('volume', 'BGX')"
2024-01-02 00:00:00+00:00,9.816805847850455,9.885394820072944,9.78251136173921,9.868247985839844,65900
2024-01-03 00:00:00+00:00,9.893966479726513,9.902540303788346,9.782509219857292,9.799656867980957,66600
2024-01-04 00:00:00+00:00,9.825377697718872,9.868246001147558,9.808230049289447,9.842524528503418,57200
2024-01-05 00:00:00+00:00,9.876821455014706,9.919688947871546,9.851099978126584,9.902542114257812,88800
2024-01-08 00:00:00+00:00,9.92826022058218,9.94540786743164,9.902539567952793,9.94540786743164,63400
2024-01-09 00:00:00+00:00,9.92826022058218,9.94540786743164,9.893965744528064,9.94540786743164,56800
2024-01-10 00:00:00+00:00,9.94540786743164,9.94540786743164,9.902539567952793,9.94540786743164,53500
2024-01-11 00:00:00+00:00,9.971128520061027,9.971128520061027,9.893965744528064,9.94540786743164,170900
2024-01-12 00:00:00+00:00,9.971130002609494,10.031145140216294,9.919687872057288,9.95398235321045,64800
2024-01-16 00:00:00+00:00,9.988275349265685,10.013996819539875,9.936834044006911,9.94540786743164,70400
2024-01-17 00:00:00+00:00,9.953982120354462,10.00542424970327,9.911114633149516,9.936835289001465,70500
2024-01-18 00:00:00+00:00,9.988274628740282,10.013996097159,9.936833327192335,9.962553977966309,41300
2024-01-19 00:00:00+00:00,9.962555944853415,9.996850425204316,9.902540808650564,9.936835289001465,50900
2024-01-22 00:00:00+00:00,10.022571315516771,10.022571315516771,9.919687872057288,9.95398235321045,112400
2024-01-23 00:00:00+00:00,9.996851273118141,10.074014064863698,9.971130615084615,10.039719581604004,119600
2024-01-24 00:00:00+00:00,10.116880125653312,10.142600777972408,10.065438003370327,10.12545394897461,106100
2024-01-25 00:00:00+00:00,10.116881619645154,10.185470581054688,10.116881619645154,10.185470581054688,54300
2024-01-26 00:00:00+00:00,10.228339474765345,10.228339474765345,10.134029034168035,10.168323516845703,45400
2024-01-29 00:00:00+00:00,10.185469861271157,10.24548499385214,10.176896037289628,10.202616691589355,17600
2024-01-30 00:00:00+00:00,10.245485013892328,10.279779492240662,10.194043705192254,10.254058837890625,54900
2024-01-31 00:00:00+00:00,10.279781707743767,10.3226500193294,10.219766562110905,10.296929359436035,131000
2024-02-01 00:00:00+00:00,10.305501937866211,10.36551707623462,10.288354288249558,10.305501937866211,65400
2024-02-02 00:00:00+00:00,10.339797058176899,10.339797058176899,10.18547147267359,10.21119213104248,63600
2024-02-05 00:00:00+00:00,10.211190573752539,10.236911228198817,10.11688096235294,10.176896095275879,41000
2024-02-06 00:00:00+00:00,10.202616943841289,10.27120590209961,10.151175633969988,10.27120590209961,60800
2024-02-07 00:00:00+00:00,10.33979856259469,10.416960548928257,10.288356420727208,10.322650909423828,65200
2024-02-08 00:00:00+00:00,10.348368507654955,10.365516155748852,10.194043763034223,10.228338241577148,72900
2024-02-09 00:00:00+00:00,10.21119213104248,10.245486614749328,10.19404529801155,10.21119213104248,64900
2024-02-12 00:00:00+00:00,10.254059499118256,10.314074635686673,10.228338843109636,10.262633323669434,45600
2024-02-13 00:00:00+00:00,10.22833818354059,10.254058837890625,10.194043705192254,10.254058837890625,70900
2024-02-14 00:00:00+00:00,10.322648769837926,10.322648769837926,10.22833914988115,10.305501937866211,113800
2024-02-15 00:00:00+00:00,10.296926790015277,10.322647443490496,10.271205318895227,10.288352966308594,32900
2024-02-16 00:00:00+00:00,10.314073619783812,10.314073619783812,10.236910841713325,10.288352966308594,60800
2024-02-20 00:00:00+00:00,10.322649295215399,10.356943778549207,10.279780986636897,10.314075469970703,66600
2024-02-21 00:00:00+00:00,10.351260133561563,10.394498643960757,10.333964399519491,10.342612266540527,56800
2024-02-22 00:00:00+00:00,10.34261136529991,10.38584987193136,10.333963499032436,10.351259231567383,71400
2024-02-23 00:00:00+00:00,10.403146518822465,10.437737164968855,10.247489023516748,10.2993745803833,124700
2024-02-26 00:00:00+00:00,10.325314605995706,10.359905242919922,10.31666756529403,10.359905242919922,67200
2024-02-27 00:00:00+00:00,10.420443434834477,10.42909130352735,10.351262134703793,10.40314769744873,62000
2024-02-28 00:00:00+00:00,10.429089546203613,10.429089546203613,10.403145944496547,10.429089546203613,27000
2024-02-29 00:00:00+00:00,10.498270834066398,10.506917876595573,10.377203166891828,10.47232723236084,67200
