"('date', '')","('open', 'ACT')","('high', 'ACT')","('low', 'ACT')","('close', 'ACT')","('volume', 'ACT')"
2024-01-02 00:00:00+00:00,27.717143478773135,27.765196045350947,27.45765521984195,27.544151306152344,153400
2024-01-03 00:00:00+00:00,27.409604516110246,27.534542297556488,27.198168809387013,27.31349754333496,139200
2024-01-04 00:00:00+00:00,27.476878858949803,27.582596712356906,27.255834104633163,27.390382766723633,194700
2024-01-05 00:00:00+00:00,27.39999197268371,27.688311040424125,27.275052365731717,27.32310676574707,156000
2024-01-08 00:00:00+00:00,27.371158885186357,27.60181450222531,27.20777759398111,27.5345401763916,428700
2024-01-09 00:00:00+00:00,27.38076965757117,27.524929188518747,26.92906930511199,27.07322883605957,208700
2024-01-10 00:00:00+00:00,27.140502314423077,27.563371847345362,27.140502314423077,27.342327117919922,411500
2024-01-11 00:00:00+00:00,27.40959985810147,27.41921073705452,26.900234272116077,27.054004669189453,894400
2024-01-12 00:00:00+00:00,27.284661527287103,27.32310504487813,26.957898960114626,27.102060317993164,242400
2024-01-16 00:00:00+00:00,27.005954654426702,27.005954654426702,26.51581078012225,26.62152862548828,155600
2024-01-17 00:00:00+00:00,26.41970286165219,26.74646543273544,26.34281765863777,26.736854553222656,192800
2024-01-18 00:00:00+00:00,26.823354738299123,26.97712516784668,26.631140784820623,26.97712516784668,165500
2024-01-19 00:00:00+00:00,27.03478645914958,27.06361909979254,26.746467385071846,26.967512130737305,377200
2024-01-22 00:00:00+00:00,27.159725471870722,27.380770212677568,27.005955057997443,27.32310676574707,925500
2024-01-23 00:00:00+00:00,27.419212979987037,27.428823859726272,27.198166412160358,27.294273376464844,171000
2024-01-24 00:00:00+00:00,27.41920984970199,27.42882072834401,27.063614672297906,27.16933250427246,494000
2024-01-25 00:00:00+00:00,27.303884237582427,27.37115856262332,27.058813220206616,27.217388153076172,688300
2024-01-26 00:00:00+00:00,27.390377599161514,27.683502986060606,27.251022606522977,27.563369750976562,470100
2024-01-29 00:00:00+00:00,27.62103767484412,27.691195451529254,27.294275075718414,27.51531982421875,277300
2024-01-30 00:00:00+00:00,27.54415261972261,28.043907401551806,27.534541739331125,27.976633071899414,373900
2024-01-31 00:00:00+00:00,27.93818792834266,27.93818792834266,27.294273644200548,27.380769729614258,325900
2024-02-01 00:00:00+00:00,27.351935913911802,27.5057081515475,26.688801731706995,27.33271598815918,342000
2024-02-02 00:00:00+00:00,27.130891993497894,27.164529155925266,26.861794694078917,26.909847259521484,245700
2024-02-05 00:00:00+00:00,26.871404850527774,26.871404850527774,26.32359751627057,26.650360107421875,413600
2024-02-06 00:00:00+00:00,26.56386189055288,26.852182771271778,26.486976688978732,26.717632293701172,295700
2024-02-07 00:00:00+00:00,26.640748964856275,26.871404585792803,25.199149959187015,25.420196533203125,572000
2024-02-08 00:00:00+00:00,25.343310005062158,25.75656682535016,25.112652563062014,25.746957778930664,500500
2024-02-09 00:00:00+00:00,25.996834567349914,26.15060498070634,25.594149145175933,26.10255241394043,556700
2024-02-12 00:00:00+00:00,26.092940148524693,26.515809679345917,26.007406437575877,26.198657989501953,350100
2024-02-13 00:00:00+00:00,25.948780769837686,26.01605509335432,25.66046171674129,25.823843002319336,342100
2024-02-14 00:00:00+00:00,26.102552988192482,26.535033430951888,26.025667779822808,26.506200790405273,577700
2024-02-15 00:00:00+00:00,26.59269776726372,26.775300830649385,26.25632428200213,26.313987731933594,289800
2024-02-16 00:00:00+00:00,26.362043354056162,26.46776121139477,26.11216594867552,26.13138771057129,240900
