"('date', '')","('open', 'BSM')","('high', 'BSM')","('low', 'BSM')","('close', 'BSM')","('volume', 'BSM')"
2015-04-30 00:00:00+00:00,7.711160182952881,7.711160182952881,7.711160182952881,7.711160182952881,0
2015-05-01 00:00:00+00:00,7.711160182952881,7.711160182952881,7.711160182952881,7.711160182952881,0
2015-05-04 00:00:00+00:00,7.711160182952881,7.711160182952881,7.711160182952881,7.711160182952881,0
2015-05-05 00:00:00+00:00,7.203844315475888,7.398652313998153,7.203844315475888,7.305306911468506,1001700
2015-05-06 00:00:00+00:00,7.280957716495918,7.483882953389685,7.1470270911099645,7.183553695678711,1341500
2015-05-07 00:00:00+00:00,7.183553279761473,7.366185517932717,7.183553279761473,7.187611103057861,359100
2015-05-08 00:00:00+00:00,7.260664073815927,7.293132077828083,7.183553048098481,7.19978666305542,621200
2015-05-11 00:00:00+00:00,7.423004629398184,7.524467235437427,7.187610640252819,7.2119622230529785,983400
2015-05-12 00:00:00+00:00,7.1470278952748885,7.183554503953513,7.041506667325354,7.102384090423584,402800
2015-05-13 00:00:00+00:00,7.029330873066335,7.203846720286778,7.029330873066335,7.102384090423584,352100
2015-05-14 00:00:00+00:00,7.171378001274829,7.171378001274829,6.980628554650513,6.992803573608398,247300
2015-05-15 00:00:00+00:00,7.045564588846003,7.045564588846003,6.850755769900802,6.895399570465088,455500
2015-05-18 00:00:00+00:00,6.8304641919060884,6.875107996629809,6.7655281709070945,6.8548150062561035,212900
2015-05-19 00:00:00+00:00,6.781759977486669,6.980627359533104,6.733058361796369,6.883222579956055,143500
2015-05-20 00:00:00+00:00,6.85887296529401,6.931926175636166,6.814229938828084,6.895399570465088,174800
2015-05-21 00:00:00+00:00,6.940042557956174,7.138909177201041,6.8629307589515856,7.057738780975342,376500
2015-05-22 00:00:00+00:00,6.972513133108053,7.301251888275146,6.90757710181822,7.3012518882751465,180700
2015-05-26 00:00:00+00:00,7.280958512431858,7.297192130626837,7.110501263843204,7.216022491455078,158900
2015-05-27 00:00:00+00:00,7.280956989263582,7.301249201286805,7.151084974479107,7.179494380950928,166200
2015-05-28 00:00:00+00:00,7.394596788621945,7.394596788621945,7.167320695946552,7.280959129333496,224700
2015-05-29 00:00:00+00:00,7.240372875303983,7.366186311703666,7.183554053852201,7.3418354988098145,34400
2015-06-01 00:00:00+00:00,7.345893951351853,7.345893951351853,7.151085903857259,7.276899337768555,405900
2015-06-02 00:00:00+00:00,7.321543138939621,7.406771369431616,7.199787528681723,7.276899337768555,903500
2015-06-03 00:00:00+00:00,7.2444305419921875,7.3256001659048975,7.167318741291571,7.2444305419921875,860400
2015-06-04 00:00:00+00:00,7.195728614453378,7.345893628270841,7.013096368246466,7.228196620941162,1110700
2015-06-05 00:00:00+00:00,7.264720949950199,7.470081433075469,7.134848964670344,7.386476516723633,1161700
2015-06-08 00:00:00+00:00,7.345891463290641,7.366183671078114,7.173404600704695,7.24848747253418,187600
2015-06-09 00:00:00+00:00,7.293133598906583,7.343864914137399,7.151086535539051,7.23631477355957,73200
2015-06-10 00:00:00+00:00,7.1389096466996795,7.30530827321732,7.1389096466996795,7.285016059875488,94100
2015-06-11 00:00:00+00:00,7.285016938265974,7.289074762144956,7.187612135005311,7.240373134613037,99400
2015-06-12 00:00:00+00:00,7.2566064343811245,7.333718244375149,7.151085987987253,7.1916704177856445,95800
2015-06-15 00:00:00+00:00,7.244431901058552,7.276899911534341,7.142969271559409,7.207905292510986,103000
2015-06-16 00:00:00+00:00,7.19978666305542,7.272839865607339,7.175435853570873,7.19978666305542,108400
2015-06-17 00:00:00+00:00,7.1957303798961725,7.3012516203952575,7.155145168304443,7.155145168304443,217900
2015-06-18 00:00:00+00:00,7.151086396460016,7.2403732308543045,7.138910602365986,7.1713786125183105,431200
2015-06-19 00:00:00+00:00,7.171380758059076,7.207907377170814,7.114561916817996,7.167322158813477,210600
2015-06-22 00:00:00+00:00,7.20790417144973,7.234284667764051,7.1592017762616225,7.232254981994629,108500
2015-06-23 00:00:00+00:00,7.244431801663485,7.293133429659758,7.224138811583022,7.268782615661621,115900
2015-06-24 00:00:00+00:00,7.264724143385008,7.272841339557687,6.976570646140785,7.102384090423584,200200
