"('date', '')","('open', 'BEDU')","('high', 'BEDU')","('low', 'BEDU')","('close', 'BEDU')","('volume', 'BEDU')"
2024-01-02 00:00:00+00:00,1.25,1.4900000095367432,1.25,1.4550000429153442,11700
2024-01-03 00:00:00+00:00,1.4600000381469727,1.5,1.4600000381469727,1.4989999532699585,2300
2024-01-04 00:00:00+00:00,1.4700000286102295,1.4700000286102295,1.465999960899353,1.4700000286102295,1600
2024-01-05 00:00:00+00:00,1.350000023841858,1.3700000047683716,1.3320000171661377,1.3700000047683716,900
2024-01-08 00:00:00+00:00,1.440000057220459,1.5,1.440000057220459,1.5,800
2024-01-09 00:00:00+00:00,1.4589999914169312,1.4989999532699585,1.4589999914169312,1.4950000047683716,1300
2024-01-10 00:00:00+00:00,1.5,1.5,1.4700000286102295,1.4800000190734863,500
2024-01-11 00:00:00+00:00,1.4900000095367432,1.5099999904632568,1.4900000095367432,1.5099999904632568,4800
2024-01-12 00:00:00+00:00,1.5099999904632568,1.5499999523162842,1.5099999904632568,1.5110000371932983,7800
2024-01-16 00:00:00+00:00,1.5099999904632568,1.5499999523162842,1.5099999904632568,1.5499999523162842,8000
2024-01-17 00:00:00+00:00,1.5369999408721924,1.5499999523162842,1.5099999904632568,1.5499999523162842,4600
2024-01-18 00:00:00+00:00,1.5499999523162842,1.5499999523162842,1.5499999523162842,1.5499999523162842,300
2024-01-19 00:00:00+00:00,1.5099999904632568,1.5199999809265137,1.5,1.5,32300
2024-01-22 00:00:00+00:00,1.5099999904632568,1.5099999904632568,1.5,1.5,300
2024-01-23 00:00:00+00:00,1.399999976158142,1.5,1.399999976158142,1.5,800
2024-01-24 00:00:00+00:00,1.409999966621399,1.440000057220459,1.409999966621399,1.440000057220459,300
2024-01-25 00:00:00+00:00,1.4600000381469727,1.4600000381469727,1.4600000381469727,1.4600000381469727,200
2024-01-26 00:00:00+00:00,1.4199999570846558,1.4199999570846558,1.4199999570846558,1.4199999570846558,200
2024-01-29 00:00:00+00:00,1.4299999475479126,1.4299999475479126,1.4299999475479126,1.4299999475479126,100
2024-01-30 00:00:00+00:00,1.4600000381469727,1.4600000381469727,1.399999976158142,1.399999976158142,400
2024-01-31 00:00:00+00:00,1.4600000381469727,1.4600000381469727,1.409999966621399,1.409999966621399,500
2024-02-01 00:00:00+00:00,1.4600000381469727,1.4600000381469727,1.409999966621399,1.4600000381469727,1500
2024-02-02 00:00:00+00:00,1.4600000381469727,1.4600000381469727,1.399999976158142,1.4600000381469727,500
2024-02-05 00:00:00+00:00,1.3600000143051147,1.5099999904632568,1.3600000143051147,1.5099999904632568,23500
2024-02-06 00:00:00+00:00,1.5499999523162842,2.0,1.5499999523162842,1.850000023841858,28800
2024-02-07 00:00:00+00:00,2.0,2.0,1.850000023841858,1.909999966621399,23900
2024-02-08 00:00:00+00:00,1.8700000047683716,1.8700000047683716,1.7999999523162842,1.7999999523162842,1000
2024-02-09 00:00:00+00:00,1.7100000381469727,1.7899999618530273,1.600000023841858,1.6299999952316284,1500
2024-02-12 00:00:00+00:00,1.559999942779541,1.7400000095367432,1.534999966621399,1.7400000095367432,3100
2024-02-13 00:00:00+00:00,1.7400000095367432,1.7400000095367432,1.7400000095367432,1.7400000095367432,0
2024-02-14 00:00:00+00:00,1.690000057220459,1.8380000591278076,1.465000033378601,1.5499999523162842,4600
2024-02-15 00:00:00+00:00,1.600000023841858,1.7300000190734863,1.600000023841858,1.6299999952316284,12100
