"('date', '')","('open', 'AMP')","('high', 'AMP')","('low', 'AMP')","('close', 'AMP')","('volume', 'AMP')"
2024-01-02 00:00:00+00:00,370.32103697526065,371.04429158834296,368.0241786166164,370.4578552246094,540600
2024-01-03 00:00:00+00:00,372.48107903676834,377.5927786881509,371.767577920155,371.9337463378906,728500
2024-01-04 00:00:00+00:00,370.71199737487507,376.89882516547004,370.2819460151535,370.4676513671875,411800
2024-01-05 00:00:00+00:00,369.44140146870063,375.442554079516,368.317415734226,373.4584655761719,424300
2024-01-08 00:00:00+00:00,373.6735252707469,375.79443222900534,369.9399105604124,375.7455749511719,435900
2024-01-09 00:00:00+00:00,373.5855217118421,374.6801870916994,365.55142350855317,367.408447265625,513600
2024-01-10 00:00:00+00:00,367.8482957813022,369.64670892116817,366.01083857734886,369.4414367675781,304500
2024-01-11 00:00:00+00:00,369.9398969806822,370.31130772625636,365.7762309996201,369.715087890625,422400
2024-01-12 00:00:00+00:00,371.8555365748023,373.2043313697858,366.5092444950224,367.8873596191406,354100
2024-01-16 00:00:00+00:00,364.90636980018417,365.4634859111787,360.83066486632464,365.0236511230469,813800
2024-01-17 00:00:00+00:00,360.7915933635511,367.90694866245775,360.07809220822105,363.6455383300781,501100
2024-01-18 00:00:00+00:00,363.792135189866,366.51904523810845,360.9381902609538,366.4017639160156,519300
2024-01-19 00:00:00+00:00,369.0895678345932,373.61486105592934,365.60029938816473,373.0382080078125,1231800
2024-01-22 00:00:00+00:00,374.0058220079291,379.89944723286675,374.0058220079291,378.35516357421875,476400
2024-01-23 00:00:00+00:00,378.7558136703792,379.19564837431165,376.1462152540597,379.02947998046875,422500
2024-01-24 00:00:00+00:00,382.14743519295615,384.69842344103665,380.1926668114747,380.65203857421875,577000
2024-01-25 00:00:00+00:00,361.74934167830577,393.5436402799818,361.74934167830577,382.5285339355469,1251000
2024-01-26 00:00:00+00:00,384.5322147269889,386.5065496750198,380.867024395619,382.5481262207031,497200
2024-01-29 00:00:00+00:00,381.30680578310904,384.41487959040325,379.7234485540116,384.2193908691406,591600
2024-01-30 00:00:00+00:00,382.65566350108725,385.5878158391347,382.57745606873084,384.6495056152344,390200
2024-01-31 00:00:00+00:00,383.5744056837023,387.3861977450691,377.98376738456574,378.08148193359375,581300
2024-02-01 00:00:00+00:00,378.5897324622907,380.8865910346305,369.50982593285994,377.289794921875,391600
2024-02-02 00:00:00+00:00,377.0454743673499,383.77966550585774,373.3509634581629,381.8542175292969,322800
