"('date', '')","('open', 'AGM')","('high', 'AGM')","('low', 'AGM')","('close', 'AGM')","('volume', 'AGM')"
2024-01-02 00:00:00+00:00,179.32279204108806,180.5175767282702,176.49702316367222,177.31251525878906,60600
2024-01-03 00:00:00+00:00,177.1133580941686,177.28404987050286,173.82294384849877,173.8893280029297,50200
2024-01-04 00:00:00+00:00,174.65739808899744,176.58233592610193,174.0789675660346,174.8565216064453,57300
2024-01-05 00:00:00+00:00,174.35394660660018,179.70205221685646,174.35394660660018,177.2081756591797,65100
2024-01-08 00:00:00+00:00,177.17972880656936,177.71074412539687,175.0461758132988,175.5961456298828,45700
2024-01-09 00:00:00+00:00,173.64276284501733,174.52463894556678,172.43850112048156,173.51950073242188,37800
2024-01-10 00:00:00+00:00,172.81780730700885,174.6194686463072,171.82214626409825,173.52899169921875,56600
2024-01-11 00:00:00+00:00,173.2824517154208,173.9746671340883,168.3420844740152,170.77908325195312,45900
2024-01-12 00:00:00+00:00,173.51951338046766,173.51951338046766,168.62656131962902,169.28085327148438,51800
2024-01-16 00:00:00+00:00,167.56454049354215,170.35237130444716,167.33695626712603,170.23858642578125,45500
2024-01-17 00:00:00+00:00,168.06710601526254,171.3195824585356,168.06710601526254,171.18682861328125,34000
2024-01-18 00:00:00+00:00,171.632491659218,173.68070608198522,170.0299539248052,173.59536743164062,55900
2024-01-19 00:00:00+00:00,174.71430423277468,176.61079600192284,173.05487393477003,176.02288818359375,47400
2024-01-22 00:00:00+00:00,177.61593022692813,179.73051444940148,177.61593022692813,178.69692993164062,47000
2024-01-23 00:00:00+00:00,179.8063755286727,179.8063755286727,176.06080727162356,176.85733032226562,49000
2024-01-24 00:00:00+00:00,177.89093327449356,178.53573352917905,174.4013809043458,174.41085815429688,37000
2024-01-25 00:00:00+00:00,176.91422163694696,177.72022186629792,174.21171538368938,177.4357452392578,41400
2024-01-26 00:00:00+00:00,178.18488460413582,179.4081154079785,178.13746941689894,179.37966918945312,29900
2024-01-29 00:00:00+00:00,179.48397674158352,182.09165287864266,178.24177696952873,181.79769897460938,47400
2024-01-30 00:00:00+00:00,180.8399879144605,183.03043370058688,180.3563732293105,182.97354125976562,25100
2024-01-31 00:00:00+00:00,183.01143233829708,183.01143233829708,176.36423474565646,176.64869689941406,51500
2024-02-01 00:00:00+00:00,176.81942740762733,179.17107336486526,173.16867463086422,178.8865966796875,91900
2024-02-02 00:00:00+00:00,177.01853533434516,181.0959955444351,177.01853533434516,178.5452117919922,41300
2024-02-05 00:00:00+00:00,176.28842116248842,178.6210982704784,175.16000608291964,177.78665161132812,46800
2024-02-06 00:00:00+00:00,177.23665598095093,179.2469327874589,176.1272099432601,176.48753356933594,49000
2024-02-07 00:00:00+00:00,175.4254921976834,175.70996886263165,171.9833549368868,173.1212615966797,42700
2024-02-08 00:00:00+00:00,172.5238489365778,173.85138731334013,171.70835694254288,172.18247985839844,54900
2024-02-09 00:00:00+00:00,172.86521885875592,175.86167917417302,172.31523453738825,174.47723388671875,61100
2024-02-12 00:00:00+00:00,175.00825554747823,179.05726946592728,174.76171683001408,177.65386962890625,56300
