"('date', '')","('open', 'BHV')","('high', 'BHV')","('low', 'BHV')","('close', 'BHV')","('volume', 'BHV')"
2024-01-02 00:00:00+00:00,9.925291156311108,10.06225521964304,9.888767580247407,10.04399299621582,10000
2024-01-03 00:00:00+00:00,10.10790729522705,10.10790729522705,10.10790729522705,10.10790729522705,200
2024-01-04 00:00:00+00:00,10.0439917952684,10.107907828039833,10.007468223571777,10.007468223571777,5600
2024-01-05 00:00:00+00:00,10.025732522157199,10.034863635464077,9.970947583897711,9.98007869720459,4100
2024-01-08 00:00:00+00:00,10.043995221407485,10.062257448880601,10.043995221407485,10.053126335144043,3600
2024-01-09 00:00:00+00:00,10.043992117103901,10.0622543389327,9.998337433322568,10.016599655151367,2600
2024-01-10 00:00:00+00:00,10.034862994251048,10.034862994251048,9.897899786563187,9.96181583404541,10300
2024-01-11 00:00:00+00:00,9.943486635918546,10.007637880667968,9.943486635918546,9.998473167419434,400
2024-01-12 00:00:00+00:00,10.044295744747876,10.044295744747876,9.980144500732422,9.980144500732422,1900
2024-01-16 00:00:00+00:00,9.961815413050847,9.99847339287643,9.906828880310059,9.906828880310059,2800
2024-01-17 00:00:00+00:00,9.897662489585361,9.897662489585361,9.824346542358398,9.824346542358398,400
2024-01-18 00:00:00+00:00,9.787688798345895,9.787688798345895,9.741866111755371,9.741866111755371,2600
2024-01-19 00:00:00+00:00,9.751033384352883,9.751033384352883,9.65022327258344,9.70521068572998,10700
2024-01-22 00:00:00+00:00,9.84267520904541,9.84267520904541,9.84267520904541,9.84267520904541,400
2024-01-23 00:00:00+00:00,9.906828880310059,9.906828880310059,9.906828880310059,9.906828880310059,400
2024-01-24 00:00:00+00:00,9.879333828559034,9.879333828559034,9.806017875671387,9.806017875671387,1600
2024-01-25 00:00:00+00:00,9.842672247094821,9.842672247094821,9.833507537841797,9.833507537841797,600
2024-01-26 00:00:00+00:00,9.84267520904541,9.84267520904541,9.84267520904541,9.84267520904541,1100
2024-01-29 00:00:00+00:00,9.84267520904541,9.84267520904541,9.84267520904541,9.84267520904541,1000
2024-01-30 00:00:00+00:00,9.84267594995945,9.84267594995945,9.81518268585205,9.81518268585205,6200
2024-01-31 00:00:00+00:00,9.925156183605251,9.925156183605251,9.79685283337206,9.87933349609375,3600
2024-02-01 00:00:00+00:00,9.943485260009766,9.943485260009766,9.943485260009766,9.943485260009766,500
2024-02-02 00:00:00+00:00,9.870168168453427,9.925154685974121,9.870168168453427,9.925154685974121,800
2024-02-05 00:00:00+00:00,9.888499048325208,9.888499048325208,9.861005783081055,9.861005783081055,2900
2024-02-06 00:00:00+00:00,9.870169018917267,9.92515554117588,9.870169018917267,9.915990829467773,6900
2024-02-07 00:00:00+00:00,9.961812215387988,9.961812215387988,9.861003021725377,9.87016773223877,2000
2024-02-08 00:00:00+00:00,9.915991124068604,9.961813809975501,9.915991124068604,9.943485260009766,10200
2024-02-09 00:00:00+00:00,9.952649116516113,9.952649116516113,9.952649116516113,9.952649116516113,400
2024-02-12 00:00:00+00:00,9.952649116516113,9.970978540510997,9.897662592521543,9.952649116516113,7400
2024-02-13 00:00:00+00:00,9.87016773223877,9.87016773223877,9.87016773223877,9.87016773223877,1200
2024-02-14 00:00:00+00:00,9.888565785261024,9.934559289945424,9.879366908873518,9.91616153717041,800
2024-02-15 00:00:00+00:00,9.943760871887207,9.952958873524222,9.888568475798245,9.943760871887207,2700
2024-02-16 00:00:00+00:00,9.934561992996818,9.952958873524222,9.916164235216039,9.943760871887207,1700
2024-02-20 00:00:00+00:00,9.925360447641847,9.980552828903285,9.906963572056794,9.952956199645996,4100
2024-02-21 00:00:00+00:00,10.026545690842095,10.035744567476197,9.925360679626465,9.925360679626465,4600
2024-02-22 00:00:00+00:00,9.906966233579023,10.02654815014059,9.906966233579023,9.943760871887207,1900
2024-02-23 00:00:00+00:00,10.026546772324831,10.118533794081419,10.017348771951776,10.072540283203125,11500
2024-02-26 00:00:00+00:00,10.090938038455745,10.136931549334038,10.072540283203125,10.072540283203125,3300
2024-02-27 00:00:00+00:00,10.026544570922852,10.026544570922852,10.026544570922852,10.026544570922852,400
2024-02-28 00:00:00+00:00,10.026544570922852,10.026544570922852,10.026544570922852,10.026544570922852,0
2024-02-29 00:00:00+00:00,10.026544570922852,10.026544570922852,10.026544570922852,10.026544570922852,0
2024-03-01 00:00:00+00:00,10.210518808447503,10.210518808447503,9.99894905090332,9.99894905090332,2000
2024-03-04 00:00:00+00:00,10.210519258183275,10.210519258183275,10.155326878098485,10.192121505737305,3400
2024-03-05 00:00:00+00:00,10.109336426264848,10.182925703759231,10.109336426264848,10.127734184265137,3300
2024-03-06 00:00:00+00:00,10.081739031575555,10.136931419372559,10.081739031575555,10.136931419372559,600
2024-03-07 00:00:00+00:00,10.136931419372559,10.136931419372559,10.136931419372559,10.136931419372559,1000
2024-03-08 00:00:00+00:00,10.136931419372559,10.136931419372559,10.11853366435581,10.136931419372559,3700
2024-03-11 00:00:00+00:00,10.136931419372559,10.136931419372559,10.136931419372559,10.136931419372559,0
2024-03-12 00:00:00+00:00,10.210519223157176,11.111988035842419,10.146127967070289,10.155326843261719,10200
2024-03-13 00:00:00+00:00,10.320904344402216,10.320904344402216,10.16452693939209,10.16452693939209,600
2024-03-14 00:00:00+00:00,10.201455208111762,10.376864454752813,10.201455208111762,10.247615814208984,5400
2024-03-15 00:00:00+00:00,10.18299125100366,10.19222354888916,9.989117397610102,10.19222354888916,7900
2024-03-18 00:00:00+00:00,10.201453712391173,10.247614311720403,10.182989120483398,10.182989120483398,6300
2024-03-19 00:00:00+00:00,10.053740498889795,10.182989120483398,10.053740498889795,10.182989120483398,5500
2024-03-20 00:00:00+00:00,10.247614311720403,10.247614311720403,10.182989120483398,10.182989120483398,600
2024-03-21 00:00:00+00:00,10.182989601631071,10.238382499531511,10.118365287780762,10.118365287780762,4500
2024-03-22 00:00:00+00:00,10.20145584677466,10.24761645576177,10.18299125100366,10.19222354888916,3300
2024-03-25 00:00:00+00:00,10.146061168387115,10.164525760934174,10.146061168387115,10.155293464660645,900
2024-03-26 00:00:00+00:00,10.12759723190575,10.155293239672506,10.09990034369878,10.146060943603516,8600
2024-03-27 00:00:00+00:00,10.192221769314529,10.192221769314529,10.109132863733231,10.155293464660645,9600
2024-03-28 00:00:00+00:00,10.127597584170875,10.136829000120747,10.099900695000533,10.118365287780762,2000
2024-04-01 00:00:00+00:00,10.17376046454865,10.17376046454865,10.072206942390443,10.09067153930664,1900
2024-04-02 00:00:00+00:00,10.109135255782398,10.109135255782398,10.09067153930664,10.09067153930664,600
2024-04-03 00:00:00+00:00,10.109134434117923,10.109134434117923,10.035277813337036,10.053742408752441,1100
