"('date', '')","('open', 'BBW')","('high', 'BBW')","('low', 'BBW')","('close', 'BBW')","('volume', 'BBW')"
2024-01-02 00:00:00+00:00,22.112278421363634,22.506453672611162,21.81424387782485,22.064208984375,334000
2024-01-03 00:00:00+00:00,21.958451700044524,22.198802527029486,21.304697157248423,21.977680206298828,375200
2024-01-04 00:00:00+00:00,21.9103850808432,22.333401270354088,21.39122634771867,21.775787353515625,318000
2024-01-05 00:00:00+00:00,21.775785715270562,21.87192641791978,21.410453245681182,21.69887351989746,264500
2024-01-08 00:00:00+00:00,21.727716823581904,21.727716823581904,21.218172370424305,21.5450496673584,263400
2024-01-09 00:00:00+00:00,21.410451991449005,21.410451991449005,21.054731962604514,21.170101165771484,274200
2024-01-10 00:00:00+00:00,21.198943862667843,21.5450496673584,21.160488680886353,21.5450496673584,183100
2024-01-11 00:00:00+00:00,21.58350546447428,21.74694410371515,21.429681078568905,21.554662704467773,147900
2024-01-12 00:00:00+00:00,21.641188026982103,21.71810021594093,21.179714893229153,21.323925018310547,134100
2024-01-16 00:00:00+00:00,21.1701037528979,21.20855893616552,20.72785722606556,20.775928497314453,187500
2024-01-17 00:00:00+00:00,20.689402952201387,21.064349715766078,20.420209322569654,20.97782325744629,180500
2024-01-18 00:00:00+00:00,20.97782029202724,21.170101690830712,20.77592647364178,21.1508731842041,162000
2024-01-19 00:00:00+00:00,21.15087630917714,21.15087630917714,20.795156218953622,21.14126205444336,190900
2024-01-22 00:00:00+00:00,21.150872650518465,21.6219600485959,20.99704826884956,21.439292907714844,285100
2024-01-23 00:00:00+00:00,21.44890890845082,21.679645499754685,20.699015445146124,20.737470626831055,159100
2024-01-24 00:00:00+00:00,20.997050237484963,21.285470521722967,20.59326073931289,20.795154571533203,311700
2024-01-25 00:00:00+00:00,21.006662952727915,21.275854709303484,20.59325923086536,21.256628036499023,283300
2024-01-26 00:00:00+00:00,21.33353866864008,21.33353866864008,20.939363482142088,21.073959350585938,93400
2024-01-29 00:00:00+00:00,21.150873910906498,21.583506156213044,20.843225129235787,21.56427764892578,385200
2024-01-30 00:00:00+00:00,21.6315754749954,22.44876869301928,21.583506040765737,21.804628372192383,289100
2024-01-31 00:00:00+00:00,21.7181012427763,22.266100844233844,21.496978918281382,21.660417556762695,199600
2024-02-01 00:00:00+00:00,21.737329214275782,22.256486043081395,21.63157426441132,21.948837280273438,203400
2024-02-02 00:00:00+00:00,21.68925993980404,22.093049436485057,21.679645685867417,21.84308433532715,162000
2024-02-05 00:00:00+00:00,21.862311206750746,21.862311206750746,21.247013670714903,21.631574630737305,315100
2024-02-06 00:00:00+00:00,21.410450855426735,21.71809960257335,20.83360853766125,21.073959350585938,325200
2024-02-07 00:00:00+00:00,21.12203262510344,21.150875388048668,20.766314384103175,20.939367294311523,167000
2024-02-08 00:00:00+00:00,20.948980555507415,21.36238246906866,20.852839850645864,21.275856018066406,105500
2024-02-09 00:00:00+00:00,21.295083357490686,21.72771558876681,21.122030464980234,21.689258575439453,122800
2024-02-12 00:00:00+00:00,21.689259266259402,22.150734272229382,21.6123470708863,21.69887351989746,232500
2024-02-13 00:00:00+00:00,21.37199561119604,21.52581999748029,20.795153245764443,21.04511833190918,203500
2024-02-14 00:00:00+00:00,21.198943205894466,21.29508390796676,20.804767977756303,21.26624298095703,148500
2024-02-15 00:00:00+00:00,21.31431311641087,21.871927006299128,21.1893314832167,21.81424331665039,198100
2024-02-16 00:00:00+00:00,21.727714961221626,21.97768003943591,21.468135629953185,21.948837280273438,214900
2024-02-20 00:00:00+00:00,21.939224812335624,22.40069799409598,21.804628926088373,22.189189910888672,174900
2024-02-21 00:00:00+00:00,22.16034880586159,22.304560790456517,21.631577641452054,21.727718353271484,147300
2024-02-22 00:00:00+00:00,21.74694560922085,22.179576036880768,21.74694560922085,22.00652313232422,141600
