"('date', '')","('open', 'ADP')","('high', 'ADP')","('low', 'ADP')","('close', 'ADP')","('volume', 'ADP')"
2024-01-02 00:00:00+00:00,224.85859223432618,225.3114322832789,223.42299136619474,224.89712524414062,1955400
2024-01-03 00:00:00+00:00,225.09942465592903,225.6678783366748,223.2109840687084,224.0203094482422,1831500
2024-01-04 00:00:00+00:00,225.4463093809362,226.75665217832778,224.88748520393827,225.12835693359375,2145400
2024-01-05 00:00:00+00:00,224.14558160111798,226.83370346074724,223.9625167462075,226.6217498779297,1765400
2024-01-08 00:00:00+00:00,226.94934713978142,228.50056167036942,226.36161953001468,228.1151580810547,1678500
2024-01-09 00:00:00+00:00,226.4194098905651,228.33675401584676,226.15926432444368,226.63137817382812,1135000
2024-01-10 00:00:00+00:00,226.38088428783604,227.49851789782772,225.879866992682,226.69882202148438,1218000
2024-01-11 00:00:00+00:00,226.75663829620242,227.19020444271047,223.86617771729172,226.7469940185547,1545200
2024-01-12 00:00:00+00:00,228.00916994812704,228.73178512611813,225.51374239519228,227.33473205566406,932200
2024-01-16 00:00:00+00:00,226.5446765731114,227.27692131505447,224.77184952677874,226.68919372558594,1288800
2024-01-17 00:00:00+00:00,227.51778114350964,228.59688169662516,225.88948603641344,226.795166015625,1409300
2024-01-18 00:00:00+00:00,226.4772458833748,228.03809007760518,225.61011348694558,227.4600067138672,1182700
2024-01-19 00:00:00+00:00,228.0573595501176,230.48535079575385,226.07257877297502,229.5411376953125,1822100
2024-01-22 00:00:00+00:00,229.3869574087956,231.48735174357796,229.23279598010248,230.65875244140625,1761200
2024-01-23 00:00:00+00:00,230.6587710305269,231.71861256115244,229.72418750851463,231.58372497558594,1245100
2024-01-24 00:00:00+00:00,232.5953675897612,232.768788168659,229.48329443087297,229.7338104248047,1744500
2024-01-25 00:00:00+00:00,230.50462084420622,231.95948083117858,227.6334191774985,228.07662963867188,1993300
2024-01-26 00:00:00+00:00,229.07862502269887,229.07862502269887,226.9011500641438,227.479248046875,1677900
2024-01-29 00:00:00+00:00,225.87986560024027,229.0304718017578,225.82205873993328,229.0304718017578,2165100
2024-01-30 00:00:00+00:00,227.31543275116059,230.1191828562559,226.52538122319817,229.87831115722656,2024100
2024-01-31 00:00:00+00:00,237.41280282335356,242.04717230911982,235.09079594160164,236.80580139160156,4436100
2024-02-01 00:00:00+00:00,236.0542647938399,238.22211008276292,233.13490098088826,238.05831909179688,2008000
2024-02-02 00:00:00+00:00,238.54008917612848,240.7079347075803,237.72111942803375,239.7251739501953,2223000
2024-02-05 00:00:00+00:00,239.5132018983705,239.75407362030901,237.10448467898553,239.2145233154297,1733200
2024-02-06 00:00:00+00:00,240.29362533762935,242.60600270281694,239.44576686853952,241.6521453857422,1690500
2024-02-07 00:00:00+00:00,242.63490364110686,243.15518008948482,240.5826718746829,241.13186645507812,1460700
2024-02-08 00:00:00+00:00,240.86209528845237,242.01827662747502,239.33013994506294,241.91229248046875,1330900
2024-02-09 00:00:00+00:00,241.72920806437983,241.8351922028133,239.78296056843922,240.86207580566406,1243300
2024-02-12 00:00:00+00:00,240.6308403597674,241.623230637372,240.29361408220979,240.9391632080078,1260500
2024-02-13 00:00:00+00:00,241.30528386732044,241.3534611511922,238.81948597629665,240.4766845703125,1827900
2024-02-14 00:00:00+00:00,240.9680833133275,242.0857169614374,239.9660486888438,241.73886108398438,1131500
2024-02-15 00:00:00+00:00,242.41331188357572,243.58876708722534,241.96047186077743,242.8468780517578,1387600
2024-02-16 00:00:00+00:00,242.55783638671974,245.07253788032406,241.48836529859733,243.73329162597656,2099100
2024-02-20 00:00:00+00:00,244.14755667048422,245.2266719164458,243.31895740919842,243.70436096191406,1439300
2024-02-21 00:00:00+00:00,244.30173421837108,244.74494465784065,242.34585700186022,244.64859008789062,1146400
2024-02-22 00:00:00+00:00,244.79312265110264,246.41177357911508,244.25355764012187,245.45791625976562,1692900
2024-02-23 00:00:00+00:00,245.92040277370765,246.8549715454715,245.65062761660485,246.5273895263672,1306600
2024-02-26 00:00:00+00:00,247.20183346491064,247.20183346491064,244.22464786128785,244.29209899902344,1141300
2024-02-27 00:00:00+00:00,243.90669291056457,244.05122476065822,241.07405388942823,242.13388061523438,1241800
2024-02-28 00:00:00+00:00,241.41128418275926,242.7119974262133,241.01625101084878,242.37477111816406,1508100
2024-02-29 00:00:00+00:00,244.436618110177,244.5426022548669,241.025881029358,241.96046447753906,2796700
2024-03-01 00:00:00+00:00,240.3225125799879,241.04512770137498,239.2626858896055,240.57302856445312,2091000
2024-03-04 00:00:00+00:00,237.99091710803563,240.31292429209418,234.89813209005183,237.2104949951172,3661500
2024-03-05 00:00:00+00:00,237.35498975762016,237.6536683268181,233.72264024146003,235.09078979492188,2433300
2024-03-06 00:00:00+00:00,236.01575413031165,237.2875491753384,234.2043940795914,234.85955810546875,2163700
2024-03-07 00:00:00+00:00,236.21621428545137,238.35782665523874,235.72200287083888,236.69105529785156,2445400
2024-03-08 00:00:00+00:00,236.35187879766528,236.7491938377575,234.00677372086938,234.89830017089844,1815900
2024-03-11 00:00:00+00:00,235.70264024251483,236.9624114755246,234.21999107019784,236.53602600097656,1477100
2024-03-12 00:00:00+00:00,236.53601602515644,238.05743551457684,235.10182249662796,237.0980682373047,1978800
2024-03-13 00:00:00+00:00,237.09806909384704,237.6698065096855,235.54759399395124,236.65231323242188,1559000
