"('date', '')","('open', 'CIX')","('high', 'CIX')","('low', 'CIX')","('close', 'CIX')","('volume', 'CIX')"
1998-03-06 00:00:00+00:00,8.771814928976113,8.90607740237881,8.525667061071172,8.57042121887207,3453400
1998-03-09 00:00:00+00:00,8.413781229654948,8.749437395731608,8.100502141316731,8.727060317993164,453500
1998-03-10 00:00:00+00:00,8.771814928976113,8.88370032347836,8.480912903270273,8.57042121887207,202600
1998-03-11 00:00:00+00:00,8.59280080893605,8.749440407015614,8.458538296296425,8.6823091506958,105600
1998-03-12 00:00:00+00:00,8.704685074594014,8.77181632195592,8.682307992140045,8.749439239501953,132500
1998-03-13 00:00:00+00:00,8.503291805585226,8.637554307778677,8.413783470789593,8.59280014038086,145700
1998-03-16 00:00:00+00:00,8.637558065073316,8.883706092834473,8.525672597909153,8.883706092834473,65200
1998-03-17 00:00:00+00:00,8.861321692564049,8.950829992488938,8.77181339263916,8.77181339263916,78400
1998-03-18 00:00:00+00:00,8.77181339263916,8.77181339263916,8.369026042977158,8.77181339263916,127000
1998-03-19 00:00:00+00:00,8.727059242676715,8.77181339263916,8.682305092714271,8.77181339263916,71800
1998-03-20 00:00:00+00:00,8.727063699202104,8.861326217651367,8.704686612793893,8.861326217651367,79300
1998-03-23 00:00:00+00:00,8.682309079599257,8.727063250112655,8.570423653315762,8.704686164855957,157000
1998-03-24 00:00:00+00:00,8.682306945639311,8.704684025396114,8.413781988557684,8.458536148071289,193900
1998-03-25 00:00:00+00:00,8.458536148071289,8.503290307584894,8.413781988557684,8.458536148071289,250200
1998-03-26 00:00:00+00:00,8.436159068314486,8.525667387341695,8.436159068314486,8.458536148071289,42100
1998-03-27 00:00:00+00:00,8.458538863533422,8.50329303741455,8.413784689652292,8.50329303741455,32900
1998-03-30 00:00:00+00:00,8.458534735602301,8.480911811622413,8.279518127441406,8.279518127441406,156700
1998-03-31 00:00:00+00:00,8.279521656546363,8.369029998779297,8.234767485429897,8.369029998779297,71400
1998-04-01 00:00:00+00:00,8.413781988557684,8.458536148071289,8.391404908800881,8.458536148071289,17900
1998-04-02 00:00:00+00:00,8.436157708168029,8.950830459594727,8.436157708168029,8.950830459594727,89900
1998-04-03 00:00:00+00:00,8.950834228220769,9.3088675973496,8.771817543656354,9.264113426208496,37400
1998-04-06 00:00:00+00:00,9.308866228376116,9.577391215733119,9.308866228376116,9.398374557495117,88500
1998-04-07 00:00:00+00:00,9.353623541501852,9.353623541501852,9.21936100262862,9.308869361877441,184500
1998-04-08 00:00:00+00:00,9.264108914409192,9.264108914409192,8.816567420959473,8.816567420959473,16800
1998-04-09 00:00:00+00:00,8.727064419509773,8.950835302061305,8.346653919172168,8.928458213806152,110300
1998-04-13 00:00:00+00:00,8.86132215499878,8.9955846118927,8.816568002700805,8.950830459594727,88400
1998-04-14 00:00:00+00:00,8.950834563284209,8.950834563284209,8.861326217651367,8.861326217651367,31400
1998-04-15 00:00:00+00:00,8.861326217651367,8.950834563284209,8.861326217651367,8.861326217651367,65900
1998-04-16 00:00:00+00:00,8.861322722411508,9.17460180855737,8.861322722411508,9.08509349822998,94700
1998-04-17 00:00:00+00:00,9.12984556090861,9.308862140534268,9.12984556090861,9.152222633361816,21700
1998-04-20 00:00:00+00:00,9.152222633361816,9.219353850721438,9.12984556090861,9.152222633361816,82200
