"('date', '')","('open', 'DGX')","('high', 'DGX')","('low', 'DGX')","('close', 'DGX')","('volume', 'DGX')"
1996-12-17 00:00:00+00:00,2.693633692605155,2.693633692605155,2.5140581130981445,2.5140581130981445,1272400
1996-12-18 00:00:00+00:00,2.5140581967537865,2.5813990413096914,2.3793765076419766,2.5589520931243896,1186800
1996-12-19 00:00:00+00:00,2.581398578790518,2.671186355444101,2.581398578790518,2.6262924671173096,528800
1996-12-20 00:00:00+00:00,2.603845844749643,2.671186685562134,2.603845844749643,2.671186685562134,233200
1996-12-23 00:00:00+00:00,2.69363317333284,2.7609740026661607,2.671186230221733,2.7385270595550537,57200
1996-12-24 00:00:00+00:00,2.760973789215088,2.8058676719665527,2.760973789215088,2.8058676719665527,14000
1996-12-26 00:00:00+00:00,2.805867888888375,2.828314831999482,2.7385270595550537,2.7385270595550537,22000
1996-12-27 00:00:00+00:00,2.7385270595550537,2.7385270595550537,2.7385270595550537,2.7385270595550537,800
1996-12-30 00:00:00+00:00,2.7609743185279783,2.7609743185279783,2.7160804271698,2.7160804271698,28400
1996-12-31 00:00:00+00:00,2.6936334814907106,2.7160804271698,2.6936334814907106,2.7160804271698,15600
1997-01-02 00:00:00+00:00,2.6936332996074968,2.6936332996074968,2.6262924671173096,2.6262924671173096,710000
1997-01-03 00:00:00+00:00,2.6262920200824738,2.716079781452815,2.6262920200824738,2.6936328411102295,1579600
1997-01-06 00:00:00+00:00,2.7160804271698,2.738527372848889,2.6936334814907106,2.7160804271698,2490800
1997-01-07 00:00:00+00:00,2.738527327775955,2.873208999633789,2.7160803824663162,2.873208999633789,641200
1997-01-08 00:00:00+00:00,2.9181025749029113,3.0078903464383857,2.895655632019043,2.895655632019043,336000
1997-01-09 00:00:00+00:00,2.8956560336626493,2.940549925657419,2.8956560336626493,2.918102979660034,459200
1997-01-10 00:00:00+00:00,2.940549373626709,2.962996315410119,2.9181024318432986,2.940549373626709,812800
1997-01-13 00:00:00+00:00,2.940549925657419,2.940549925657419,2.8732090876652645,2.918102979660034,3370000
1997-01-14 00:00:00+00:00,3.030336851805029,3.1874654293060303,3.0078899121620286,3.1874654293060303,2018000
1997-01-15 00:00:00+00:00,3.0976779661105787,3.1201249078939886,2.940549373626709,2.940549373626709,2648400
1997-01-16 00:00:00+00:00,2.873208999633789,2.918102890253067,2.85076205432415,2.873208999633789,2926000
1997-01-17 00:00:00+00:00,2.8732086891351742,2.9181025749029113,2.8507617462513055,2.895655632019043,1323600
1997-01-20 00:00:00+00:00,2.873209074726255,2.895656020622554,2.850762128829956,2.850762128829956,2368400
1997-01-21 00:00:00+00:00,2.873208999633789,2.895655944943428,2.873208999633789,2.873208999633789,2347200
1997-01-22 00:00:00+00:00,2.895655944943428,2.895655944943428,2.873208999633789,2.873208999633789,2797600
1997-01-23 00:00:00+00:00,2.9181024318432986,2.9854432571935288,2.9181024318432986,2.940549373626709,1058800
1997-01-24 00:00:00+00:00,2.94054951778678,3.075231175089991,2.895655632019043,2.895655632019043,1254800
1997-01-27 00:00:00+00:00,2.895655632019043,2.94054951778678,2.895655632019043,2.895655632019043,1658000
1997-01-28 00:00:00+00:00,2.895655944943428,3.007890671491623,2.873208999633789,2.873208999633789,1005600
1997-01-29 00:00:00+00:00,2.873208999633789,2.940549835562706,2.85076205432415,2.873208999633789,1512000
1997-01-30 00:00:00+00:00,2.873208999633789,2.918102890253067,2.85076205432415,2.873208999633789,2211200
1997-01-31 00:00:00+00:00,2.8283159732818604,2.8732098776196677,2.8058690211129567,2.8283159732818604,1540400
1997-02-03 00:00:00+00:00,2.828315195670495,2.918102979660034,2.80586824967311,2.918102979660034,1889600
1997-02-04 00:00:00+00:00,2.9181023619391704,2.962996244430542,2.895655420693484,2.962996244430542,1865600
1997-02-05 00:00:00+00:00,2.962995937892369,2.985442876815796,2.9405489989689415,2.985442876815796,458400
1997-02-06 00:00:00+00:00,2.962996244430542,2.985443185676228,2.962996244430542,2.962996244430542,643600
1997-02-07 00:00:00+00:00,2.962997279950042,3.030338127221634,2.9405503308595113,3.0078911781311035,2542800
1997-02-10 00:00:00+00:00,2.962996244430542,2.985443185676228,2.940549303184856,2.962996244430542,944000
1997-02-11 00:00:00+00:00,2.9181023619391704,2.985443185676228,2.9181023619391704,2.962996244430542,772000
1997-02-12 00:00:00+00:00,2.940549373626709,2.962996315410119,2.9181024318432986,2.940549373626709,400400
1997-02-13 00:00:00+00:00,2.9405486354121453,3.0752302523012514,2.9405486354121453,3.030336380004883,1190800
1997-02-14 00:00:00+00:00,3.0303370681676,3.0303370681676,2.940549303184856,2.962996244430542,1210800
1997-02-18 00:00:00+00:00,2.9181023619391704,2.985443185676228,2.9181023619391704,2.962996244430542,2076800
1997-02-19 00:00:00+00:00,2.9405489989689415,3.007889815739223,2.9405489989689415,2.985442876815796,830800
1997-02-20 00:00:00+00:00,2.9629955715603296,3.142571060745804,2.9629955715603296,3.030336380004883,1074000
1997-02-21 00:00:00+00:00,3.03033726180301,3.0752311471630547,3.0078903191229878,3.0527842044830322,638800
1997-02-24 00:00:00+00:00,3.052785467594228,3.165020227432251,3.052785467594228,3.165020227432251,1108000
1997-02-25 00:00:00+00:00,3.1650184896630305,3.2099123689490305,3.14257155002003,3.1874654293060303,462000
1997-02-26 00:00:00+00:00,3.1425715178894484,3.1650184573029443,3.0976776390624563,3.120124578475952,525600
1997-02-27 00:00:00+00:00,3.0976789780776866,3.1874667745437066,3.0527850798446767,3.0752320289611816,854800
1997-02-28 00:00:00+00:00,2.9854425077085143,3.0752302523012514,2.918101699263961,3.030336380004883,514400
1997-03-03 00:00:00+00:00,2.9854425077085143,3.0976771884494356,2.9854425077085143,3.030336380004883,385600
