"('date', '')","('open', 'ARCB')","('high', 'ARCB')","('low', 'ARCB')","('close', 'ARCB')","('volume', 'ARCB')"
2024-01-02 00:00:00+00:00,118.55035212258566,120.60184173201947,118.25303171958345,119.97747039794922,407400
2024-01-03 00:00:00+00:00,118.99632252658667,118.99632252658667,114.98253498094209,115.37895965576172,302900
2024-01-04 00:00:00+00:00,115.81502699645787,117.44036135033673,115.41860232354728,115.48797607421875,276900
2024-01-05 00:00:00+00:00,114.93300215983083,116.35021546010961,114.02123057730579,114.52666473388672,184100
2024-01-08 00:00:00+00:00,114.5662996885978,117.58902951810595,114.24916144100777,117.57911682128906,146200
2024-01-09 00:00:00+00:00,115.68620391706857,117.55930293622504,113.63471415507945,116.56824493408203,183000
2024-01-10 00:00:00+00:00,116.99439325979536,117.62866973876953,114.87352986550574,117.62866973876953,157900
2024-01-11 00:00:00+00:00,117.66832000885496,118.11429308568194,115.03210209183143,116.81600952148438,176700
2024-01-12 00:00:00+00:00,117.32144945418904,118.46116772603371,115.2897849846313,116.89529418945312,155100
2024-01-16 00:00:00+00:00,115.54743080747734,116.33036741432132,114.45726868749166,115.09154510498047,196900
2024-01-17 00:00:00+00:00,113.48606073907477,114.57622309448617,112.08866524300191,114.33837127685547,107200
2024-01-18 00:00:00+00:00,115.47805706060112,115.96368084990607,114.17977369998673,115.09154510498047,109800
2024-01-19 00:00:00+00:00,116.10243492113344,118.17374231033351,114.01130213960481,117.33134460449219,128000
2024-01-22 00:00:00+00:00,118.69901758168203,122.38575468342913,118.69901758168203,122.25691986083984,177700
2024-01-23 00:00:00+00:00,122.7920881307094,123.67412914882159,119.24409866393647,119.58106231689453,226700
2024-01-24 00:00:00+00:00,121.04781299829766,121.04781299829766,117.88633583339616,118.03499603271484,158500
2024-01-25 00:00:00+00:00,119.62068706096767,120.28470160909241,118.10436966403836,119.13507080078125,158100
2024-01-26 00:00:00+00:00,120.14596581739731,120.14596581739731,118.12420657069686,119.96757507324219,157400
2024-01-29 00:00:00+00:00,120.77032824133195,122.52449757087835,118.97651568452478,122.20735931396484,130800
2024-01-30 00:00:00+00:00,121.07755717241173,121.91004984572237,118.77830285547535,121.30550384521484,166900
2024-01-31 00:00:00+00:00,121.305507107092,122.5344169747481,117.52957078643882,118.06474304199219,239800
2024-02-01 00:00:00+00:00,118.28277159854602,120.12614009607536,114.21943528292799,119.89820098876953,264900
2024-02-02 00:00:00+00:00,119.13508190621106,127.64827410329329,116.370029164166,127.20230102539062,420800
2024-02-05 00:00:00+00:00,128.09423816326938,131.21606461115422,125.24989916636481,126.92479705810547,456700
2024-02-06 00:00:00+00:00,128.83755511876873,142.7123687469438,127.88613267328986,137.34083557128906,715800
2024-02-07 00:00:00+00:00,142.56368172391925,144.93230944619415,138.38141627118134,139.05532836914062,433500
2024-02-08 00:00:00+00:00,139.00580282977486,139.471601343774,135.08122124578404,138.55982971191406,352200
2024-02-09 00:00:00+00:00,139.7590026991466,143.76287034540104,138.04446147958572,142.5240478515625,439400
2024-02-12 00:00:00+00:00,142.5240376955225,143.80251088657505,140.74013040704446,143.13848876953125,263600
2024-02-13 00:00:00+00:00,137.91561099028806,142.4546576577504,136.73624975525266,138.093994140625,394800
2024-02-14 00:00:00+00:00,139.8283721397406,141.45370668447703,138.23276812575858,140.45274353027344,270300
2024-02-15 00:00:00+00:00,141.21648974219573,142.5853135959682,138.39950352689462,142.3968505859375,235600
2024-02-16 00:00:00+00:00,141.75213110143872,142.65476181383522,139.69889520412977,140.9090118408203,224300
2024-02-20 00:00:00+00:00,138.498697425347,139.64928739362213,135.07663783882475,138.9351348876953,320500
2024-02-21 00:00:00+00:00,139.22278638820615,140.09566136175715,135.7511438245142,137.7349395751953,421200
2024-02-22 00:00:00+00:00,138.09201029089135,139.6195262142638,137.41751192948345,137.6754150390625,281800
2024-02-23 00:00:00+00:00,138.27054760135732,139.69888285844772,137.02076181898292,139.28228759765625,176200
2024-02-26 00:00:00+00:00,138.98472625019576,139.778247582072,137.57623307531674,137.99282836914062,259700
2024-02-27 00:00:00+00:00,139.20294501752628,142.16872513102228,138.0424263127219,141.22642517089844,228000
2024-02-28 00:00:00+00:00,139.25254400281108,140.94869605212472,138.62764348961753,138.66732788085938,214600
2024-02-29 00:00:00+00:00,139.9071821238366,143.66646797607817,139.58976757564972,141.7025146484375,432000
2024-03-01 00:00:00+00:00,141.81163927275009,142.6448298486912,139.90719718410173,140.99827575683594,243100
2024-03-04 00:00:00+00:00,141.6330848315428,142.54564415630827,139.86750790065093,141.98025512695312,212900
2024-03-05 00:00:00+00:00,140.5519387983888,141.61327688721283,138.56814286577875,139.49061584472656,207800
2024-03-06 00:00:00+00:00,139.93695483775022,141.62317820805723,136.61409088304714,136.8719940185547,247600
2024-03-07 00:00:00+00:00,140.35353941203522,147.53488496912465,139.6691275049376,145.0452117919922,604500
2024-03-08 00:00:00+00:00,146.6521019947038,148.67556693292642,135.3841419041052,135.61227416992188,387500
2024-03-11 00:00:00+00:00,135.89001608137423,135.89001608137423,131.57525404224418,134.8683624267578,372200
2024-03-12 00:00:00+00:00,134.06491239894413,136.6735933622584,132.77544221153593,133.45985412597656,316200
2024-03-13 00:00:00+00:00,132.91430555602992,134.56085954087868,130.92059642134683,132.94406127929688,368800
2024-03-14 00:00:00+00:00,132.38861719414317,132.79529897562782,126.24876661984774,128.14329528808594,409200
