"('date', '')","('open', 'AOSL')","('high', 'AOSL')","('low', 'AOSL')","('close', 'AOSL')","('volume', 'AOSL')"
2024-01-02 00:00:00+00:00,26.65999984741211,28.600000381469727,26.389999389648438,27.3799991607666,333100
2024-01-03 00:00:00+00:00,26.989999771118164,28.3799991607666,26.520000457763672,28.209999084472656,329400
2024-01-04 00:00:00+00:00,28.190000534057617,28.209999084472656,26.6200008392334,26.670000076293945,224800
2024-01-05 00:00:00+00:00,26.6200008392334,27.459999084472656,26.049999237060547,26.309999465942383,202900
2024-01-08 00:00:00+00:00,26.309999465942383,27.059999465942383,26.229999542236328,26.739999771118164,128200
2024-01-09 00:00:00+00:00,26.15999984741211,26.690000534057617,25.860000610351562,26.479999542236328,167100
2024-01-10 00:00:00+00:00,26.3700008392334,26.389999389648438,25.559999465942383,26.1200008392334,163200
2024-01-11 00:00:00+00:00,26.389999389648438,26.709999084472656,26.170000076293945,26.540000915527344,134500
2024-01-12 00:00:00+00:00,26.790000915527344,26.8700008392334,26.399999618530273,26.43000030517578,93600
2024-01-16 00:00:00+00:00,26.15999984741211,26.34000015258789,25.940000534057617,26.15999984741211,124600
2024-01-17 00:00:00+00:00,25.639999389648438,26.329999923706055,25.450000762939453,26.25,174500
2024-01-18 00:00:00+00:00,26.68000030517578,27.309999465942383,26.450000762939453,27.229999542236328,110700
2024-01-19 00:00:00+00:00,27.34000015258789,27.6200008392334,26.610000610351562,27.540000915527344,117700
2024-01-22 00:00:00+00:00,28.0,28.5,27.790000915527344,28.170000076293945,176700
2024-01-23 00:00:00+00:00,28.579999923706055,28.790000915527344,28.31999969482422,28.709999084472656,108500
2024-01-24 00:00:00+00:00,29.110000610351562,29.110000610351562,27.829999923706055,28.100000381469727,130900
2024-01-25 00:00:00+00:00,28.489999771118164,28.489999771118164,27.459999084472656,27.969999313354492,149600
2024-01-26 00:00:00+00:00,27.950000762939453,27.950000762939453,26.479999542236328,26.799999237060547,125700
2024-01-29 00:00:00+00:00,26.700000762939453,27.579999923706055,26.3799991607666,27.56999969482422,170100
2024-01-30 00:00:00+00:00,27.309999465942383,27.739999771118164,26.420000076293945,26.420000076293945,77900
2024-01-31 00:00:00+00:00,26.15999984741211,26.799999237060547,25.6200008392334,25.65999984741211,117900
2024-02-01 00:00:00+00:00,25.809999465942383,25.950000762939453,25.479999542236328,25.889999389648438,114700
2024-02-02 00:00:00+00:00,25.530000686645508,25.81999969482422,25.219999313354492,25.229999542236328,93400
2024-02-05 00:00:00+00:00,25.06999969482422,26.18000030517578,24.829999923706055,26.06999969482422,166800
2024-02-06 00:00:00+00:00,25.899999618530273,25.969999313354492,25.309999465942383,25.739999771118164,155600
2024-02-07 00:00:00+00:00,23.549999237060547,24.420000076293945,21.3700008392334,23.0,562300
2024-02-08 00:00:00+00:00,22.809999465942383,23.25,22.25,22.5,250300
2024-02-09 00:00:00+00:00,22.540000915527344,23.670000076293945,22.479999542236328,23.469999313354492,202500
