"('date', '')","('open', 'APPS')","('high', 'APPS')","('low', 'APPS')","('close', 'APPS')","('volume', 'APPS')"
2024-01-02 00:00:00+00:00,6.75,7.25,6.559999942779541,6.940000057220459,2131500
2024-01-03 00:00:00+00:00,6.760000228881836,6.760000228881836,6.210000038146973,6.320000171661377,2348700
2024-01-04 00:00:00+00:00,6.329999923706055,6.489999771118164,6.130000114440918,6.380000114440918,1196500
2024-01-05 00:00:00+00:00,6.269999980926514,6.460000038146973,6.150000095367432,6.28000020980835,1042600
2024-01-08 00:00:00+00:00,6.269999980926514,6.46999979019165,6.170000076293945,6.360000133514404,1144800
2024-01-09 00:00:00+00:00,6.25,6.28000020980835,6.010000228881836,6.03000020980835,1390000
2024-01-10 00:00:00+00:00,5.980000019073486,6.119999885559082,5.78000020980835,6.070000171661377,1630800
2024-01-11 00:00:00+00:00,6.050000190734863,6.050000190734863,5.71999979019165,5.869999885559082,1373700
2024-01-12 00:00:00+00:00,5.940000057220459,6.070000171661377,5.840000152587891,5.880000114440918,1236900
2024-01-16 00:00:00+00:00,5.739999771118164,5.78000020980835,5.429999828338623,5.460000038146973,1605800
2024-01-17 00:00:00+00:00,5.269999980926514,5.320000171661377,4.960000038146973,5.230000019073486,2148000
2024-01-18 00:00:00+00:00,5.320000171661377,5.460000038146973,5.21999979019165,5.340000152587891,1879800
2024-01-19 00:00:00+00:00,5.389999866485596,5.389999866485596,5.130000114440918,5.349999904632568,1277100
2024-01-22 00:00:00+00:00,5.449999809265137,5.760000228881836,5.429999828338623,5.610000133514404,1535100
2024-01-23 00:00:00+00:00,5.730000019073486,5.820000171661377,5.579999923706055,5.739999771118164,1226800
2024-01-24 00:00:00+00:00,5.849999904632568,5.900000095367432,5.679999828338623,5.710000038146973,1197400
2024-01-25 00:00:00+00:00,5.829999923706055,5.929999828338623,5.619999885559082,5.789999961853027,1003300
2024-01-26 00:00:00+00:00,5.900000095367432,6.010000228881836,5.710000038146973,5.71999979019165,1039700
2024-01-29 00:00:00+00:00,5.739999771118164,6.03000020980835,5.670000076293945,6.010000228881836,1148400
2024-01-30 00:00:00+00:00,5.960000038146973,6.0,5.690000057220459,5.699999809265137,1334200
2024-01-31 00:00:00+00:00,5.670000076293945,5.789999961853027,5.380000114440918,5.389999866485596,1334000
2024-02-01 00:00:00+00:00,5.449999809265137,5.539999961853027,5.340000152587891,5.449999809265137,1257400
2024-02-02 00:00:00+00:00,5.380000114440918,5.449999809265137,5.159999847412109,5.349999904632568,1128100
2024-02-05 00:00:00+00:00,5.21999979019165,5.28000020980835,5.019999980926514,5.119999885559082,1225500
2024-02-06 00:00:00+00:00,5.139999866485596,5.329999923706055,5.110000133514404,5.28000020980835,1281800
2024-02-07 00:00:00+00:00,5.309999942779541,5.340000152587891,5.03000020980835,5.039999961853027,2274400
2024-02-08 00:00:00+00:00,4.21999979019165,4.300000190734863,3.700000047683716,3.809999942779541,10835400
2024-02-09 00:00:00+00:00,3.9600000381469727,4.019999980926514,3.7100000381469727,3.9100000858306885,4103000
2024-02-12 00:00:00+00:00,3.890000104904175,4.010000228881836,3.819999933242798,3.8499999046325684,3076100
2024-02-13 00:00:00+00:00,3.700000047683716,3.7699999809265137,3.4800000190734863,3.509999990463257,3583600
2024-02-14 00:00:00+00:00,3.569999933242798,3.630000114440918,3.4800000190734863,3.5799999237060547,2412500
2024-02-15 00:00:00+00:00,3.609999895095825,3.6500000953674316,3.4600000381469727,3.5299999713897705,2562400
2024-02-16 00:00:00+00:00,3.509999990463257,3.640000104904175,3.430000066757202,3.4800000190734863,2258300
2024-02-20 00:00:00+00:00,3.4100000858306885,3.7699999809265137,3.319999933242798,3.569999933242798,4451000
2024-02-21 00:00:00+00:00,3.5199999809265137,3.569999933242798,3.380000114440918,3.430000066757202,1951700
2024-02-22 00:00:00+00:00,3.440000057220459,3.450000047683716,3.1500000953674316,3.1600000858306885,3948200
2024-02-23 00:00:00+00:00,3.180000066757202,3.180000066757202,3.049999952316284,3.0799999237060547,2394000
2024-02-26 00:00:00+00:00,3.0799999237060547,3.1500000953674316,3.0399999618530273,3.0999999046325684,2079100
2024-02-27 00:00:00+00:00,3.130000114440918,3.4000000953674316,3.130000114440918,3.359999895095825,2923500
2024-02-28 00:00:00+00:00,3.319999933242798,3.390000104904175,3.140000104904175,3.1600000858306885,3206700
2024-02-29 00:00:00+00:00,3.240000009536743,3.390000104904175,3.119999885559082,3.1700000762939453,2936200
2024-03-01 00:00:00+00:00,3.1700000762939453,3.25,3.059999942779541,3.2100000381469727,2206100
2024-03-04 00:00:00+00:00,3.25,3.25,3.009999990463257,3.190000057220459,5942900
2024-03-05 00:00:00+00:00,3.1600000858306885,3.1600000858306885,2.940000057220459,3.0299999713897705,4511100
2024-03-06 00:00:00+00:00,3.069999933242798,3.130000114440918,2.930000066757202,3.049999952316284,3916600
2024-03-07 00:00:00+00:00,3.069999933242798,3.1600000858306885,2.990000009536743,3.069999933242798,2261500
