"('date', '')","('open', 'ABSI')","('high', 'ABSI')","('low', 'ABSI')","('close', 'ABSI')","('volume', 'ABSI')"
2024-01-02 00:00:00+00:00,4.110000133514404,4.307000160217285,3.6010000705718994,3.690000057220459,2049800
2024-01-03 00:00:00+00:00,3.559999942779541,3.799999952316284,3.4600000381469727,3.569999933242798,1344300
2024-01-04 00:00:00+00:00,3.549999952316284,3.990000009536743,3.4800000190734863,3.7200000286102295,1455900
2024-01-05 00:00:00+00:00,3.890000104904175,3.890000104904175,3.450000047683716,3.619999885559082,1276300
2024-01-08 00:00:00+00:00,3.619999885559082,4.179999828338623,3.5199999809265137,4.179999828338623,1501500
2024-01-09 00:00:00+00:00,4.179999828338623,4.21999979019165,3.950000047683716,4.110000133514404,1422400
2024-01-10 00:00:00+00:00,4.179999828338623,4.545000076293945,4.139999866485596,4.400000095367432,1657800
2024-01-11 00:00:00+00:00,4.599999904632568,4.619999885559082,4.019999980926514,4.130000114440918,1769700
2024-01-12 00:00:00+00:00,4.130000114440918,4.380000114440918,3.940000057220459,3.990000009536743,1064900
2024-01-16 00:00:00+00:00,3.940000057220459,4.059999942779541,3.765000104904175,4.03000020980835,1821700
2024-01-17 00:00:00+00:00,3.950000047683716,4.019999980926514,3.555000066757202,3.640000104904175,1150300
2024-01-18 00:00:00+00:00,3.6600000858306885,3.7100000381469727,3.5199999809265137,3.619999885559082,957000
2024-01-19 00:00:00+00:00,3.5899999141693115,3.5899999141693115,3.0899999141693115,3.4100000858306885,1629200
2024-01-22 00:00:00+00:00,3.430000066757202,3.700000047683716,3.4000000953674316,3.615000009536743,773400
2024-01-23 00:00:00+00:00,3.759999990463257,3.799999952316284,3.559999942779541,3.6500000953674316,913100
2024-01-24 00:00:00+00:00,3.7300000190734863,3.7300000190734863,3.490000009536743,3.5199999809265137,692200
2024-01-25 00:00:00+00:00,3.559999942779541,3.6600000858306885,3.390000104904175,3.6500000953674316,1098900
2024-01-26 00:00:00+00:00,3.6500000953674316,3.8399999141693115,3.5299999713897705,3.7100000381469727,1051800
