"('date', '')","('open', 'BEPH')","('high', 'BEPH')","('low', 'BEPH')","('close', 'BEPH')","('volume', 'BEPH')"
2024-01-02 00:00:00+00:00,13.870888216489554,14.029211032674906,13.809317440191515,13.994028091430664,13800
2024-01-03 00:00:00+00:00,14.020415075969032,14.143555789634972,13.950049193539204,13.958845138549805,18300
2024-01-04 00:00:00+00:00,14.073188723234805,14.152350544015388,13.932456970214844,13.932456970214844,40500
2024-01-05 00:00:00+00:00,14.002822846724824,14.038005784979815,13.870887037975464,13.932456970214844,11400
2024-01-08 00:00:00+00:00,14.029211228943483,14.117168163870865,13.906071352279648,13.95004940032959,18500
2024-01-09 00:00:00+00:00,13.950049939482454,14.09957849617585,13.923662941867164,13.967641830444336,26700
2024-01-10 00:00:00+00:00,13.9588442267677,14.064393043518066,13.9588442267677,14.064393043518066,18000
2024-01-11 00:00:00+00:00,14.099328912724406,14.287439437030246,14.003482679076319,14.224736213684082,15900
2024-01-12 00:00:00+00:00,14.224735913435486,14.224735913435486,14.018709698655242,14.041104316711426,18400
2024-01-16 00:00:00+00:00,14.108285959185663,14.108285959185663,13.89330275911746,14.027667045593262,17300
2024-01-17 00:00:00+00:00,14.027667133141607,14.090370353319345,13.929133379395545,13.964963912963867,21100
2024-01-18 00:00:00+00:00,14.009752459488672,14.009752459488672,13.615615731299801,13.776853561401367,12500
2024-01-19 00:00:00+00:00,13.821641849974238,13.920175604228477,13.659507894544133,13.893302917480469,12400
2024-01-22 00:00:00+00:00,13.893303718842342,14.059019626658705,13.893303718842342,14.036625862121582,18500
2024-01-23 00:00:00+00:00,14.06349761088066,14.06349761088066,13.915696553714655,14.04558277130127,10800
2024-01-24 00:00:00+00:00,14.072455351360654,14.153074264526367,14.036624818205592,14.153074264526367,8400
2024-01-25 00:00:00+00:00,14.14411626160037,14.332226772155604,14.126201422354164,14.28743839263916,23000
2024-01-26 00:00:00+00:00,14.278480564850755,14.349245504081567,14.179946813197509,14.242650032043457,16800
2024-01-29 00:00:00+00:00,14.278480545882415,14.28743839263916,14.18173819285796,14.28743839263916,25000
2024-01-30 00:00:00+00:00,14.323269896993295,14.368059133815224,14.234589258327498,14.29639720916748,21700
2024-01-31 00:00:00+00:00,14.332226134223463,14.332226134223463,13.920174598693848,13.920174598693848,31400
2024-02-01 00:00:00+00:00,14.081414883553073,14.341186493584914,14.081414883553073,14.323270797729492,18300
2024-02-02 00:00:00+00:00,14.296396220522468,14.412845665404575,14.287438373777547,14.332226753234863,26500
2024-02-05 00:00:00+00:00,14.332227797528422,14.332227797528422,14.126202432987277,14.269524574279785,14300
2024-02-06 00:00:00+00:00,14.314311059745023,14.368058140214544,14.242649994320232,14.332226753234863,11100
2024-02-07 00:00:00+00:00,14.332227543508512,14.466591835021973,14.153074870068123,14.466591835021973,19700
2024-02-08 00:00:00+00:00,14.448676109313965,14.55616856741319,14.314311818090928,14.448676109313965,12900
2024-02-09 00:00:00+00:00,14.511380490410806,14.511380490410806,14.027667010080968,14.063497543334961,47600
2024-02-12 00:00:00+00:00,14.170989143096936,14.197862683737903,14.027667010080968,14.063497543334961,19200
2024-02-13 00:00:00+00:00,13.96496302702336,13.96496302702336,13.749979839252006,13.839555740356445,15500
2024-02-14 00:00:00+00:00,13.956006860606017,14.172781472896581,13.956006860606017,14.162033081054688,11100
2024-02-15 00:00:00+00:00,14.233694881254573,14.323270797729492,14.188906495883414,14.323270797729492,13400
2024-02-16 00:00:00+00:00,14.394929971914735,14.394929971914735,14.242649994320232,14.332226753234863,5800
2024-02-20 00:00:00+00:00,14.314312124997553,14.332227819820655,14.162032990337918,14.224736213684082,12400
2024-02-21 00:00:00+00:00,14.269523786370463,14.269523786370463,14.027667045593262,14.027667045593262,18200
2024-02-22 00:00:00+00:00,14.179947306746982,14.332227290045097,14.099328391557709,14.309833526611328,11700
2024-02-23 00:00:00+00:00,14.332227589832819,14.565126493191762,14.332227589832819,14.493465423583984,14800
2024-02-26 00:00:00+00:00,14.529294853357827,14.824896973954912,14.493465173439661,14.690532684326172,61400
2024-02-27 00:00:00+00:00,14.780110251895572,15.014799708318682,14.717407027222784,14.833855628967285,54000
2024-02-28 00:00:00+00:00,14.941348075866697,15.066754525079839,14.851771308485285,14.9413480758667,28300
2024-02-29 00:00:00+00:00,15.030922512737357,15.496718555537562,14.950303605447338,15.469846725463867,44900
2024-03-01 00:00:00+00:00,15.40714479301263,15.40714479301263,14.887601629751265,14.98613452911377,24300
2024-03-04 00:00:00+00:00,14.959262841063758,14.960158113206843,14.75323577633436,14.842812538146973,12500
2024-03-05 00:00:00+00:00,14.914473540973862,15.147372437259097,14.863415692486257,15.030923843383789,10100
2024-03-06 00:00:00+00:00,15.030923529487772,15.353397471926778,15.030923529487772,15.299652099609375,17900
2024-03-07 00:00:00+00:00,15.326526505190488,15.362356185913086,15.22799189326766,15.362356185913086,11200
2024-03-08 00:00:00+00:00,15.40714542248468,15.442975103207278,15.30861081056185,15.362356185913086,11000
2024-03-11 00:00:00+00:00,15.344439506530762,15.362355200009631,15.22888618810082,15.344439506530762,7000
2024-03-12 00:00:00+00:00,15.299653084221404,15.3175687789917,15.196640402094236,15.3175687789917,9500
2024-03-13 00:00:00+00:00,15.326524585667649,15.398185646672555,15.192158601315795,15.35339641571045,22700
2024-03-14 00:00:00+00:00,15.290694275126432,15.416100713561674,15.102584617473571,15.1321439743042,13000
2024-03-15 00:00:00+00:00,15.219033133030345,15.380270957946777,15.030923476317556,15.380270957946777,10700
2024-03-18 00:00:00+00:00,15.407143493985888,15.460888862609862,15.281735355817332,15.460888862609863,23700
2024-03-19 00:00:00+00:00,15.586295035677649,15.917728505227759,15.577337189632031,15.855025291442871,144100
2024-03-20 00:00:00+00:00,15.855025147162978,16.016261248913548,15.738574858164077,15.989389419555664,28600
