"('date', '')","('open', 'ASIX')","('high', 'ASIX')","('low', 'ASIX')","('close', 'ASIX')","('volume', 'ASIX')"
2024-01-02 00:00:00+00:00,28.40337185779062,29.216261491421275,28.259919029193693,28.489442825317383,290000
2024-01-03 00:00:00+00:00,28.212103858544506,28.212103858544506,27.466156049006234,27.552227020263672,128300
2024-01-04 00:00:00+00:00,27.676551035146165,27.72436742805176,27.174471613323565,27.360958099365234,119600
2024-01-05 00:00:00+00:00,27.188817893014296,27.542663600775093,26.93060497713787,27.01667594909668,182600
2024-01-08 00:00:00+00:00,26.834967508351898,27.246195036420062,26.739332902555844,27.236631393432617,143700
2024-01-09 00:00:00+00:00,26.76802730324036,26.76802730324036,25.830812057857845,25.849939346313477,113600
2024-01-10 00:00:00+00:00,25.64910482852261,25.64910482852261,25.204405432746423,25.57259750366211,125500
2024-01-11 00:00:00+00:00,25.486528076289915,25.486528076289915,24.797962110909587,25.237878799438477,159700
2024-01-12 00:00:00+00:00,25.716047315192252,25.82124556601816,24.86968404719447,24.922283172607422,82200
2024-01-16 00:00:00+00:00,24.721452169282948,24.903157741643817,24.434548345963933,24.48236656188965,118500
2024-01-17 00:00:00+00:00,24.013759318485988,24.224153999199338,23.334755235688235,23.851181030273438,135500
2024-01-18 00:00:00+00:00,23.985069517213134,24.157211456842084,23.7364202515356,24.06157684326172,101400
2024-01-19 00:00:00+00:00,24.128519255445088,24.2910975427502,23.717291715551067,24.118955612182617,149000
2024-01-22 00:00:00+00:00,24.214591996111192,24.79796150934469,24.214591996111192,24.654510498046875,133600
2024-01-23 00:00:00+00:00,25.008351195405186,25.419578683085422,24.606687349773118,24.61625099182129,125100
2024-01-24 00:00:00+00:00,24.750142519441297,25.08486275144064,24.26240946101995,24.511056900024414,183500
2024-01-25 00:00:00+00:00,24.759704640624225,24.970101140183974,24.386731680973252,24.845775604248047,262200
2024-01-26 00:00:00+00:00,25.132679823748717,25.199623502280325,24.702324998790623,25.180496215820312,123400
2024-01-29 00:00:00+00:00,25.084859121018788,25.343071990397846,24.831428984819848,25.209184646606445,134200
2024-01-30 00:00:00+00:00,25.00835180684109,25.295255603066135,24.826646251639726,25.209184646606445,133400
2024-01-31 00:00:00+00:00,25.094425845383725,25.190060455871194,24.22415435569687,24.271970748901367,242100
