"('date', '')","('open', 'ADUS')","('high', 'ADUS')","('low', 'ADUS')","('close', 'ADUS')","('volume', 'ADUS')"
2024-01-02 00:00:00+00:00,92.63999938964844,95.19999694824219,92.63999938964844,93.2300033569336,84100
2024-01-03 00:00:00+00:00,92.98999786376953,93.27999877929688,90.62999725341797,90.63999938964844,71000
2024-01-04 00:00:00+00:00,91.11000061035156,91.11000061035156,89.27999877929688,89.91000366210938,100800
2024-01-05 00:00:00+00:00,89.43000030517578,90.11000061035156,88.22000122070312,88.26000213623047,67200
2024-01-08 00:00:00+00:00,88.66000366210938,90.91000366210938,88.66000366210938,90.76000213623047,58200
2024-01-09 00:00:00+00:00,89.76000213623047,90.16999816894531,89.02999877929688,89.23999786376953,52800
2024-01-10 00:00:00+00:00,88.87000274658203,88.87000274658203,87.88999938964844,88.62000274658203,57500
2024-01-11 00:00:00+00:00,88.3499984741211,89.0199966430664,88.01000213623047,88.62999725341797,90000
2024-01-12 00:00:00+00:00,89.61000061035156,90.01000213623047,86.30000305175781,86.98999786376953,114200
2024-01-16 00:00:00+00:00,86.63999938964844,89.69999694824219,86.44999694824219,89.48999786376953,162100
2024-01-17 00:00:00+00:00,88.58999633789062,90.87000274658203,88.58999633789062,89.69999694824219,94300
2024-01-18 00:00:00+00:00,90.06999969482422,90.58999633789062,88.52999877929688,90.54000091552734,70000
2024-01-19 00:00:00+00:00,91.02999877929688,91.33000183105469,89.69999694824219,91.19000244140625,60000
2024-01-22 00:00:00+00:00,91.91999816894531,92.23999786376953,90.97000122070312,91.48999786376953,79400
2024-01-23 00:00:00+00:00,92.37999725341797,92.37999725341797,90.41000366210938,90.63999938964844,76200
2024-01-24 00:00:00+00:00,91.63999938964844,91.63999938964844,89.45999908447266,90.11000061035156,73700
2024-01-25 00:00:00+00:00,90.54000091552734,90.87999725341797,88.12999725341797,88.94000244140625,72000
2024-01-26 00:00:00+00:00,89.0,89.54000091552734,88.1500015258789,89.5,98500
2024-01-29 00:00:00+00:00,89.4000015258789,90.70999908447266,87.38999938964844,88.94999694824219,168900
2024-01-30 00:00:00+00:00,88.5199966430664,90.12000274658203,88.0,88.18000030517578,64800
2024-01-31 00:00:00+00:00,88.38999938964844,89.33000183105469,86.43000030517578,86.5999984741211,88500
2024-02-01 00:00:00+00:00,86.61000061035156,88.48999786376953,86.61000061035156,88.48999786376953,95900
2024-02-02 00:00:00+00:00,87.61000061035156,89.0,87.61000061035156,88.87999725341797,79500
