"('date', '')","('open', 'BLBD')","('high', 'BLBD')","('low', 'BLBD')","('close', 'BLBD')","('volume', 'BLBD')"
2024-01-02 00:00:00+00:00,26.690000534057617,27.0,26.049999237060547,26.309999465942383,483100
2024-01-03 00:00:00+00:00,26.0,26.0,24.8799991607666,25.079999923706055,1109800
2024-01-04 00:00:00+00:00,25.190000534057617,25.700000762939453,24.989999771118164,25.209999084472656,329700
2024-01-05 00:00:00+00:00,24.989999771118164,25.290000915527344,24.56999969482422,24.8799991607666,337500
2024-01-08 00:00:00+00:00,24.920000076293945,25.579999923706055,24.639999389648438,24.799999237060547,268600
2024-01-09 00:00:00+00:00,24.6200008392334,26.040000915527344,24.600000381469727,25.31999969482422,451500
2024-01-10 00:00:00+00:00,25.31999969482422,25.33300018310547,24.530000686645508,25.049999237060547,302500
2024-01-11 00:00:00+00:00,25.049999237060547,25.049999237060547,24.170000076293945,24.799999237060547,357200
2024-01-12 00:00:00+00:00,25.1200008392334,25.270000457763672,24.3700008392334,24.600000381469727,332500
2024-01-16 00:00:00+00:00,24.329999923706055,24.56999969482422,24.084999084472656,24.5,341100
2024-01-17 00:00:00+00:00,24.43000030517578,25.079999923706055,24.149999618530273,24.969999313354492,524400
2024-01-18 00:00:00+00:00,25.31999969482422,25.68000030517578,24.440000534057617,25.0,266900
2024-01-19 00:00:00+00:00,25.1200008392334,25.34000015258789,24.520000457763672,25.299999237060547,568800
2024-01-22 00:00:00+00:00,25.65999984741211,26.40999984741211,25.65999984741211,26.40999984741211,385700
2024-01-23 00:00:00+00:00,26.6200008392334,27.18000030517578,26.469999313354492,27.0,347300
2024-01-24 00:00:00+00:00,27.549999237060547,27.670000076293945,27.09000015258789,27.299999237060547,364500
2024-01-25 00:00:00+00:00,27.790000915527344,28.25,27.360000610351562,27.8799991607666,328200
2024-01-26 00:00:00+00:00,28.040000915527344,28.190000534057617,27.770000457763672,28.010000228881836,264200
2024-01-29 00:00:00+00:00,28.09000015258789,29.649999618530273,27.683000564575195,29.600000381469727,574000
2024-01-30 00:00:00+00:00,29.5,29.825000762939453,29.05900001525879,29.399999618530273,424800
2024-01-31 00:00:00+00:00,29.3700008392334,29.549999237060547,28.80900001525879,29.1299991607666,318800
2024-02-01 00:00:00+00:00,29.190000534057617,31.049999237060547,29.190000534057617,30.729999542236328,798400
2024-02-02 00:00:00+00:00,31.239999771118164,31.260000228881836,30.170000076293945,30.90999984741211,682300
2024-02-05 00:00:00+00:00,30.719999313354492,31.216999053955078,30.170000076293945,31.030000686645508,321100
2024-02-06 00:00:00+00:00,30.899999618530273,31.200000762939453,30.360000610351562,31.170000076293945,382100
2024-02-07 00:00:00+00:00,31.5,32.130001068115234,30.299999237060547,31.25,852500
2024-02-08 00:00:00+00:00,33.0,33.224998474121094,29.003999710083008,30.329999923706055,1560300
2024-02-09 00:00:00+00:00,30.700000762939453,31.000999450683594,29.902000427246094,30.549999237060547,657000
2024-02-12 00:00:00+00:00,30.540000915527344,31.68000030517578,30.40999984741211,31.0,589200
