"('date', '')","('open', 'AMLX')","('high', 'AMLX')","('low', 'AMLX')","('close', 'AMLX')","('volume', 'AMLX')"
2024-01-02 00:00:00+00:00,14.720000267028809,15.619999885559082,14.569000244140625,14.970000267028809,994000
2024-01-03 00:00:00+00:00,15.640000343322754,16.549999237060547,15.270000457763672,16.024999618530273,3006100
2024-01-04 00:00:00+00:00,16.15999984741211,17.059999465942383,16.049999237060547,16.639999389648438,1696200
2024-01-05 00:00:00+00:00,16.690000534057617,17.049999237060547,16.231000900268555,16.829999923706055,1433600
2024-01-08 00:00:00+00:00,16.75,17.010000228881836,16.385000228881836,16.8700008392334,1042600
2024-01-09 00:00:00+00:00,16.860000610351562,16.860000610351562,16.09000015258789,16.399999618530273,1005700
2024-01-10 00:00:00+00:00,16.3799991607666,16.56999969482422,15.859999656677246,16.15999984741211,738600
2024-01-11 00:00:00+00:00,16.030000686645508,16.25,15.5,16.219999313354492,1720900
2024-01-12 00:00:00+00:00,16.06999969482422,16.72599983215332,15.609999656677246,15.789999961853027,680300
2024-01-16 00:00:00+00:00,15.640000343322754,15.8149995803833,15.319999694824219,15.520000457763672,952700
2024-01-17 00:00:00+00:00,15.239999771118164,15.399999618530273,14.789999961853027,15.079999923706055,891800
2024-01-18 00:00:00+00:00,15.170000076293945,15.170000076293945,14.4399995803833,14.880000114440918,1114400
2024-01-19 00:00:00+00:00,15.010000228881836,15.140000343322754,14.744999885559082,15.010000228881836,746200
2024-01-22 00:00:00+00:00,14.869999885559082,15.130000114440918,14.520000457763672,14.6899995803833,804200
2024-01-23 00:00:00+00:00,14.920000076293945,14.920000076293945,14.40999984741211,14.609999656677246,507900
2024-01-24 00:00:00+00:00,14.670000076293945,14.770000457763672,14.350000381469727,14.369999885559082,607900
2024-01-25 00:00:00+00:00,14.520000457763672,15.628999710083008,14.505000114440918,15.369999885559082,1064000
2024-01-26 00:00:00+00:00,15.430000305175781,15.979999542236328,15.335000038146973,15.380000114440918,785200
2024-01-29 00:00:00+00:00,15.380000114440918,16.149999618530273,14.979999542236328,15.789999961853027,1119700
2024-01-30 00:00:00+00:00,15.920000076293945,15.920000076293945,15.274999618530273,15.619999885559082,892000
2024-01-31 00:00:00+00:00,15.760000228881836,16.219999313354492,15.729999542236328,16.0,1052500
2024-02-01 00:00:00+00:00,16.030000686645508,16.670000076293945,15.75,16.56999969482422,1105800
2024-02-02 00:00:00+00:00,16.350000381469727,16.600000381469727,15.729999542236328,15.779999732971191,943500
2024-02-05 00:00:00+00:00,15.930000305175781,15.989999771118164,15.239999771118164,15.300000190734863,665500
2024-02-06 00:00:00+00:00,15.380000114440918,15.720000267028809,15.180000305175781,15.5600004196167,660800
2024-02-07 00:00:00+00:00,15.510000228881836,15.515000343322754,15.109999656677246,15.119999885559082,592400
