"('date', '')","('open', 'BDN')","('high', 'BDN')","('low', 'BDN')","('close', 'BDN')","('volume', 'BDN')"
2024-01-02 00:00:00+00:00,4.320694978408091,4.449191358065027,4.304632930950974,4.43312931060791,3687500
2024-01-03 00:00:00+00:00,4.309298992156982,4.424874348982854,4.235000998364756,4.309298992156982,6462700
2024-01-04 00:00:00+00:00,4.292788427528137,4.449640365370984,4.251511850398777,4.37534236907959,3000400
2024-01-05 00:00:00+00:00,4.309299668911426,4.598237712706058,4.309299668911426,4.548705577850342,4822800
2024-01-08 00:00:00+00:00,4.540449829498618,4.664280358123315,4.523939118591752,4.59823751449585,2377700
2024-01-09 00:00:00+00:00,4.507428476972544,4.6064927439365455,4.4578963434905425,4.589982032775879,2253200
2024-01-10 00:00:00+00:00,4.614748296340082,4.664280429822083,4.573471321615211,4.589982032775879,1579200
2024-01-11 00:00:00+00:00,4.540450051781936,4.5899821869274415,4.449640940525301,4.581727027893066,2594900
2024-01-12 00:00:00+00:00,4.6560246205855,4.680790882783559,4.532194096887965,4.5734710693359375,2005500
2024-01-16 00:00:00+00:00,4.523938755308745,4.548705016503454,4.342320949917555,4.37534236907959,2294600
2024-01-17 00:00:00+00:00,4.235001023599375,4.309299017834314,4.078149090097951,4.1689581871032715,2696100
2024-01-18 00:00:00+00:00,4.185468746493815,4.2350008720939005,4.053382684580579,4.102914810180664,1910700
2024-01-19 00:00:00+00:00,4.152448522728335,4.2102358223784355,4.078150116153687,4.193725109100342,1851500
2024-01-22 00:00:00+00:00,4.218490906897816,4.309299623009474,4.210235354353259,4.301044464111328,1874500
2024-01-23 00:00:00+00:00,4.358831834481696,4.400108413268082,4.168958469854443,4.2184906005859375,2398600
2024-01-24 00:00:00+00:00,4.325810031949774,4.325810031949774,4.119425956525154,4.144192218780518,1662200
2024-01-25 00:00:00+00:00,4.235001280924943,4.284533411306674,4.144192178401914,4.185469150543213,1624600
2024-01-26 00:00:00+00:00,4.218491148720928,4.276278445259812,4.185469723942584,4.210235595703125,985800
2024-01-29 00:00:00+00:00,4.218490950141953,4.284533796589773,4.185469526918042,4.259767532348633,1166500
2024-01-30 00:00:00+00:00,4.193724576909153,4.284533685238057,4.07814959862917,4.127681732177734,2205400
2024-01-31 00:00:00+00:00,4.135937258514178,4.152447969592929,3.8882761986865213,3.9130420684814453,4960700
2024-02-01 00:00:00+00:00,3.7974673416435163,3.863510190318745,3.533295946942601,3.6323602199554443,7175600
2024-02-02 00:00:00+00:00,3.5663171521317634,3.6323599967486917,3.458997332806053,3.5580615997314453,2946000
2024-02-05 00:00:00+00:00,3.4837626552440986,3.5250396234662436,3.425975372108707,3.4755074977874756,2289600
2024-02-06 00:00:00+00:00,3.4672519135241053,3.533295140777176,3.401209079917374,3.442486047744751,2628100
