"('date', '')","('open', 'AAMI')","('high', 'AAMI')","('low', 'AAMI')","('close', 'AAMI')","('volume', 'AAMI')"
2024-01-02 00:00:00+00:00,18.951005182915758,19.110592442788,18.61287865350521,18.75152015686035,484600
2024-01-03 00:00:00+00:00,18.60190674521935,18.691674813838077,18.292706676882702,18.34257698059082,379200
2024-01-04 00:00:00+00:00,18.222888946533203,18.402425098113675,18.123146428718464,18.222888946533203,383600
2024-01-05 00:00:00+00:00,18.103198885672388,18.49219454372188,18.04235725797543,18.332605361938477,726600
2024-01-08 00:00:00+00:00,18.352551262368465,18.811366042703494,18.26278319452966,18.8013916015625,557000
2024-01-09 00:00:00+00:00,18.54206357189317,18.811367800575347,18.54206357189317,18.76149559020996,418200
2024-01-10 00:00:00+00:00,18.641803600503273,19.349971771240234,18.641803600503273,19.349971771240234,365800
2024-01-11 00:00:00+00:00,19.230282513781138,19.579378431677185,18.980927199609635,19.40981674194336,353600
2024-01-12 00:00:00+00:00,19.559433705042135,19.748942395888466,19.140516652890305,19.240259170532227,263400
2024-01-16 00:00:00+00:00,18.97095455374756,19.599329167846154,18.96098011194533,19.38987159729004,399600
2024-01-17 00:00:00+00:00,19.100616685051115,19.489612268811108,19.100616685051115,19.40981674194336,316300
2024-01-18 00:00:00+00:00,19.52950904596671,19.838709117363887,19.280153720097662,19.649200439453125,431800
2024-01-19 00:00:00+00:00,19.858661212512587,20.551868826178527,19.793828284618296,20.526933670043945,663500
2024-01-22 00:00:00+00:00,20.686515451666484,21.38471105236704,20.686515451666484,21.08548355102539,572700
2024-01-23 00:00:00+00:00,21.245072331061248,21.54429985409724,21.03561477712314,21.23509979248047,352500
2024-01-24 00:00:00+00:00,21.404660253626865,21.7836814142059,21.374738832085995,21.663990020751953,318600
2024-01-25 00:00:00+00:00,22.03303825234419,22.272419153252915,21.7537595834022,22.06296157836914,381800
2024-01-26 00:00:00+00:00,22.132779159791564,22.491849533816392,22.082906953378288,22.14275360107422,363600
