"('date', '')","('open', 'BKH')","('high', 'BKH')","('low', 'BKH')","('close', 'BKH')","('volume', 'BKH')"
2024-01-02 00:00:00+00:00,49.54572333535885,51.12432093989459,49.54572333535885,50.958152770996094,343100
2024-01-03 00:00:00+00:00,50.68121194892061,51.225873550962774,50.24732796311639,50.902767181396484,446700
2024-01-04 00:00:00+00:00,51.01353896971922,51.198170656727605,50.570425033833004,50.745826721191406,359900
2024-01-05 00:00:00+00:00,50.47811333799425,51.26279364293832,50.35810220753053,50.967384338378906,258900
2024-01-08 00:00:00+00:00,50.77352617839359,51.752071768864944,50.755062655378254,51.73360824584961,355300
2024-01-09 00:00:00+00:00,51.327414654623425,51.59513043969527,50.97661830338107,51.19817352294922,415900
2024-01-10 00:00:00+00:00,51.124328214083626,51.308959930414,50.90276945017577,51.05970764160156,272800
2024-01-11 00:00:00+00:00,50.77352465660121,50.77352465660121,49.43494921134309,49.794979095458984,330400
2024-01-12 00:00:00+00:00,50.39503535995206,50.51504650496372,49.342639144691496,49.37956619262695,391300
2024-01-16 00:00:00+00:00,49.08415383126026,49.15800792788433,47.514793015127516,47.61634063720703,777100
2024-01-17 00:00:00+00:00,47.210143695858804,48.00405751826377,46.89627087122327,47.394775390625,472400
2024-01-18 00:00:00+00:00,47.108601222721994,47.200918840946485,46.42546845564601,46.50855255126953,447500
2024-01-19 00:00:00+00:00,46.57316662131616,46.83164887314475,45.98234803338993,46.37007141113281,357700
2024-01-22 00:00:00+00:00,46.739344081577016,47.09014048692692,46.37008062993186,46.711647033691406,595800
2024-01-23 00:00:00+00:00,47.02551313624322,47.27476540196079,46.37007394948039,47.25630187988281,637200
2024-01-24 00:00:00+00:00,47.88405470991415,47.88405470991415,46.0377444845064,46.2131462097168,2102900
2024-01-25 00:00:00+00:00,47.11782914250815,47.19167970674906,46.48084997795248,47.080902099609375,637000
2024-01-26 00:00:00+00:00,47.22860709737572,47.477859356442664,46.896270751953125,46.896270751953125,366100
2024-01-29 00:00:00+00:00,47.1086003515007,48.133303004720986,46.74857045097616,47.95790481567383,442600
2024-01-30 00:00:00+00:00,47.70865217287073,48.40101844451081,47.413242845362184,48.14253616333008,445800
2024-01-31 00:00:00+00:00,48.41948042410209,48.70565622012716,47.54248247033789,47.782501220703125,884800
2024-02-01 00:00:00+00:00,47.671724126179356,48.52102856611199,47.45016889597564,48.51179504394531,440600
